編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLKRHJGFCH38EA,坡道平面,1100000,36.44,地下一樓
RPRPMLQJRHJGFAH88DA,坡道平面,0,38.70,地下一樓
RPQOMLQJRHJGFBH78DA,坡道平面,0,,地下三樓
RPSOMLLKRHJGFBH58DA,坡道平面,0,31.38,地下一樓
RPVNMLNKRHJGFGH86DA,坡道平面,0,,地下一樓
RPQRMLQKRHJGFEH86DA,坡道平面,1700000,39.99,地下一樓
RPQNMLKLQHJGFAH08DA,坡道平面,1200000,28.92,地下三樓
RPQOMLPJRHJGFBH68DA,升降機械,0,,地下二樓
RPTQMLQJQHJGFBH56DA,坡道平面,0,30.43,地下二樓
RPWPMLSLQHJGFDH37DA,坡道平面,1650000,46.69,地下一樓
RPVNMLPJRHJGFCH56DA,坡道平面,0,,地下一樓
RPXNMLLJQHJGFEH09DA,坡道平面,2200000,36.15,地下三樓
RPXNMLLJQHJGFEH09DA,坡道平面,2200000,36.15,地下三樓
RPXNMLLJQHJGFEH09DA,坡道平面,2200000,36.15,地下三樓
RPXNMLLJQHJGFEH09DA,坡道平面,2200000,36.15,地下三樓
RPQOMLNLQHJGFEH88DA,坡道平面,1850000,27.92,地下二樓
RPQOMLNLQHJGFEH88DA,坡道平面,1850000,27.92,地下二樓
RPUOMLNJRHJGFEH56DA,坡道平面,0,,地下二樓
RPPNMLSJQHJGFHH66DA,坡道平面,0,26.34,地下三樓
RPQNMLTJRHJGFEH76EA,坡道平面,0,,地下二樓
RPRNMLQJRHJGFGH66DA,坡道平面,0,,地下一樓
RPUVMLQJRHJGFAH17DA,坡道平面,1220000,37.84,地下三樓
RPQOMLTLQHJGFAH09DA,坡道平面,0,,地下三樓
RPQOMLTLQHJGFAH09DA,坡道平面,0,,地下三樓
RPRNMLSLQHJGFAH98DA,坡道平面,0,27.47,地下三樓
RPURMLQJRHJGFAH76DA,升降機械,0,,地下一樓
RPRQMLOJRHJGFBH88DA,坡道平面,0,34.42,地下二樓
RPOOMLTKQHJGFCH98DA,坡道平面,0,,地下一樓
RPUNMLMJRHJGFFH09DA,坡道平面,0,29.48,地下一樓
RPUNMLPJRHJGFGH86DA,坡道平面,0,,地下三樓
RPVNMLOJRHJGFGH86DA,坡道平面,0,,地下一樓
RPRPMLPKQHJGFAH78DA,坡道平面,0,28.97,地下二樓
RPXNMLTKQHJGFAH96DA,坡道平面,0,,地下一樓
RPUOMLQJRHJGFAH09DA,坡道平面,2200000,44.92,地下三樓
RPTRMLQKQHJGFBH76DA,坡道平面,0,,地下二樓
RPUNMLMLQHJGFBH78DA,坡道平面,2000000,29.79,地下三樓
RPUNMLMLQHJGFBH78DA,坡道平面,2000000,29.79,地下三樓
RPQUMLRLQHJGFBH96DA,坡道平面,1850000,35.04,地下二樓
RPPOMLPJRHJGFBH58DA,坡道平面,1750000,35.04,地下二樓
RPSOMLOJRHJGFBH78DA,坡道平面,0,,地下一樓
RPSOMLQJRHJGFBH98DA,坡道平面,0,33.98,地下二樓
RPRRMLLKRHJGFBH78DA,坡道機械,0,,地下一樓
RPQUMLTJRHJGFBH07DA,坡道平面,0,,地下三樓
RPVOMLKKRHJGFBH78DA,坡道機械,0,,地下二樓
RPVOMLKKRHJGFBH78DA,坡道機械,0,,地下二樓
RPQNMLLKRHJGFEH58DA,坡道平面,0,,地下二樓
RPQNMLLKRHJGFEH58DA,坡道平面,0,,地下二樓
RPXNMLMJRHJGFGH86DA,坡道平面,0,26.83,地下五樓含以下
RPXNMLMJRHJGFGH86DA,坡道平面,0,26.83,地下五樓含以下
RPQNMLQJRHJGFGH56DA,坡道平面,0,,地下一樓
RPPOMLQJQHJGFGH09DA,坡道機械,0,,地下三樓
RPPOMLQJQHJGFGH09DA,坡道機械,0,,地下三樓
RPWOMLMJQHJGFGH76DA,坡道平面,0,,地下二樓
RPTNMLOKQHJGFHH76DA,坡道機械,0,16.41,地下二樓
