鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
楊梅區,房地(土地+建物),桃園市楊梅區上湖二路與高鐵南路十段11巷220弄旁,21.76,,特定農業區,甲種建築用地,1130811,土地5建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.31,2,2,2,有,無,6240000,82858,,0.0,0,,RPPNMLLKQHJGFDH28CB,上湖奇威城,D3棟5號,
新屋區,房地(土地+建物),桃園市新屋區中山西路一段173巷43弄88號之旁,22.29,,特定農業區,甲種建築用地,1130812,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.17,2,1,1,有,無,5980000,81727,,0.0,0,,RPVNMLMKQHJGFDH98CB,墨硯居7,B2棟2F號,
楊梅區,房地(土地+建物),桃園市楊梅區高平路475巷59號對面,77.68,,特定農業區,甲種建築用地,1130812,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,184.32,3,2,4,有,無,15200000,82465,,0.0,0,,RPWNMLMKQHJGFDH09CB,和平大院,B棟1號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口附近,24.48,住,,,1130814,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.72,3,1,2,有,無,18460000,141869,坡道平面,27.64,1850000,,RPUSMLOKQHJGFBH76CB,櫻花響,A棟1-05F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口附近,24.48,住,,,1130813,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.72,3,1,2,有,無,18480000,141613,坡道平面,27.64,1900000,,RPQTMLOKQHJGFBH09CB,櫻花響,A棟1-15F號,
觀音區,房地(土地+建物),桃園市觀音區八德街與八德六街交叉口,17.33,住,,,1130811,土地4建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.21,2,2,1,有,無,7960000,88239,,0.0,0,,RPVTMLOKQHJGFBH96CB,帝?德莊,C棟6-6F號,
大園區,房地(土地+建物)+車位,桃園市大園區環區西路與科二街交叉口旁,32.07,住,,,1130811,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.81,3,2,2,有,無,14770000,97666,坡道平面,25.01,1800000,,RPRNMLOKQHJGFEH88CB,華登新城峰,B棟2-9F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區信義路145巷65弄2鄰之附近,22.81,住,,,1130811,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.89,3,2,2,有,無,8550000,66613,坡道平面,32.05,1100000,,RPPNMLPKQHJGFBH68EB,大清仁愛錄,A9-3F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區環溪四街18號對面,47.93,住,,,1130814,土地6建物1車位2,九層,24,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,299.66,0,0,3,有,無,39000000,141562,坡道平面,48.18,3400000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQKQHJGFBH88CB,HLV.?,B棟2-9F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區山鼻路及機捷路二段附近,17.66,住,,,1130816,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.16,2,1,2,有,無,15350000,145226,坡道平面,24.89,1950000,,RPTNMLQKQHJGFEH66CB,未央琚,A5棟6F號,
觀音區,房地(土地+建物),桃園市觀音區民族一路與聖心一街交叉路口附近富溪段576地號,23.08,住,,,1130814,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.67,2,0,2,有,無,5900000,100562,,0.0,0,,RPPNMLQKQHJGFBH68DB,齊田晶華,A3-5F號,
觀音區,房地(土地+建物),桃園市觀音區聖心一街與聖心二街交叉口,31.21,住,,,1130814,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.88,2,2,2,有,無,6770000,88059,,0.0,0,,RPWNMLRKQHJGFBH76CB,程翔賦,B棟2F號,
觀音區,房地(土地+建物),桃園市觀音區聖心一街與聖心二街交叉口,31.21,住,,,1130814,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.88,2,2,2,有,無,6930000,90140,,0.0,0,,RPOOMLRKQHJGFBH68CB,程翔賦,B棟5F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區聖心一街與聖心二街交叉口,31.21,住,,,1130815,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.43,2,2,2,有,無,8230000,88840,一樓平面,15.55,1400000,,RPROMLRKQHJGFBH98CB,程翔賦,B棟3F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區新鼻段39地號,22.77,住,,,1130812,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.03,3,2,2,有,無,16050000,118561,坡道平面,25.26,1850000,,RPPNMLRKQHJGFEH98CB,佳陞豐川,A1棟10F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區新鼻段39地號,27.17,住,,,1130812,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,169.43,4,2,2,有,無,19820000,124983,坡道平面,26.45,1950000,,RPQNMLRKQHJGFEH09CB,佳陞豐川,B2棟8F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區新鼻段39地號,15.42,住,,,1130812,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.02,2,2,2,有,無,13450000,140656,坡道平面,25.26,1950000,,RPRNMLRKQHJGFEH56CB,佳陞豐川,C6棟9F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區新鼻段39地號,15.42,住,,,1130812,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.29,2,2,1,有,無,13700000,146820,坡道平面,25.26,1950000,,RPSNMLRKQHJGFEH66CB,佳陞豐川,D5棟8F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區新鼻段39地號,15.42,住,,,1130812,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.29,2,2,1,有,無,13110000,140697,坡道平面,25.26,1850000,,RPTNMLRKQHJGFEH76CB,佳陞豐川,F5棟9F號,
蘆竹區,房地(土地+建物),桃園市蘆竹區新鼻段39地號,19.09,住,,,1130812,土地1建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,,96.1,0,0,0,無,無,13900000,144641,,0.0,0,,RPUNMLRKQHJGFEH86CB,佳陞豐川,S16棟1F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段與吉安街口對面,46.63,住,,,1130813,土地1建物1車位4,二十層,28,辦公商業大樓,商業用,見其他登記事項,,450.57,0,0,0,無,無,60460000,143841,坡道平面,83.08,7600000,,RPQOMLSKQHJGFAH88CB,NFC環球經貿中心,A棟A01-20F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉五街,14.18,住,,,1130814,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.6,2,2,1,有,無,12080000,112180,坡道平面,34.07,1700000,,RPWQMLSKQHJGFAH07CB,益展學富,B棟3-06F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉五街,18.13,住,,,1130814,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.31,3,2,2,有,無,17250000,130666,坡道平面,34.07,1800000,,RPXQMLSKQHJGFAH17CB,益展學富,B棟1-11F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區松仁路與松義路交叉口,23.59,住,,,1130813,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.53,3,2,2,有,無,13850000,98803,坡道平面,26.04,1550000,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSKQHJGFBH96CB,傳佳緻,C棟3-13F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區員富段235地號,22.35,住,,,1130814,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.09,2,2,1,有,無,6910000,81550,一樓平面,13.75,1500000,,RPRNMLSKQHJGFDH66DB,全新綻3,A2棟5F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區日光路附近,28.5,住,,,1130818,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.43,3,2,2,有,無,27750000,157079,坡道平面,41.5,2000000,,RPPNMLTKQHJGFAH78CB,麗寶南法莊園-普羅旺斯,A棟A2-8F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區日光路附近,16.2,住,,,1130816,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.67,2,2,2,有,無,16250000,151834,坡道平面,41.5,1800000,,RPRNMLTKQHJGFAH98CB,麗寶南法莊園-普羅旺斯,C棟C2-2F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區日光路附近,16.2,住,,,1130811,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.67,2,2,2,有,無,16360000,152989,坡道平面,41.5,1800000,,RPSNMLTKQHJGFAH09CB,麗寶南法莊園-普羅旺斯,C棟C2-4F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路與力行路交叉口,35.58,住,,,1130813,土地2建物1車位2,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,269.48,0,0,2,有,無,37890000,154354,坡道平面,49.92,4000000,,RPWNMLTKQHJGFAH86CB,京懋泰閤,B棟3-12F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國二路及水岸一街交叉口,22.2,住,,,1130812,土地1建物1車位1,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.68,3,2,2,有,無,23500000,144503,坡道平面,26.97,2300000,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLTKQHJGFAH09CB,京澄為和,A棟2-10F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路與永安路423巷交叉口,22.72,住,,,1130817,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.09,3,2,2,有,無,22080000,151364,坡道平面,34.76,2050000,露臺戶交易總價含下列非屬預售屋價格之費用:裝潢費；,RPRPMLTKQHJGFAH56CB,君邑富永,B棟1-2F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區圓光路二段490號旁,33.77,,特定農業區,甲種建築用地,1130813,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.51,2,2,2,有,無,14180000,94213,坡道平面,29.62,1660000,,RPRNMLTKQHJGFBH09CB,藏月泱,A3棟04號,
觀音區,房地(土地+建物)+車位,桃園市觀音區忠愛段890地號,37.62,,特定農業區,甲種建築用地,1130811,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,176.17,3,2,2,有,無,12500000,82226,坡道平面,43.0,1550000,,RPSOMLTKQHJGFBH66CB,鈞HOUSE,B2棟3F號,
觀音區,房地(土地+建物),桃園市觀音區忠愛段890地號,25.6,,特定農業區,甲種建築用地,1130817,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.02,2,2,2,有,無,7930000,87124,,0.0,0,,RPXOMLTKQHJGFBH17CB,鈞HOUSE,A5棟1F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區永能路237號旁,26.79,住,,,1130818,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.16,3,2,2,有,無,26280000,193403,坡道平面,33.17,2300000,,RPOPMLTKQHJGFBH98CB,晶采學,A2-06F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.6,住,,,1130814,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.83,3,2,2,有,無,17230000,138495,坡道平面,26.09,2170000,,RPWNNLTKQHJGFBH07CB,合遠朗廷,A棟1-11F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.6,住,,,1130814,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.83,3,2,2,有,無,17250000,138495,坡道平面,26.09,2190000,,RPXNNLTKQHJGFBH17CB,合遠朗廷,A棟1-12F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,17.65,住,,,1130814,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.26,2,2,1,有,無,14670000,135881,坡道平面,26.09,2010000,,RPOONLTKQHJGFBH98CB,合遠朗廷,A棟2-2F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.43,住,,,1130814,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.83,2,2,1,有,無,14190000,141688,坡道平面,26.09,1900000,,RPPONLTKQHJGFBH09CB,合遠朗廷,A棟2-14F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.56,住,,,1130814,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.87,3,2,2,有,無,17260000,138536,坡道平面,26.09,2190000,,RPQONLTKQHJGFBH56CB,合遠朗廷,A棟3-10F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.12,住,,,1130814,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.35,2,2,1,有,無,14280000,144851,坡道平面,26.09,1930000,,RPRONLTKQHJGFBH66CB,合遠朗廷,A棟5-10F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.63,2,2,1,有,無,13810000,138882,坡道平面,26.09,1930000,,RPSONLTKQHJGFBH76CB,合遠朗廷,A棟6-5F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.63,2,2,1,有,無,14460000,145546,坡道平面,26.09,2010000,,RPTONLTKQHJGFBH86CB,合遠朗廷,A棟6-10F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.09,住,,,1130814,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.23,3,2,2,有,無,16750000,138873,坡道平面,26.09,2010000,,RPUONLTKQHJGFBH96CB,合遠朗廷,B棟1-9F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.09,住,,,1130814,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.23,3,2,2,有,無,16710000,138873,坡道平面,26.09,1970000,,RPVONLTKQHJGFBH07CB,合遠朗廷,B棟1-11F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.09,住,,,1130814,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.23,3,2,2,有,無,16830000,138873,坡道平面,26.09,2090000,,RPWONLTKQHJGFBH17CB,合遠朗廷,B棟1-12F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,20.13,住,,,1130814,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,3,2,2,有,無,16820000,138852,坡道平面,26.09,2060000,,RPXONLTKQHJGFBH27CB,合遠朗廷,B棟3-10F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.65,2,2,1,有,無,14130000,141655,坡道平面,26.09,2010000,,RPOPNLTKQHJGFBH09CB,合遠朗廷,B棟5-2F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.65,2,2,1,有,無,14000000,138850,坡道平面,26.09,2120000,,RPPPNLTKQHJGFBH56CB,合遠朗廷,B棟5-4F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.65,2,2,1,有,無,13780000,138850,坡道平面,26.09,1900000,,RPQPNLTKQHJGFBH66CB,合遠朗廷,B棟5-5F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.74,2,2,1,有,無,14070000,143642,坡道平面,23.18,1780000,,RPRPNLTKQHJGFBH76CB,合遠朗廷,B棟5-9F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區興北一路與興東路交叉口,16.2,住,,,1130814,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.74,2,2,1,有,無,14020000,143642,坡道平面,23.18,1730000,,RPSPNLTKQHJGFBH86CB,合遠朗廷,B棟5-11F號,
