編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLMKQHJGFDH98CB,東勢段上庄子小段,22.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,387,持分移轉,04300000
RPUSMLOKQHJGFBH76CB,豐興段,24.48,都市：住,100000,811,持分移轉,02150000
RPPNMLLKQHJGFDH28CB,上湖段,14.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,513,持分移轉,18050000
RPPNMLLKQHJGFDH28CB,上湖段,4.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,513,持分移轉,18050004
RPPNMLLKQHJGFDH28CB,上湖段,1.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,513,持分移轉,18050006
RPPNMLLKQHJGFDH28CB,上湖段,1.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,513,持分移轉,18050007
RPPNMLLKQHJGFDH28CB,上湖段,.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,513,持分移轉,18050008
RPSNMLQKQHJGFBH88CB,青溪段,11.56,都市：住,100000,540,持分移轉,05680001
RPSNMLQKQHJGFBH88CB,青溪段,17.38,都市：住,100000,540,持分移轉,05680002
RPSNMLQKQHJGFBH88CB,青溪段,2.41,都市：住,100000,540,持分移轉,05710000
RPRNMLOKQHJGFEH88CB,客運二段,32.07,都市：住,1000000,3456,持分移轉,00680000
RPSNMLQKQHJGFBH88CB,青溪段,10.11,都市：住,100000,540,持分移轉,05720000
RPSNMLQKQHJGFBH88CB,青溪段,2.66,都市：住,100000,540,持分移轉,05730000
RPSNMLQKQHJGFBH88CB,青溪段,3.81,都市：住,100000,540,持分移轉,05740000
RPVTMLOKQHJGFBH96CB,草新段,3.94,都市：住,100000,328,持分移轉,02100000
RPVTMLOKQHJGFBH96CB,草新段,5.25,都市：住,100000,328,持分移轉,02110000
RPVTMLOKQHJGFBH96CB,草新段,4.10,都市：住,100000,328,持分移轉,02120000
RPVTMLOKQHJGFBH96CB,草新段,4.05,都市：住,100000,328,持分移轉,02130000
RPWNMLMKQHJGFDH09CB,和平段,26.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2429,持分移轉,08710000
RPTNMLQKQHJGFEH66CB,新鼻段,17.66,都市：住,100000,942,持分移轉,01330000
RPWNMLMKQHJGFDH09CB,和平段,7.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2429,持分移轉,08710010
RPWNMLMKQHJGFDH09CB,和平段,43.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2429,持分移轉,08710015
RPQTMLOKQHJGFBH09CB,豐興段,24.48,都市：住,100000,811,持分移轉,02150000
RPPNMLPKQHJGFBH68EB,甘泉段,22.81,都市：住,100000,950,持分移轉,03290000
RPTNMLRKQHJGFEH76CB,新鼻段,15.42,都市：住,10000,21,持分移轉,00390000
RPOOMLRKQHJGFBH68CB,富溪段,31.21,都市：住,10000,517,持分移轉,03490000
RPWNMLRKQHJGFBH76CB,富溪段,31.21,都市：住,10000,517,持分移轉,03490000
RPPNMLQKQHJGFBH68DB,富溪段,23.08,都市：住,115920,4355,持分移轉,05760000
RPPNMLRKQHJGFEH98CB,新鼻段,22.77,都市：住,10000,31,持分移轉,00390000
RPROMLRKQHJGFBH98CB,富溪段,31.21,都市：住,10000,517,持分移轉,03490000
RPRNMLRKQHJGFEH56CB,新鼻段,15.42,都市：住,10000,21,持分移轉,00390000
RPQNMLRKQHJGFEH09CB,新鼻段,27.17,都市：住,10000,37,持分移轉,00390000
RPSNMLRKQHJGFEH66CB,新鼻段,15.42,都市：住,10000,21,持分移轉,00390000
RPXNMLSKQHJGFBH96CB,雙嶺段,23.59,都市：住,100000,495,持分移轉,14780000
RPUNMLRKQHJGFEH86CB,新鼻段,19.09,都市：住,10000,26,持分移轉,00390000
RPQOMLSKQHJGFAH88CB,中路一段,46.63,都市：住,1000000,5560,持分移轉,00560000
RPXQMLSKQHJGFAH17CB,龍祥段,18.13,都市：住,100000,675,持分移轉,06180000
RPWQMLSKQHJGFAH07CB,龍祥段,14.18,都市：住,100000,528,持分移轉,06180000
RPRNMLSKQHJGFDH66DB,員富段,22.35,都市：住,100000,3112,持分移轉,02350000
RPPNMLTKQHJGFAH78CB,三民段,28.50,都市：住,100000,1008,持分移轉,02230000
RPQPMLTKQHJGFAH09CB,水汴頭段,22.20,都市：住,10000,75,持分移轉,01760000
RPSNMLTKQHJGFAH09CB,三民段,16.20,都市：住,100000,573,持分移轉,02230000
RPRNMLTKQHJGFAH98CB,三民段,16.20,都市：住,100000,573,持分移轉,02230000
RPWNMLTKQHJGFAH86CB,中路二段,14.57,都市：住,100000,677,持分移轉,03310000
RPWNMLTKQHJGFAH86CB,中路二段,21.01,都市：住,100000,677,持分移轉,03320000
RPRPMLTKQHJGFAH56CB,中路三段,22.72,都市：住,100000,596,持分移轉,06900000
RPSOMLTKQHJGFBH66CB,忠愛段,37.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,23407,持分移轉,08900000
RPRNMLTKQHJGFBH09CB,山下段,33.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,102,持分移轉,06170000
RPWNNLTKQHJGFBH07CB,豐興段,20.60,都市：住,100000,524,持分移轉,02490000
RPXOMLTKQHJGFBH17CB,忠愛段,25.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,15933,持分移轉,08900000
RPOPMLTKQHJGFBH98CB,青溪段,26.79,都市：住,100000,1143,持分移轉,02960000
RPQONLTKQHJGFBH56CB,豐興段,20.56,都市：住,100000,523,持分移轉,02490000
RPOONLTKQHJGFBH98CB,豐興段,17.65,都市：住,100000,449,持分移轉,02490000
RPPONLTKQHJGFBH09CB,豐興段,16.43,都市：住,100000,418,持分移轉,02490000
RPXNNLTKQHJGFBH17CB,豐興段,20.60,都市：住,100000,524,持分移轉,02490000
RPSONLTKQHJGFBH76CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPUONLTKQHJGFBH96CB,豐興段,20.09,都市：住,100000,511,持分移轉,02490000
RPVONLTKQHJGFBH07CB,豐興段,20.09,都市：住,100000,511,持分移轉,02490000
RPRONLTKQHJGFBH66CB,豐興段,16.12,都市：住,100000,410,持分移轉,02490000
RPTONLTKQHJGFBH86CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPWONLTKQHJGFBH17CB,豐興段,20.09,都市：住,100000,511,持分移轉,02490000
RPOPNLTKQHJGFBH09CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPPPNLTKQHJGFBH56CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPRPNLTKQHJGFBH76CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPXONLTKQHJGFBH27CB,豐興段,20.13,都市：住,100000,512,持分移轉,02490000
RPQPNLTKQHJGFBH66CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPTPNLTKQHJGFBH96CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPUPNLTKQHJGFBH07CB,豐興段,21.78,都市：住,100000,554,持分移轉,02490000
RPVPNLTKQHJGFBH17CB,豐興段,21.78,都市：住,100000,554,持分移轉,02490000
RPSPNLTKQHJGFBH86CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPXPNLTKQHJGFBH37CB,豐興段,24.02,都市：住,100000,611,持分移轉,02490000
RPWPNLTKQHJGFBH27CB,豐興段,16.20,都市：住,100000,412,持分移轉,02490000
RPOQNLTKQHJGFBH56CB,豐興段,20.84,都市：住,100000,530,持分移轉,02490000
RPPNMLTKQHJGFDH09CB,新洲段,21.11,都市：住,100000,705,持分移轉,03920000
RPQNMLTKQHJGFEH66CB,客運二段,26.94,都市：住,100000,1083,持分移轉,01520001
RPXRMLTKQHJGFEH77CB,客運二段,26.94,都市：住,100000,1083,持分移轉,01520001
RPPNMLKLQHJGFAH97CB,水汴頭段,31.13,都市：住,100000,1336,持分移轉,02410000
RPTSMLTKQHJGFEH47CB,客運一段,25.93,都市：住,10000,226,持分移轉,01480000
RPRNMLKLQHJGFAH18CB,龍祥段,18.15,都市：住,100000,676,持分移轉,06180000
RPQNMLKLQHJGFAH08CB,水汴頭段,27.26,都市：住,100000,1170,持分移轉,02410000
RPSNMLKLQHJGFAH28CB,中路二段,6.69,都市：住,100000,499,持分移轉,00090000
RPSNMLKLQHJGFAH28CB,中路二段,25.43,都市：住,100000,499,持分移轉,00090001
RPTNMLKLQHJGFAH38CB,水汴頭段,14.01,都市：商,100000,421,持分移轉,00320000
RPSNMLKLQHJGFBH38CB,觀新段,29.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,554,持分移轉,15490000
RPPPMLKLQHJGFEH58CB,客運一段,21.57,都市：商,1000000,8047,持分移轉,00700000
RPUNMLKLQHJGFGH09CB,廣豐段,25.78,都市：住,100000,1118,持分移轉,05660000
RPVNMLKLQHJGFGH56CB,廣豐段,27.26,都市：住,100000,1182,持分移轉,05660000
RPRPMLKLQHJGFEH78CB,新鼻段,14.60,都市：住,10000,37,持分移轉,02580000
RPTPMLKLQHJGFEH98CB,新鼻段,17.76,都市：住,10000,45,持分移轉,02580000
RPSPMLKLQHJGFEH88CB,新鼻段,19.34,都市：住,10000,49,持分移轉,02580000
RPOOMLKLQHJGFGH58CB,廣豐段,27.26,都市：住,100000,1182,持分移轉,05660000
RPTNMLKLQHJGFGH98CB,廣豐段,20.68,都市：住,100000,897,持分移轉,05660000
RPPNMLKLQHJGFHH68CB,善捷段,21.20,都市：商,1000000,2485,持分移轉,00470000
RPROMLKLQHJGFGH88CB,廣豐段,27.26,都市：住,100000,1182,持分移轉,05660000
RPQNMLKLQHJGFHH78CB,善捷段,19.59,都市：商,1000000,2296,持分移轉,00470000
RPSNMLLLQHJGFBH48CB,草福段,17.71,都市：住,100000,1055,持分移轉,02480000
RPXNMLLLQHJGFDH56CB,員富段,17.93,都市：住,100000,412,持分移轉,03100000
RPVNMLLLQHJGFDH98CB,田心段,32.23,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,277,持分移轉,00250020
RPVNMLLLQHJGFDH98CB,田心段,4.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,277,持分移轉,00300001
RPVNMLLLQHJGFDH98CB,田心段,3.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,2304,16,持分移轉,00250019
RPRNMLLLQHJGFEH68CB,客運一段,19.63,都市：商,100000,263,持分移轉,00570000
