鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
蘆竹區,租賃房屋,桃園市蘆竹區南山路１段３３號３樓之４,0.0,,,,1130809,土地0建物1車位0,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840925,47.690000000000005,1,0,1,有,有,有,8000,168,,0.0,0,,RPPNMLLKQHJGFEH48CC,整棟(戶)出租,有,1130815~1150814,有,冷氣、熱水器,一般代管
蘆竹區,租賃房屋+車位,桃園市蘆竹區南山路１段７３號１７樓之１,0.0,,,,1130805,土地0建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840811,118.67,2,1,1,有,有,有,14800,125,坡道平面,40.83,0,,RPQNMLLKQHJGFEH58CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
中壢區,租賃房屋,桃園市中壢區實踐路２２５號８樓之６８,0.0,,,,1130806,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930410,29.02,1,0,1,有,有,有,7000,241,,0.0,0,租金總額含管理費；,RPPNMLLKQHJGFBH28DC,獨立套房,有,1130806~1140805,有,冷氣、熱水器、冰箱,
桃園區,租賃房屋,桃園市桃園區慈文路１９０巷３８弄１４之３號,0.0,,,,1130807,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691023,70.8,3,1,1,有,無,有,12000,169,,0.0,0,,RPPNMLMKQHJGFAH18CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
桃園區,租賃房屋,桃園市桃園區春日路１１５５號十一樓之１４,0.0,,,,1130723,土地0建物1車位0,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840808,27.090000000000003,1,0,1,有,有,有,8000,295,,0.0,0,社會住宅,RPQNMLMKQHJGFAH28CC,獨立套房,有,1130805~1140804,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
桃園區,租賃房屋,桃園市桃園區中正五街１１４之３號,0.0,,,,1130730,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690424,66.11,4,0,4,有,無,有,18000,272,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPRNMLMKQHJGFAH38CC,分租套房,無,1130901~1140831,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
桃園區,租賃房屋,桃園市桃園區大興西路二段１１２巷１２之１號,0.0,,,,1130803,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710527,94.35,3,1,2,有,無,無,12000,127,,0.0,0,社會住宅,RPSNMLMKQHJGFAH48CC,整棟(戶)出租,無,1130803~1140802,無,熱水器,社會住宅代管
桃園區,租賃房屋,桃園市桃園區民有五街７０號十二樓,0.0,,,,1130803,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891128,111.57000000000001,3,1,2,有,有,有,20000,179,,0.0,0,社會住宅,RPTNMLMKQHJGFAH58CC,整棟(戶)出租,有,1130809~1140808,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋,桃園市桃園區樹仁三街７０之１號６樓,0.0,,,,1130802,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941228,141.78,3,2,2,有,有,有,15200,107,,0.0,0,,RPUNMLMKQHJGFAH68CC,整棟(戶)出租,有,1130907~1140906,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
桃園區,租賃房屋+車位,桃園市桃園區大興西路二段１０５之１號九樓,0.0,,,,1130722,土地0建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841028,180.33999999999997,3,1,2,有,有,無,20000,141,坡道機械,52.44,2000,社會住宅,RPVNMLMKQHJGFAH78CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機,社會住宅代管
桃園區,租賃房屋+車位,桃園市桃園區新埔七街１８３號１１樓,0.0,,,,1130804,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091118,162.77999999999997,3,1,2,有,有,有,32500,231,坡道平面,32.84,2500,水費、電費、瓦斯費、網路費及每月管理費2500元整由承租人負擔。,RPWNMLMKQHJGFAH88CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視,社會住宅代管
