編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLMKQHJGFAH38CC,44,66.11,住家用,鋼筋混凝土造,69年4月24日,四層,,
RPTNMLMKQHJGFAH58CC,24,85.20,住家用,鋼筋混凝土造,89年11月28日,十四層,,
RPTNMLMKQHJGFAH58CC,24,26.37,共有部分,鋼筋混凝土造,89年11月28日,十四層,,
RPPNMLMKQHJGFAH18CC,44,70.80,住家用,鋼筋混凝土造,69年10月23日,四層,,
RPQNMLMKQHJGFAH28CC,29,18.94,住家用,鋼筋混凝土造,84年8月8日,二十層,,
RPQNMLMKQHJGFAH28CC,29,8.15,共有部分,鋼筋混凝土造,84年8月8日,二十層,,
RPSNMLMKQHJGFAH48CC,42,94.35,住家用,鋼筋混凝土造,71年5月27日,五層,,
RPQNMLLKQHJGFEH58CC,29,57.93,住家用,鋼筋混凝土造,84年8月11日,二十層,,
RPQNMLLKQHJGFEH58CC,29,12.09,共有部分,鋼筋混凝土造,84年8月11日,二十層,,
RPQNMLLKQHJGFEH58CC,29,7.82,共有部分,鋼筋混凝土造,84年8月11日,二十層,,
RPQNMLLKQHJGFEH58CC,29,40.83,共有部分,鋼筋混凝土造,84年8月11日,二十層,,
RPPNMLLKQHJGFBH28DC,20,19.56,住家用,鋼筋混凝土造,93年4月10日,十層,,
RPPNMLLKQHJGFBH28DC,20,6.52,共有部分,鋼筋混凝土造,93年4月10日,十層,,
RPPNMLLKQHJGFBH28DC,20,.61,共有部分,鋼筋混凝土造,93年4月10日,十層,,
RPPNMLLKQHJGFBH28DC,20,2.33,共有部分,鋼筋混凝土造,93年4月10日,十層,,
RPPNMLLKQHJGFEH48CC,29,35.88,住家用,鋼筋混凝土造,84年9月25日,二十層,,
RPPNMLLKQHJGFEH48CC,29,4.03,共有部分,鋼筋混凝土造,84年9月25日,二十層,,
RPPNMLLKQHJGFEH48CC,29,7.78,共有部分,鋼筋混凝土造,84年9月25日,二十層,,
RPWNMLMKQHJGFAH88CC,4,88.32,住家用,鋼筋混凝土造,109年11月18日,十五層,,
RPWNMLMKQHJGFAH88CC,4,74.46,本共有部分之項目有：停車空間、消防泵浦室、雨水回收機房、蓄水池、機房、梯間、發電機室、電信室、防空避難室兼停車空間、垃圾處理室、台電配電場所、集合住宅（附屬管委會使用空間、梯間）、水箱等項。,鋼筋混凝土造,109年11月18日,十五層,,
RPUNMLMKQHJGFAH68CC,19,100.43,住家用,鋼筋混凝土造,94年12月28日,十四層,,
RPUNMLMKQHJGFAH68CC,19,16.54,共有部分,鋼筋混凝土造,94年12月28日,十四層,,
RPUNMLMKQHJGFAH68CC,19,24.81,共有部分,鋼筋混凝土造,94年12月28日,十四層,,
RPPOMLMKQHJGFAH28CC,19,143.32,住家用,鋼筋混凝土造,94年12月28日,十四層,,
RPPOMLMKQHJGFAH28CC,19,22.31,共有部分,鋼筋混凝土造,94年12月28日,十四層,,
RPPOMLMKQHJGFAH28CC,19,35.36,共有部分,鋼筋混凝土造,94年12月28日,十四層,,
RPQOMLMKQHJGFAH38CC,29,94.65,住家用,鋼筋混凝土造,84年9月12日,七層,,
RPOOMLMKQHJGFAH18CC,43,100.22,住商用,鋼筋混凝土造,70年10月24日,五層,,
RPQOMLMKQHJGFAH38CC,29,7.46,共有部分,鋼筋混凝土造,84年9月12日,七層,,
RPQOMLMKQHJGFAH38CC,29,15.68,共有部分,鋼筋混凝土造,84年9月12日,七層,,
RPVNMLMKQHJGFAH78CC,29,105.13,住家用,鋼筋混凝土造,84年10月28日,十二層,,
RPVNMLMKQHJGFAH78CC,29,22.77,共有部分,鋼筋混凝土造,84年10月28日,十二層,,
RPVNMLMKQHJGFAH78CC,29,51.35,停車場,鋼筋混凝土造,84年10月28日,十二層,,
RPVNMLMKQHJGFAH78CC,29,.84,共有部分,鋼筋混凝土造,84年10月28日,十二層,,
RPXNMLMKQHJGFAH98CC,21,99.12,住家用,鋼筋混凝土造,92年10月30日,八層,,
RPVNMLMKQHJGFAH78CC,29,.25,共有部分,鋼筋混凝土造,84年10月28日,十二層,,
RPXNMLMKQHJGFAH98CC,21,13.11,共有部分,鋼筋混凝土造,92年10月30日,八層,,
RPXNMLMKQHJGFAH98CC,21,26.04,共有部分,鋼筋混凝土造,92年10月30日,八層,,
RPROMLMKQHJGFAH48CC,1,40.04,住家用,鋼筋混凝土造,112年10月12日,十五層,,
