編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVPMLMKQHJGFAH98CC,忠義段,3.87,都市：住,,,,07000000
RPOPMLPLQHIGFBH68CC,石頭段,.00,都市：商,,,,00410000
RPPPMLPLQHIGFBH78CC,後寮段,.00,都市：住,,,,02530000
RPOOMLMKQHJGFCH38CC,潛龍段,24.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10790000
RPVNMLMKQHJGFCH98CC,潛龍段,28.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10790000
RPVNMLMKQHJGFCH98CC,潛龍段,.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10990000
RPOOMLMKQHJGFCH38CC,潛龍段,.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10990000
RPSNMLMKQHJGFDH78CC,長紅段,2574.86,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,00070002
RPWNMLMKQHJGFEH66CC,南崁段,129.52,都市：住,,,,01830000
RPWNMLMKQHJGFEH66CC,南崁段,116.10,都市：住,,,,01840000
RPPNMLMKQHJGFFH78DC,大和段,28.04,都市：住,,,,05360000
RPQNMLMKQHJGFFH88DC,興仁段,15.25,都市：商,,,,05830000
RPUOMLMKQHJGFHH86CC,龍華段,20.35,都市：住,,,,04520000
RPQNMLNKQHJGFAH38CC,中路段,927.00,都市：工,,,,17980008
RPTNMLNKQHJGFAH68CC,福元段,35.04,都市：住,,,,09690000
RPTQMLNKQHJGFAH98CC,三元段,10.51,都市：住,,,,07840000
RPOOMLNKQHJGFEH68CC,河底段,16.70,都市：住,,,,03660000
RPQOMLNKQHJGFFH98CC,福興段,21.65,都市：住,,,,07790000
RPUOMLNKQHJGFFH76CC,豐田段,26.14,都市：住,,,,14760000
RPOOMLNKQHJGFHH98CC,蔗園段,2080.68,都市：工,,,,02820000
RPTNMLOKQHJGFAH78CC,三元段,17.12,都市：住,,,,08280000
RPWNMLOKQHJGFAH09CC,慈文段,7.94,都市：住,,,,00370000
RPVNMLOKQHJGFAH98CC,大有段,11.23,都市：住,,,,05450000
RPOOMLOKQHJGFAH38CC,三元段,22.76,都市：住,,,,07740000
RPVRMLOKQHJGFAH76CC,中山段,10.67,都市：住,,,,01610000
RPWRMLOKQHJGFAH86CC,福元段,15.36,都市：住,,,,06780000
RPXRMLOKQHJGFAH96CC,桃鶯段,14.58,都市：住,,,,05250005
RPVNMLOKQHJGFCH56CC,潛龍段,24.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10790000
RPVNMLOKQHJGFCH56CC,潛龍段,.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10790000
RPVPMLPKQHJGFAH66CC,桃園段長美小段,13.25,都市：商,,,,00180001
RPRQMLPKQHJGFAH98CC,中路二段,10.36,都市：住,,,,02550000
RPOPMLPKQHJGFBH68CC,自立段,6.19,都市：其他:道路用地，住宅區,,,,14610000
RPPOMLPKQHJGFFH09CC,興豐段,76.16,都市：商,,,,16760000
RPPNMLPKQHJGFAH58DC,大興段,7.07,都市：住,,,,01750000
RPPNMLPKQHJGFAH58DC,大興段,.02,都市：住,,,,01750001
RPPNMLPKQHJGFAH58DC,大興段,.00,都市：住,,,,01750002
RPPNMLQKQHJGFBH68CC,上嶺段,303.02,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,04450000
RPSQMLQKQHJGFBH66CC,普仁段,8.86,都市：商,,,,10260000
RPPNMLQKQHJGFDH98DC,富岡段,656.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,13450002
RPPNMLQKQHJGFFH56DC,力行段,15.13,都市：住,,,,00250000
RPPNMLSKQHJGFHH86CC,興華段,18.24,都市：商,,,,00470000
RPXNMLTKQHJGFBH17CC,忠福段,87.00,都市：住,,,,15200026
RPQPMLTKQHJGFBH66CC,大享段,9646.50,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00320000
RPQPMLTKQHJGFBH66CC,大享段,301.29,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00420001
RPQPMLTKQHJGFBH66CC,大享段,117.54,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00970002
RPQPMLTKQHJGFBH66CC,大享段,399.75,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00980002
RPQPMLTKQHJGFBH66CC,大享段,133.90,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01000003
RPXRMLOJIIGGFBH58CC,富台段,85.35,都市：住,,,,07190000
RPPPMLLLQHJGFEH78CC,青山段,15.13,都市：住,,,,02650000
RPXNMLLLQHJGFFH86CC,茄苳段,2204.46,都市：農,,,,08000002
RPXNMLLLQHJGFFH86CC,茄苳段,1751.92,都市：農,,,,08010000
RPVPMLMLQHJGFAH09CC,水汴頭段,10.47,都市：商,,,,00560000
RPRQMLMLQHJGFBH88CC,內壢段,2432.00,都市：農,,,,16330000
RPVQMLMLQHJGFBH66CC,大同段,826.45,都市：農,,,,13370000
RPVQMLMLQHJGFBH66CC,大同段,330.58,都市：農,,,,10330000
RPSNMLNLQHJGFAH68CC,福元段,12.21,都市：住,,,,03440000
RPPNMLPLQHJGFAH58CC,國聖段,6.19,都市：住,,,,06920000
RPTOMLQLQHJGFBH66CC,中工段,238.00,都市：工,,,,17700004
RPTOMLQLQHJGFBH66CC,中工段,16.00,都市：工,,,,17700013
RPVNMLRLQHJGFDH07CC,草湳坡段草湳坡小段,810.00,都市：工,,,,00060001
RPVNMLRLQHJGFDH07CC,草湳坡段草湳坡小段,946.00,都市：工,,,,00130011
RPPNMLSLQHJGFEH76DC,竹圍段拔子林小段,11.35,都市：住,,,,02870002
RPPNMLSLQHJGFFH86DC,福興段,26.80,都市：商,,,,08340000
RPPQMLTLQHJGFBH76CC,自立段,78.95,都市：住,,,,03880000
RPPNMLKMQHJGFBH28CC,平寮段,19.03,都市：住,,,,13380000
RPWNMLKMQHJGFHH96CC,樂捷段,22.03,都市：商,,,,02260000
RPPNMLMJRHJGFGH88DC,東豐段,31.78,都市：住,,,,02570000
RPTOMLOJRHJGFEH66CC,南榮段,11.79,都市：工,,,,03850000
