編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLKQHJGFEH58CC,坡道平面,0,40.83,地下二樓
RPWNMLMKQHJGFAH88CC,坡道平面,2500,32.84,地下四樓
RPPOMLMKQHJGFAH28CC,坡道平面,3500,25.88,地下一樓
RPVNMLMKQHJGFAH78CC,坡道機械,2000,52.44,地下二樓
RPSOMLMKQHJGFAH58CC,坡道平面,2500,,地下二樓
RPOPMLPLQHIGFBH68CC,坡道平面,2000,39.04,地下二樓
RPQNMLMKQHJGFBH38CC,一樓平面,500,,一樓
RPSNMLMKQHJGFBH58CC,一樓平面,500,,一樓
RPSOMLMKQHJGFBH68CC,坡道平面,700,,地下一樓
RPTOMLMKQHJGFBH78CC,坡道機械,500,,地下二樓
RPVPMLMKQHJGFBH09CC,坡道平面,2000,31.65,地下二樓
RPOQMLMKQHJGFBH48CC,坡道平面,3000,,地下一樓
RPRQMLMKQHJGFBH78CC,坡道平面,3000,,地下一樓
RPQNMLMKQHJGFCH48CC,坡道平面,1000,22.86,地下三樓
RPVQMLMKQHJGFBH56CC,坡道機械,1000,,地下一樓
RPPNMLMKQHJGFCH38CC,坡道平面,2600,35.93,地下二樓
RPTNMLMKQHJGFCH78CC,坡道平面,700,30.44,地下二樓
RPVNMLMKQHJGFCH98CC,坡道平面,0,36.44,地下一樓
RPXNMLMKQHJGFCH56CC,坡道平面,0,36.44,地下三樓
RPPNMLMKQHJGFDH48CC,坡道平面,3000,,地下一樓
RPXNMLMKQHJGFDH66CC,坡道平面,2000,29.34,地下一樓
RPPNMLMKQHJGFEH58CC,坡道平面,1000,26.90,地下三樓
RPXNMLMKQHJGFEH76CC,一樓平面,1500,,一樓
RPOOMLMKQHJGFEH58CC,坡道平面,3000,31.81,地下二樓
RPQNMLMKQHJGFFH78CC,坡道平面,2700,31.20,地下一樓
RPRNMLMKQHJGFFH88CC,坡道平面,3000,29.48,地下二樓
RPVNMLMKQHJGFFH66CC,坡道平面,3000,24.47,地下三樓
RPSNMLMKQHJGFFH98CC,坡道平面,300,31.19,地下一樓
RPOOMLMKQHJGFFH68CC,坡道平面,3000,35.49,地下一樓
RPQNMLMKQHJGFGH88CC,坡道平面,2500,31.29,地下一樓
RPRNMLMKQHJGFGH98CC,坡道平面,2000,27.34,地下一樓
RPVNMLMKQHJGFGH76CC,坡道平面,3000,,地下一樓
RPOOMLMKQHJGFHH88CC,坡道平面,2500,27.45,地下三樓
RPRPMLMKQHJGFBH68CC,坡道平面,3000,27.37,地下二樓
RPPNMLNKQHJGFAH28CC,坡道平面,3000,,地下一樓
RPPNMLMKQHJGFFH78DC,坡道平面,0,28.12,地下一樓
RPQNMLMKQHJGFFH88DC,坡道平面,0,38.47,地下二樓
RPRNMLNKQHJGFAH48CC,坡道平面,500,35.58,地下一樓
RPTNMLNKQHJGFAH68CC,坡道平面,0,,地下三樓
RPUNMLNKQHJGFAH78CC,坡道平面,3000,47.71,地下五樓含以下
RPOOMLNKQHJGFAH28CC,坡道平面,2500,,地下二樓
RPVOMLNKQHJGFAH98CC,坡道平面,3100,33.04,地下二樓
RPOPMLNKQHJGFAH38CC,坡道平面,3000,41.49,地下二樓
RPSPMLNKQHJGFAH78CC,坡道平面,3000,,地下二樓
RPWPMLNKQHJGFAH56CC,坡道平面,3000,42.95,地下一樓
RPSQMLNKQHJGFAH88CC,坡道平面,3000,36.33,地下三樓
RPUOMLNKQHJGFBH98CC,升降機械,2000,10.15,一樓
RPQOMLNKQHJGFBH58CC,坡道平面,2000,,地下一樓
RPXOMLNKQHJGFBH66CC,坡道平面,2000,27.36,地下三樓
RPRPMLNKQHJGFBH78CC,坡道平面,2500,,地下二樓
RPVPMLNKQHJGFBH56CC,一樓平面,2000,1.80,一樓
RPRQMLNKQHJGFBH88CC,升降平面,200,,地下二樓
RPPRMLNKQHJGFBH78CC,坡道平面,3000,,地下一樓
RPQNMLNKQHJGFDH68CC,坡道平面,2500,31.74,地下三樓
RPTNMLNKQHJGFDH98CC,坡道平面,2500,,地下二樓
RPVNMLNKQHJGFDH56CC,坡道平面,1000,,地下一樓
RPWNMLNKQHJGFDH66CC,坡道平面,2000,37.04,地下三樓
RPTNMLNKQHJGFFH56CC,坡道平面,1000,40.56,地下一樓
RPUNMLNKQHJGFFH66CC,坡道平面,1250,29.90,地下一樓
RPUNMLNKQHJGFFH66CC,坡道平面,1250,29.90,地下一樓
