鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物),嘉義市嘉義市興雅路１８號,56.65,商,,,1130902,土地1建物1車位0,一層，二層，三層，騎樓，地下層,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0800225,402.34999999999997,6,3,3,有,有,13000000,32310,,0.0,0,含裝潢費；含傢俱設備費；,RPTNMLTJRHJGFAI66DA,318.75,3.37,12.65,有,01
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街１４１號八樓之５,17.84,商,,,1130903,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1121002,109.27000000000001,2,2,2,有,有,8000000,73213,坡道機械,0.0,0,,RPQOMLLKRHJGFAI38DA,55.12,0.0,5.59,有,02
嘉義市,土地,新厝段441地號,268.0,農,,,1130909,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17370000,64813,,0.0,0,未登記建物；,RPQNMLMKRHJGFAI38DA,0.0,0.0,0.0,無,
嘉義市,土地,北社尾段663-2地號,140.0,住,,,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11250000,80357,,0.0,0,,RPSOMLSKRHJGFAI66DA,0.0,0.0,0.0,無,
嘉義市,土地,新興段394地號,25.17,,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,193486,7687,,0.0,0,協議價購；,RPPNMLSKRHJGFAI98EA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路３３５巷１１號,65.0,住,,,1130903,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土加強磚造,0690131,121.2,4,2,2,有,無,7200000,59406,,0.0,0,增建位置：天井 廚房 頂樓 防火巷其他增建；,RPPNMLKKRHJGFAI08DA,121.2,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市仁愛路２４０巷１５號二樓,35.0,住,,,1130904,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,185.57999999999998,3,2,2,有,有,11500000,61968,坡道平面,0.0,0,,RPPNMLNKRHJGFAI38DA,101.88,0.0,12.92,有,
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路２０１號八樓１０,5.71,住,,,1130907,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,48.12,1,1,1,有,有,2000000,41563,,0.0,0,土地價款140萬元整建物價款60萬元整,RPUOMLQKRHJGFAI66DA,30.09,0.0,4.78,有,
嘉義市,土地,溪東段462地號,2066.6,農,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13020000,6300,,0.0,0,,RPVPMLSKRHJGFAI07DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市興村街６２號八樓之４,9.4,商,,,1130821,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800627,79.47,2,2,1,有,有,4500000,56625,,0.0,0,,RPUNMLNJRHJGFAI78DA,58.49,0.0,10.57,有,03
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十一街１９６號三樓之１,36.93,住,,,1130803,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130105,118.53999999999999,3,2,2,有,有,10100000,85203,坡道平面,0.0,0,,RPRNMLPJRHJGFAI68DA,68.27,0.0,4.31,有,04
