編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLTJRHJGFAI66DA,34,334.77,住商用,鋼筋混凝土造,80年2月25日,九層,一層 二層 三層 陽台 平台 騎樓 地下層,全筆移轉
RPTNMLTJRHJGFAI66DA,34,67.58,共有部份,鋼筋混凝土造,80年2月25日,九層,,持分移轉
RPQOMLLKRHJGFAI38DA,1,60.71,集合住宅,鋼筋混凝土造,112年10月2日,十層,八層 陽台,全筆移轉
RPQOMLLKRHJGFAI38DA,1,30.95,本共有部分之項目有公共空間、停車空間、防空避難室兼停車空間、管委會使用空間、門廊及交誼空間等６項,鋼筋混凝土造,112年10月2日,十層,,持分移轉
RPQOMLLKRHJGFAI38DA,1,11.35,本共有部分之項目有安全梯、戶外安全梯、管道間、昇降機道、梯廳、蓄水池、昇降機機械房及樓梯間等８項,鋼筋混凝土造,112年10月2日,十層,,持分移轉
RPQOMLLKRHJGFAI38DA,1,6.26,本共有部分之項目有梯廳等１項,鋼筋混凝土造,112年10月2日,十層,,持分移轉
RPUOMLQKRHJGFAI66DA,31,5.74,共有部份,鋼筋混凝土造,82年6月9日,十六層,,持分移轉
RPUOMLQKRHJGFAI66DA,31,7.51,共有部份,鋼筋混凝土造,82年6月9日,十六層,,持分移轉
RPUOMLQKRHJGFAI66DA,31,34.87,住家用,鋼筋混凝土造,82年6月9日,十六層,八層 陽台,全筆移轉
RPPNMLNKRHJGFAI38DA,20,114.80,住家用,鋼筋混凝土造,93年10月29日,十四層,二層 陽台,全筆移轉
RPPNMLKKRHJGFAI08DA,45,121.20,住家用,鋼筋混凝土加強磚造,69年1月31日,四層,一層 二層 三層 四層,全筆移轉
RPPNMLNKRHJGFAI38DA,20,70.78,共有部份,鋼筋混凝土造,93年10月29日,十四層,,持分移轉
RPUNMLNJRHJGFAI78DA,33,63.33,住家用,鋼筋混凝土造,80年6月27日,十五層,八層 陽台,全筆移轉
RPUNMLNJRHJGFAI78DA,33,5.73,停車場、避難室,鋼筋混凝土造,80年6月27日,十五層,地下層,持分移轉
RPUNMLNJRHJGFAI78DA,33,10.02,共有部份,鋼筋混凝土造,80年6月27日,十五層,,持分移轉
RPUNMLNJRHJGFAI78DA,33,.39,共有部份,鋼筋混凝土造,80年6月27日,十五層,,持分移轉
RPRNMLPJRHJGFAI68DA,1,.08,集合住宅,鋼筋混凝土造,113年1月5日,七層,一層,持分移轉
RPRNMLPJRHJGFAI68DA,1,72.50,集合住宅,鋼筋混凝土造,113年1月5日,七層,三層 陽台,全筆移轉
RPRNMLPJRHJGFAI68DA,1,.02,本共有部分之項目有停車空間（兼防空避難室）及管理委員會使用空間等２項。,鋼筋混凝土造,113年1月5日,七層,,持分移轉
RPRNMLPJRHJGFAI68DA,1,29.13,本共有部分之項目有停車空間（兼防空避難室）及管理委員會使用空間等２項。,鋼筋混凝土造,113年1月5日,七層,,持分移轉
RPRNMLPJRHJGFAI68DA,1,.02,本共有部分之項目有梯廳、昇降機、戶外安全梯、無障礙樓梯及樓梯間等５項。,鋼筋混凝土造,113年1月5日,七層,,持分移轉
RPRNMLPJRHJGFAI68DA,1,16.79,本共有部分之項目有梯廳、昇降機、戶外安全梯、無障礙樓梯及樓梯間等５項。,鋼筋混凝土造,113年1月5日,七層,,持分移轉
RPRNMLMJRHJGFAI38DA,56,104.38,住家用,鋼筋混凝土加強磚造,58年1月7日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLTJRHJGFAI88DA,32,72.78,住家用,鋼筋混凝土造,81年12月21日,六層,三層 陽台 花台,全筆移轉
RPPNMLTJRHJGFAI88DA,32,21.82,共有部份,鋼筋混凝土造,81年12月21日,六層,,持分移轉
RPRNMLTJRHJGFAI09DA,32,100.46,住家用,鋼筋混凝土造,81年9月23日,七層,七層 陽台,全筆移轉
RPRNMLTJRHJGFAI09DA,32,48.59,住家用,鋼筋混凝土造,81年9月23日,七層,,持分移轉
RPOOMLQJRHJGFAI58DA,30,100.05,住家用,鋼筋混凝土造,83年7月23日,十一層,四層 陽台 露台,全筆移轉
RPOOMLQJRHJGFAI58DA,30,22.04,共有部份,鋼筋混凝土造,83年7月23日,十一層,,持分移轉
RPQOMLQJRHJGFAI78DA,36,142.27,住商用,鋼筋混凝土造,77年8月13日,三層,一層 二層 三層 電梯樓梯間 見使用執照,全筆移轉
RPVNMLTJRHJGFAI86DA,20,128.94,住家用,鋼筋混凝土造,93年10月29日,十四層,十三層 陽台,全筆移轉
RPVNMLTJRHJGFAI86DA,20,85.04,共有部份,鋼筋混凝土造,93年10月29日,十四層,,持分移轉
