編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLTJRHJGFAI66DA,竹圍子段中興小段,56.65,都市：其他:商業區,20000,4478,持分移轉,01400000
RPPNMLSKRHJGFAI98EA,新興段,25.17,,60000,3918,持分移轉,03940000
RPQNMLMKRHJGFAI38DA,新厝段,117.00,都市：其他:農業區,1,1,全筆移轉,04380000
RPQNMLMKRHJGFAI38DA,新厝段,151.00,都市：其他:農業區,1,1,全筆移轉,04410000
RPQOMLLKRHJGFAI38DA,湖子內段湖美小段,17.84,都市：其他:商業區,100000,654,持分移轉,01220000
RPVPMLSKRHJGFAI07DA,溪東段,2066.60,都市：其他:農業區,1,1,全筆移轉,04620000
RPSOMLSKRHJGFAI66DA,北社尾段,140.00,都市：其他:住宅區,1,1,全筆移轉,06630002
RPUOMLQKRHJGFAI66DA,短竹段,5.71,都市：其他:住宅區,50000,48,持分移轉,09120071
RPPNMLNKRHJGFAI38DA,培元段,35.00,都市：其他:住宅區,100000,706,持分移轉,08300000
RPPNMLKKRHJGFAI08DA,下路頭段,44.00,都市：其他:住宅區,1,1,全筆移轉,02960128
RPPNMLKKRHJGFAI08DA,下路頭段,21.00,都市：其他:住宅區,1,1,全筆移轉,02960147
RPUNMLNJRHJGFAI78DA,興村段,9.40,都市：其他:商業區,17750,94,持分移轉,01490001
RPRNMLPJRHJGFAI68DA,湖子內段新民小段,36.93,都市：其他:第二種住宅區,6400000,107578,持分移轉,00100000
RPRNMLMJRHJGFAI38DA,東門段六小段,68.00,都市：其他:住宅區,1,1,全筆移轉,00850007
RPPNMLTJRHJGFAI88DA,車店段車店小段,18.51,都市：其他:住宅區,10000,308,持分移轉,06760000
RPRNMLTJRHJGFAI09DA,港子坪段港坪小段,25.69,都市：其他:住宅區,1000,35,持分移轉,01770000
RPOOMLQJRHJGFAI58DA,頂庄段,18.67,都市：其他:住宅區,90000,602,持分移轉,04200000
RPQOMLQJRHJGFAI78DA,中庄段,89.00,都市：其他:住宅區,1,1,全筆移轉,03600000
RPVNMLTJRHJGFAI86DA,新白川段,38.00,都市：其他:住宅區,100000,747,持分移轉,00100000
RPTOMLLKRHJGFAI68DA,埤子頭段,69.00,都市：其他:住宅區,1,1,全筆移轉,03710028
RPTOMLLKRHJGFAI68DA,埤子頭段,31.00,都市：其他:道路用地,1,1,全筆移轉,03710074
RPVNMLKKRHJGFAI68DA,南田段,62.22,都市：其他:住宅區,1,1,全筆移轉,02300000
RPVNMLKKRHJGFAI68DA,南田段,3.82,都市：其他:道路用地,1,1,全筆移轉,02370000
RPQNMLKKRHJGFAI18DA,檜段四小段,1.93,都市：其他:商業區,10000,55,持分移轉,00020000
RPRNMLMKRHJGFAI48DA,黑金段,23.00,都市：其他:商業區,1,1,全筆移轉,00250006
RPRNMLMKRHJGFAI48DA,黑金段,10.00,都市：其他:商業區,1,1,全筆移轉,00260008
RPPNMLMKRHJGFAI38EA,草地尾段,3.79,都市：其他:住宅區,10000,7,持分移轉,13830000
RPVNMLLKRHJGFAI78DA,陳厝段,.90,都市：其他:住宅區,12,2,持分移轉,01850000
RPVNMLLKRHJGFAI78DA,陳厝段,2.68,都市：其他:住宅區,12,2,持分移轉,01850006
RPVNMLLKRHJGFAI78DA,陳厝段,1.97,都市：其他:住宅區,12,2,持分移轉,01850007
RPVNMLLKRHJGFAI78DA,陳厝段,.18,都市：其他:住宅區,12,2,持分移轉,01850009
RPVNMLLKRHJGFAI78DA,陳厝段,86.41,都市：其他:住宅區,1,1,全筆移轉,01850010
RPVNMLLKRHJGFAI78DA,陳厝段,28.35,都市：其他:住宅區,12,2,持分移轉,01850011
RPVNMLLKRHJGFAI78DA,陳厝段,1.36,都市：其他:住宅區,12,2,持分移轉,01850012
RPVNMLLKRHJGFAI78DA,陳厝段,.17,都市：其他:住宅區,12,2,持分移轉,01850013
RPVNMLLKRHJGFAI78DA,陳厝段,.42,都市：其他:住宅區,12,2,持分移轉,01850014
