編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLLKRHJGFAI38DA,坡道機械,0,,地下二樓
RPPNMLNKRHJGFAI38DA,坡道平面,0,,地下二樓
RPRNMLPJRHJGFAI68DA,坡道平面,0,,地下一樓
RPRNMLTJRHJGFAI09DA,坡道平面,0,,地下一樓
RPVNMLTJRHJGFAI86DA,坡道平面,0,,地下一樓
RPWNMLMJRHJGFAI88DA,坡道平面,0,,地下一樓
RPTNMLMLQHJGFAI68DA,一樓平面,0,,一樓
RPWNMLMKRHJGFAI98DA,一樓平面,0,,一樓
RPVNMLMKRHJGFAI88DA,一樓平面,0,,一樓
RPWNMLPJRHJGFAI56DA,一樓平面,800000,21.94,一樓
RPWNMLTJRHJGFAI96DA,坡道平面,0,,地下二樓
RPXNMLLKRHJGFAI98DA,坡道機械,0,,地下一樓
RPXOMLQKRHJGFAI96DA,坡道平面,0,,地下二樓
RPPNMLRKRHJGFAI78DA,坡道平面,0,,地下二樓
RPWNMLKLQHJGFAI78DA,坡道平面,1200000,,地下一樓
RPRNMLKLPHJGFAI18DA,一樓平面,0,,一樓
RPSPMLTKQHJGFAI76DA,坡道平面,1200000,24.00,地下一樓
