鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,租賃房屋,嘉義市嘉義市友忠路８０１號,0.0,,,,1130808,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0871106,85.03,6,2,4,有,無,無,10000,118,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPPNMLMKQHJGFAI28CC,整棟(戶)出租,無,1130815~1140814,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市東洋新?１２３之９號５樓４,0.0,,,,1130809,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780518,45.32,1,0,1,有,有,有,9000,199,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPQNMLMKQHJGFAI38CC,獨立套房,有,1130809~1140808,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市彌陀路２３８巷５９弄２號,0.0,,,,1130806,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790219,121.62,3,2,2,有,有,有,14000,115,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPRNMLMKQHJGFAI48CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市小雅路３４３號五樓６,0.0,,,,1130809,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,27.78,1,0,1,有,有,有,6033,217,,0.0,0,此為嘉義市社會住宅包租代管計畫。管理費667元,RPSNMLMKQHJGFAI58CC,獨立套房,有,1130811~1140810,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市杭州四街６４號,0.0,,,,1130807,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,114.7,3,1,2,有,有,有,15000,131,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPTNMLMKQHJGFAI68CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市忠孝路５７５號四樓,0.0,,,,1130808,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800508,97.42,2,1,2,有,有,有,7500,77,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPUNMLMKQHJGFAI78CC,整棟(戶)出租,有,1130811~1140810,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市融和街１５之３號五樓１,0.0,,,,1130808,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800320,56.239999999999995,1,0,1,有,無,有,5200,92,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPWNMLMKQHJGFAI98CC,獨立套房,有,1130815~1140814,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市民生南路１０００號４樓之３,0.0,,,,1130802,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1070802,12.93,1,0,1,有,有,無,4000,309,,0.0,0,,RPXNMLMKQHJGFAI09CC,獨立套房,有,1130803~1140202,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
嘉義市,租賃房屋+車位,嘉義市嘉義市新榮路３５巷１１號六樓之５,0.0,,,,1130801,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,213.98000000000002,3,2,2,有,有,有,18000,84,坡道平面,0.0,3000,,RPPNMLNKQHJGFAI38CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市新榮路３０７之１號５樓１,0.0,,,,1130812,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821227,52.720000000000006,1,1,1,有,有,有,8500,161,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPQNMLNKQHJGFAI48CC,獨立套房,有,1130812~1140811,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市新民路１８６巷３４號,0.0,,,,1130813,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土加強磚造,0800613,16.52,2,0,1,有,無,有,4000,242,,0.0,0,,RPRNMLNKQHJGFAI58CC,分租雅房,無,1130813~1140812,無,冷氣、冰箱,
嘉義市,租賃房屋,嘉義市嘉義市興村街６０號,0.0,,,,1130808,土地0建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0800627,166.77,3,3,2,有,有,無,25000,150,,0.0,0,,RPPNMLOKQHJGFAI48CC,分層出租,有,1130901~1140831,有,冷氣、瓦斯或天然氣,
