編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKQHJGFAI38CC,35,36.92,住家用,鋼筋混凝土造,78年5月18日,五層,,
RPSNMLMKQHJGFAI58CC,31,18.81,住家用,鋼筋混凝土造,82年6月9日,十二層,,
RPRNMLMKQHJGFAI48CC,34,100.81,住家用,鋼筋混凝土造,79年2月19日,七層,,
RPTNMLMKQHJGFAI68CC,36,99.25,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPWNMLMKQHJGFAI98CC,33,38.01,住家用,鋼筋混凝土造,80年3月20日,五層,,
RPQNMLMKQHJGFAI38CC,35,2.69,共有部份,鋼筋混凝土造,78年5月18日,五層,,
RPSNMLMKQHJGFAI58CC,31,3.52,共有部份,鋼筋混凝土造,82年6月9日,十二層,,
RPRNMLMKQHJGFAI48CC,34,20.81,共有部份,鋼筋混凝土造,79年2月19日,七層,,
RPTNMLMKQHJGFAI68CC,36,15.45,共有部份,鋼筋混凝土造,78年1月17日,七層,,
RPWNMLMKQHJGFAI98CC,33,7.25,共有部份,鋼筋混凝土造,80年3月20日,五層,,
RPQNMLMKQHJGFAI38CC,35,5.71,共有部份,鋼筋混凝土造,78年5月18日,五層,,
RPSNMLMKQHJGFAI58CC,31,5.45,共有部份,鋼筋混凝土造,82年6月9日,十二層,,
RPWNMLMKQHJGFAI98CC,33,10.98,共有部份,鋼筋混凝土造,80年3月20日,五層,,
RPUNMLMKQHJGFAI78CC,33,80.51,住家用,鋼筋混凝土造,80年5月8日,十層,,
RPUNMLMKQHJGFAI78CC,33,14.23,共有部份,鋼筋混凝土造,80年5月8日,十層,,
RPUNMLMKQHJGFAI78CC,33,2.68,共有部份,鋼筋混凝土造,80年5月8日,十層,,
RPPNMLMKQHJGFAI28CC,26,85.03,住商用,鋼筋混凝土造,87年11月6日,三層,,
RPQNMLNKQHJGFAI48CC,31,39.09,住家用,鋼筋混凝土造,82年12月27日,八層,,
RPQNMLNKQHJGFAI48CC,31,8.66,共有部份,鋼筋混凝土造,82年12月27日,八層,,
RPQNMLNKQHJGFAI48CC,31,4.97,共有部份,鋼筋混凝土造,82年12月27日,八層,,
RPXNMLMKQHJGFAI09CC,6,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPXNMLMKQHJGFAI09CC,6,3.31,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLNKQHJGFAI38CC,20,128.94,住家用,鋼筋混凝土造,93年10月29日,十四層,,
RPPNMLNKQHJGFAI38CC,20,85.04,共有部份,鋼筋混凝土造,93年10月29日,十四層,,
RPRNMLNKQHJGFAI58CC,33,16.52,住家用,鋼筋混凝土加強磚造,80年6月13日,三層,,
RPPNMLOKQHJGFAI48CC,33,166.77,住商用,鋼筋混凝土造,80年6月27日,十五層,,
RPVNMLPKQHJGFAI56CC,36,24.19,住家用,鋼筋混凝土造,78年2月3日,七層,,
RPVNMLPKQHJGFAI56CC,36,12.46,共有部份,鋼筋混凝土造,78年2月3日,七層,,
RPSNMLPKQHJGFAI88CC,42,97.89,住商用,鋼筋混凝土加強磚造,72年1月17日,二層,,
RPQNMLPKQHJGFAI68CC,8,88.22,集合住宅,鋼筋混凝土構造,105年5月10日,十四層,,
RPTNMLPKQHJGFAI98CC,33,126.90,住家用,鋼筋混凝土造,80年5月29日,三層,,
RPQNMLPKQHJGFAI68CC,8,15.00,本共有部分之項目有停車空間、消防機房、排風機房、排煙室、機房、電錶室、樓梯間、防空避難室兼停車空間、水箱、台電受電室、緊急發電機房、電信室、外廊管委會使用空間、門廳等１４項,鋼筋混凝土構造,105年5月10日,十四層,,
RPQNMLPKQHJGFAI68CC,8,27.27,本共有部份之項目計有：梯廳兼排煙室、樓梯間、水箱、水錶室、電梯機房等五項。,鋼筋混凝土構造,105年5月10日,十四層,,
RPPNMLPKQHJGFAI58CC,6,9.91,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPRNMLPKQHJGFAI78CC,45,92.12,住家用,鋼筋混凝土加強磚造,69年1月8日,二層,,
RPPNMLPKQHJGFAI58CC,6,3.41,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLPKQHJGFAI58CC,6,63.08,本共有部分之項目有室內停車空間１項,鋼筋混凝土構造,107年8月2日,五層,,
RPUNMLPKQHJGFAI09CC,28,85.19,住家用,鋼筋混凝土造,86年2月3日,八層,,
RPUNMLPKQHJGFAI09CC,28,43.27,防空避難室、梯間、機械房、停車空間,鋼筋混凝土造,86年2月3日,八層,,
RPWNMLPKQHJGFAI66CC,1,75.11,集合住宅,鋼筋混凝土造,112年10月2日,十層,,
RPWNMLPKQHJGFAI66CC,1,35.38,本共有部分之項目有公共空間、停車空間、防空避難室兼停車空間、管委會使用空間、門廊及交誼空間等６項,鋼筋混凝土造,112年10月2日,十層,,
RPWNMLPKQHJGFAI66CC,1,15.62,本共有部分之項目有安全梯、戶外安全梯、管道間、昇降機道、梯廳、蓄水池、昇降機機械房及樓梯間等８項,鋼筋混凝土造,112年10月2日,十層,,
RPWNMLPKQHJGFAI66CC,1,8.61,本共有部分之項目有梯廳等１項,鋼筋混凝土造,112年10月2日,十層,,
RPQNMLQKQHJGFAI78CC,16,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPRNMLQKQHJGFAI88CC,16,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPQNMLQKQHJGFAI78CC,16,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPPNMLTKQHJGFAI98CC,16,39.60,商業用,鋼筋混凝土造,97年3月3日,四層,,
RPRNMLQKQHJGFAI88CC,16,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPPNMLTKQHJGFAI98CC,16,12.51,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPQNMLTKQHJGFAI09CC,16,39.60,商業用,鋼筋混凝土造,97年3月3日,四層,,
RPPNMLTKQHJGFAI98CC,16,12.51,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPQNMLTKQHJGFAI09CC,16,12.51,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPPNMLTKQHJGFAI98CC,16,12.51,共有部份,鋼筋混凝土造,97年3月3日,四層,,
