鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹北市,土地,竹仁段542地號,5.6,都市：其他:道路用地,,,1130824,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,71429,,0.0,0,包含公共設施保留地用地；,RPPNMLQLQHJGFBJ88DA,0.0,0.0,0.0,無,001
竹北市,土地,竹仁段542地號,1.4,都市：其他:道路用地,,,1130828,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,71429,,0.0,0,包含公共設施保留地用地；,RPVOMLSLQHJGFBJ17DA,0.0,0.0,0.0,無,001
關西鎮,房地(土地+建物),新竹縣關西鎮育賢街８巷１０號,90.71,住,,,1130819,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690708,119.6,3,2,2,有,無,3000000,25084,,0.0,0,,RPWNMLTLQHJGFBJ27DA,119.6,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利八街一段３８９號二十六樓,13.9,商,,,1130811,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070418,158.86,3,2,2,有,有,31500000,198288,坡道平面,24.96,0,,RPQOMLMJRHJGFBJ58DA,76.77,8.68,3.55,有,003
竹北市,房地(土地+建物)+車位,新竹縣竹北市科大一路２００號七樓,18.67,住,,,1130803,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010531,133.49,2,2,1,有,有,20800000,155817,坡道平面,30.0,0,陽台外推；,RPSNMLSJRHJGFBJ66DA,51.33,6.35,11.04,有,004
芎林鄉,房地(土地+建物),新竹縣芎林鄉三民路５２號,195.65,,山坡地保育區,丙種建築用地,1130810,土地7建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820215,338.69,7,3,4,有,有,18800000,55508,,0.0,0,其他增建部分為一樓空地、一樓後陽台增建採光罩及玻璃屋,RPSNMLTJRHJGFCJ86DA,300.98,15.26,22.45,無,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉達生五路３５０號十樓之２,15.69,商,,,1130802,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621,138.44,2,1,1,有,有,13500000,97515,坡道平面,38.94,0,,RPQNMLQJRHJGFDJ09DA,57.56,0.0,4.77,有,005
湖口鄉,土地,和興段1656地號,1850.0,,特定農業區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6720000,3632,,0.0,0,,RPOOMLQJRHJGFDJ98DA,0.0,0.0,0.0,無,
北埔鄉,土地,福林段105地號,7212.69,,山坡地保育區,農牧用地,1130813,土地16建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,555,,0.0,0,,RPPNMLQJRHJGFCJ98EA,0.0,0.0,0.0,無,
尖石鄉,土地,那羅段306地號,25090.0,,山坡地保育區,林業用地,1130830,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,151,,0.0,0,,RPQNMLTJRHJGFCJ76EA,0.0,0.0,0.0,無,006
尖石鄉,土地,那羅段305地號,14000.0,,山坡地保育區,林業用地,1130814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1400000,100,,0.0,0,,RPWNMLTJRHJGFCJ37EA,0.0,0.0,0.0,無,
竹北市,車位,新竹縣竹北市光明六路東一段２９６之１號,1.38,商,,,1130819,土地1建物1車位1,一層,二十三層,其他,管理室,鋼筋混凝土造,0960528,14.96,0,0,0,無,有,500000,,坡道機械,16.62,500000,僅車位交易；,RPTOMLKLQHJGFBJ78DA,0.0,0.0,0.0,有,007
竹北市,車位,新竹縣竹北市光明六路東一段２９６之１號,0.69,商,,,1130819,土地1建物1車位1,一層,二十三層,其他,管理室,鋼筋混凝土造,0960528,13.3,0,0,0,無,有,500000,,坡道機械,16.62,500000,僅車位交易；,RPUOMLKLQHJGFBJ88DA,0.0,0.0,0.0,有,007
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路１２６號,13.47,商,,,1130810,土地1建物1車位2,一層，見其他登記事項,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1010711,163.28,1,1,2,有,有,18800000,115140,坡道平面,50.44,0,,RPTQMLOJRHJGFBJ66DA,78.33,0.0,0.0,有,009
竹北市,土地,竹北段696地號,237.19,,鄉村區,乙種建築用地,1130807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,36600000,154307,,0.0,0,,RPPNMLQJRHJGFBJ88EA,0.0,0.0,0.0,無,
關西鎮,土地,東安段102-1地號,11.53,住,,,1130820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,379683,32930,,0.0,0,政府機關標讓售；,RPPNMLKKRHJGFBJ38EA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市華興街２１７號,28.21,住,,,1130819,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,,37.35,4,3,2,有,無,1690000,45248,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTKQHJGFBJ66DA,37.35,0.0,0.0,無,
新埔鎮,土地,義民段897地號,122.0,,特定農業區,甲種建築用地,1130821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10380000,85082,,0.0,0,未登記建物；,RPSOMLMJRHJGFBJ78DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市縣政九路１６３號五樓之六,5.82,商,,,1130808,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950223,40.31,1,1,1,有,有,8350000,207145,,0.0,0,陽台外推；夾層；,RPUNMLTJRHJGFBJ96DA,25.35,0.58,5.25,有,
竹東鎮,土地,頭重埔段237-73地號,132.35,都市：其他:工業區,,,1130812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7782000,58799,,0.0,0,農作物；,RPOTNLLLQHJGFCJ09DA,0.0,0.0,0.0,無,010
竹東鎮,土地,頭重埔段237-73地號,71.99,都市：其他:工業區,,,1130812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4218000,58591,,0.0,0,農作物；,RPPTNLLLQHJGFCJ56DA,0.0,0.0,0.0,無,010
寶山鄉,土地,寶山段沙湖壢小段917-4地號,750.08,,山坡地保育區,林業用地,1130803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,6666,,0.0,0,,RPSTNLLLQHJGFCJ86DA,0.0,0.0,0.0,無,
寶山鄉,土地,雙龍段34地號,210.31,都市：其他:道路用地,,,1130827,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2682635,12756,,0.0,0,包含公共設施保留地用地；,RPUNMLRLQHJGFCJ96DA,0.0,0.0,0.0,無,
寶山鄉,土地,三叉凸段2269地號,298.18,,山坡地保育區,丙種建築用地,1130821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2706000,9075,,0.0,0,,RPTNMLSLQHJGFCJ96DA,0.0,0.0,0.0,無,
竹東鎮,土地,大鄉段974-34地號,672.63,,山坡地保育區,農牧用地,1130814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3400000,5055,,0.0,0,,RPQNMLKMQHJGFCJ58DA,0.0,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉中正二路３６號,130.26,都市：其他:住(一),,,1130803,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1121206,284.86,5,2,4,有,無,34500000,121112,,0.0,0,其他增建；,RPXNMLTLQHJGFDJ57DA,264.46,0.0,20.4,有,
新埔鎮,房地(土地+建物),新竹縣新埔鎮福德街９５２號四樓之一,44.58,住,,,1130813,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130514,116.01,3,2,2,有,有,13900000,119817,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSNMLPJRHJGFBJ09EA,82.48,0.0,6.14,有,
竹北市,土地,斗崙段頂斗崙小段119-4地號,0.71,都市：其他:道路用地,,,1130829,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,0,,0.0,0,包含公共設施保留地用地；,RPPNMLTJRHJGFBJ56EA,0.0,0.0,0.0,無,012
寶山鄉,土地,寶山段沙湖壢小段917-25地號,1427.64,,山坡地保育區,林業用地,1130810,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4600000,3222,,0.0,0,,RPVNMLLKRHJGFCJ56EA,0.0,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉信昌街１７７號,129.47,,鄉村區,乙種建築用地,1130804,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0651224,100.51,3,2,3,有,無,5000000,49746,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJRHJGFDJ98EA,100.51,0.0,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉美城路１７６號,70.89,,特定農業區,甲種建築用地,1130828,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,85.0,2,2,2,有,無,7900000,92941,,0.0,0,頂樓加蓋；,RPPOMLTLQHJGFDJ86DA,85.0,0.0,0.0,無,013
湖口鄉,房地(土地+建物),新竹縣湖口鄉新興路７６６巷８弄２號,52.77,,鄉村區,乙種建築用地,1130806,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,69.92,4,2,3,有,無,7800000,111556,,0.0,0,,RPWNMLKKRHJGFDJ56DA,69.92,0.0,0.0,無,014
湖口鄉,房地(土地+建物),新竹縣湖口鄉信昌五街７９號,90.99,,鄉村區,乙種建築用地,1130826,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040620,202.71,4,2,3,有,無,18300000,90277,,0.0,0,,RPTNMLLKRHJGFDJ98DA,193.48,6.52,2.71,無,015
湖口鄉,房地(土地+建物),新竹縣湖口鄉大勇路３巷３１號,10.83,,工業區,丁種建築用地,1130828,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950824,42.760000000000005,1,1,1,有,有,2650000,61974,,0.0,0,,RPUNMLMKRHJGFDJ56DA,33.09,0.0,2.25,有,016
尖石鄉,土地,柿山段358地號,7510.0,,山坡地保育區,林業用地,1130809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,675900,90,,0.0,0,,RPRNMLQJRHJGFCJ56EA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１２６巷５弄２８號八樓,25.96,都市：其他:科技商務服務專用區,,,1130815,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,168.82,3,2,2,有,有,18500000,109591,坡道平面,0.0,0,,RPWNMLQJRHJGFCJ96DA,89.9,0.0,5.35,有,017
寶山鄉,土地,園區段581-3地號,34.59,都市：其他:保護區,,,1130808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,8673,,0.0,0,,RPWNMLQKRHJGFCJ07DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光一路１０５號五樓,27.74,都市：其他:科技商務服務專用區,,,1130802,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121003,173.13,3,2,2,有,有,23500000,135736,坡道平面,32.5,0,,RPPNMLQKRHJGFCJ09EA,93.61,0.0,5.93,有,018
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮三重路３６號九樓,17.37,都市：其他:住一,,,1130804,土地4建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810706,101.66999999999999,3,2,2,有,有,7700000,75735,坡道機械,0.0,0,,RPPOMLKMQHJGFCJ58DA,68.66,0.0,9.08,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政五街３２巷８號七樓之三,27.55,商,,,1130731,土地3建物1車位1,七層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0871002,159.61,0,0,0,無,有,13880000,86962,坡道機械,11.66,0,,RPVPMLKMPHJGFBJ09DA,89.58,0.0,7.64,有,019
竹北市,土地,省道段971地號,340.48,,,,1130726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30820318,90520,,0.0,0,包含公共設施保留地用地；,RPPPMLOJQHJGFBJ68DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段３７１號七樓,47.55,住,,,1130720,土地1建物1車位2,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造、鋼骨鋼筋混凝土造,1070809,329.01,3,2,2,有,有,72000000,218838,坡道平面,62.42,0,,RPPPMLSJQHJGFBJ09DA,151.42,12.23,15.01,有,020
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街１１１號九樓,31.04,住,,,1130726,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130605,154.57,3,2,2,有,有,12900000,93935,坡道平面,33.21,1500000,,RPRNMLLJRHJGFBJ48DA,75.48,0.0,6.43,有,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街１１７號五樓,31.26,住,,,1130726,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130605,155.34,3,2,2,有,有,12260000,87693,坡道平面,33.21,1550000,,RPSNMLLJRHJGFBJ58DA,76.01,0.0,6.43,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興路９１３巷４２號三樓,37.9,住,,,1130701,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821129,129.9,2,2,2,有,有,12050000,92757,坡道平面,0.0,0,,RPTNMLMJRHJGFBJ78DA,64.3,0.0,7.63,有,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮寶鎮１１３號,40.78,,山坡地保育區,丙種建築用地,1130710,土地6建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830421,135.52,3,2,2,有,無,6200000,45750,坡道平面,0.0,0,其他增建；,RPRNMLSJRHJGFBJ56DA,76.6,10.44,0.0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉民族街５號,60.75,住,,,1130719,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0860729,185.47,4,2,3,有,無,17500000,94355,,0.0,0,,RPRNMLLLQHJGFDJ78DA,165.0,0.0,20.47,無,021
尖石鄉,土地,柿山段651地號,45232.0,,山坡地保育區,林業用地,1130729,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,64,,0.0,0,,RPPNMLTJRHJGFCJ66EA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路５３號六樓,44.24,住,,,1130730,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010113,260.65,4,2,2,有,有,25400000,97449,坡道平面,74.14,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLNJRHJGFBJ48DA,140.94,8.64,13.45,有,022
竹北市,房地(土地+建物),新竹縣竹北市中山三街１０之３號,96.93,,鄉村區,乙種建築用地,1130712,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130524,287.74,5,2,6,有,有,43400000,150831,,0.0,0,,RPROMLTJRHJGFBJ76DA,274.6,0.0,13.14,有,
竹東鎮,土地,資源段471-1地號,226.0,住,,,1130705,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,27000000,119469,,0.0,0,,RPSOMLNLQHJGFCJ09DA,0.0,0.0,0.0,無,
寶山鄉,土地,寶山段沙湖壢小段198-10地號,172.0,,山坡地保育區,農牧用地,1130730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3900000,22674,,0.0,0,,RPUNMLNJRHJGFCJ09DA,0.0,0.0,0.0,無,023
竹北市,房地(土地+建物),新竹縣竹北市嘉祥一街１８巷１號,82.81,住,,,1130729,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0920124,215.65,4,2,3,有,有,24600000,114074,,0.0,0,其他增建；,RPTNMLKMPHJGFBJ68DA,203.38,4.14,8.13,無,024
竹北市,房地(土地+建物)+車位,新竹縣竹北市中山路６０５號四樓之一,17.28,商,,,1130730,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121110,164.76,3,2,2,有,有,24380000,147973,坡道平面,30.69,0,,RPWNMLNKQHJGFBJ56DA,82.98,0.0,8.8,有,025
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路２７５號五樓之二,17.26,住,,,1130708,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850821,112.82,2,2,1,有,有,12880000,114164,坡道平面,0.0,0,含租約；,RPPNMLNLQHJGFBJ58DA,52.24,0.0,11.53,有,026
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光一路１０１號八樓,30.16,都市：其他:科技商務服務專用區,,,1130716,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121003,218.22000000000003,4,2,2,有,有,26900000,123270,坡道平面,65.0,0,,RPUNMLSKPHJGFCJ86DA,101.63,0.0,6.8,有,027
尖石鄉,土地,新樂段水田小段133-1地號,2622.0,,山坡地保育區,農牧用地,1130713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,572,,0.0,0,,RPROMLTLQHJGFCJ96DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮三重路２巷１５弄１５號,100.63,都市：其他:住一,,,1130717,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,117.72,4,2,2,有,無,8500000,72205,,0.0,0,,RPTNMLOJRHJGFCJ09DA,117.72,0.0,0.0,無,
寶山鄉,土地,雙峰段78-3地號,16.9,,山坡地保育區,丙種建築用地,1130718,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,613470,36300,,0.0,0,畸零地或有合併使用效益；,RPPPMLKKRHJGFCJ58DA,0.0,0.0,0.0,無,
寶山鄉,土地,雙峰段76-3地號,16.9,,山坡地保育區,丙種建築用地,1130718,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,613470,36300,,0.0,0,畸零地或有合併使用效益；,RPQPMLKKRHJGFCJ68DA,0.0,0.0,0.0,無,
橫山鄉,土地,沙坑貳段252-17地號,1321.14,,山坡地保育區,農牧用地,1130715,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13500000,10218,,0.0,0,未登記建物；,RPWNMLLKRHJGFCJ56DA,0.0,0.0,0.0,無,028
