編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLTLQHJGFBJ27DA,44,119.60,住家用,加強磚造,69年7月8日,二層,一層 二層 騎樓,全筆移轉
RPSNMLTJRHJGFCJ86DA,31,338.69,住家用,鋼筋混凝土造,82年2月15日,四層,一層 二層 三層 四層 陽台 平台 露台,全筆移轉
RPQOMLMJRHJGFBJ58DA,6,89.00,住家用,鋼筋混凝土造,107年4月18日,二十九層,二十六層 陽台 雨遮,全筆移轉
RPQOMLMJRHJGFBJ58DA,6,69.86,本共有部分之項目有防空避難室兼停車空間、停車空間、中繼機房、防災中心、台電配電場所、管委會空間、開放空間、集中式垃圾貯存空間、樓梯間、機械室、水箱等十一項。,鋼筋混凝土造,107年4月18日,二十九層,,持分移轉
RPQNMLQJRHJGFDJ09DA,5,62.33,集合住宅,鋼筋混凝土造,108年6月21日,十五層,十層 陽台,全筆移轉
RPQNMLQJRHJGFDJ09DA,5,51.43,本共有部分之項目有停車空間、防空避難室、管委會空間等三項,鋼筋混凝土造,108年6月21日,十五層,,持分移轉
RPQNMLQJRHJGFDJ09DA,5,24.68,本共有部分之項目有梯間、樓梯間、機電設備空間、機械室、水箱等五項,鋼筋混凝土造,108年6月21日,十五層,,持分移轉
RPSNMLSJRHJGFBJ66DA,12,68.72,住家用,鋼筋混凝土造,101年5月31日,十三層,七層 陽台 雨遮,全筆移轉
RPSNMLSJRHJGFBJ66DA,12,48.87,本共有部分之項目有防空避難室，停車空間，廣場式開放空間，垃圾儲藏空間，沿街式開放空間等五項。,鋼筋混凝土造,101年5月31日,十四層,,持分移轉
RPSNMLSJRHJGFBJ66DA,12,15.90,本共有部分之項目有樓梯間、水箱、機械室等三項。,鋼筋混凝土造,101年5月31日,十三層,,持分移轉
RPUNMLTJRHJGFBJ96DA,18,31.18,商業用,鋼筋混凝土造,95年2月23日,十二層,五層 陽台 雨遮,全筆移轉
RPUNMLTJRHJGFBJ96DA,18,4.82,共有部分,鋼筋混凝土造,95年2月23日,十二層,,持分移轉
