編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLSLQHJGFBJ17DA,竹仁段,.93,都市：其他:道路用地,60,2,持分移轉,05420000
RPVOMLSLQHJGFBJ17DA,竹仁段,.47,都市：其他:道路用地,60,2,持分移轉,05420004
RPPNMLQLQHJGFBJ88DA,竹仁段,3.73,都市：其他:道路用地,60,8,持分移轉,05420000
RPPNMLQLQHJGFBJ88DA,竹仁段,1.87,都市：其他:道路用地,60,8,持分移轉,05420004
RPWNMLTLQHJGFBJ27DA,東安段,90.71,都市：其他:住宅區,1,1,全筆移轉,03500000
RPOOMLQJRHJGFDJ98DA,和興段,1850.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16560000
RPSNMLTJRHJGFCJ86DA,上山貳段,.02,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,32,持分移轉,03100000
RPSNMLTJRHJGFCJ86DA,上山貳段,3.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,32,持分移轉,03760000
RPSNMLTJRHJGFCJ86DA,上山貳段,6.08,非都市：山坡地保育區 ; 非都市編定：水利用地,10000,32,持分移轉,03770000
RPSNMLTJRHJGFCJ86DA,上山貳段,.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,567000,986,持分移轉,03820000
RPSNMLTJRHJGFCJ86DA,上山貳段,11.65,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,32,持分移轉,03890000
RPSNMLTJRHJGFCJ86DA,上山貳段,15.18,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,29,持分移轉,03990000
RPSNMLTJRHJGFCJ86DA,上山貳段,159.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05590000
RPQNMLTJRHJGFCJ76EA,那羅段,21255.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03060000
RPQNMLTJRHJGFCJ76EA,那羅段,3835.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03060002
RPQOMLMJRHJGFBJ58DA,莊敬段,13.90,都市：其他:第二種商業區,100000,365,持分移轉,02720000
RPQNMLQJRHJGFDJ09DA,中義段,15.69,都市：其他:商業區(一),100000,537,持分移轉,03060000
RPPNMLQJRHJGFCJ98EA,福林段,1396.15,非都市：山坡地保育區 ; 非都市編定：林業用地,6,1,持分移轉,00210000
RPPNMLQJRHJGFCJ98EA,福林段,139.62,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,00250000
RPPNMLQJRHJGFCJ98EA,福林段,88.18,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,00330000
RPPNMLQJRHJGFCJ98EA,福林段,59.10,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,00340000
RPPNMLQJRHJGFCJ98EA,福林段,112.81,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,00580000
RPPNMLQJRHJGFCJ98EA,福林段,24.34,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,00660000
RPPNMLQJRHJGFCJ98EA,福林段,1047.34,非都市：山坡地保育區 ; 非都市編定：林業用地,6,1,持分移轉,00670000
