鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉新興路,26.54,,特定農業區,甲種建築用地,1130811,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.96,3,2,2,有,無,11960000,102699,坡道平面,22.57,1650000,,RPRNMLPKQHJGFDJ09CB,美禾柿,F棟7號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉新興路,26.54,,特定農業區,甲種建築用地,1130812,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.96,3,2,2,有,無,11880000,101903,坡道平面,22.57,1650000,,RPSNMLPKQHJGFDJ56CB,美禾柿,E棟8號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市環北路三段,22.37,,特定農業區,甲種建築用地,1130812,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.41,2,2,2,有,無,14310000,145180,一樓平面,20.93,1900000,,RPRNMLQKQHJGFBJ98CB,駿騰京悅,D棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市環北路三段,23.19,,特定農業區,甲種建築用地,1130812,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.55,2,2,2,有,無,15500000,152336,一樓平面,20.93,2000000,,RPSNMLQKQHJGFBJ09CB,駿騰京悅,B棟3號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮下員山路251巷51弄7號旁,90.44,,特定農業區,甲種建築用地,1130811,土地2建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,,313.19,5,2,5,有,無,33600000,107283,一樓平面,13.75,0,,RPPNMLQKQHJGFCJ88CB,富悅,B棟8號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉中崙村6鄰中崙,34.27,,特定農業區,甲種建築用地,1130811,土地2建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.42,3,2,2,有,無,13300000,96858,坡道平面,31.56,1400000,,RPSNMLQKQHJGFDJ66CB,遠傳丰景,B棟2-2F號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉中崙村6鄰中崙,30.36,,特定農業區,甲種建築用地,1130811,土地2建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.81,3,2,2,有,無,12150000,99301,坡道平面,31.56,1500000,,RPUNMLQKQHJGFDJ86CB,遠傳丰景,B棟7-6F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中興段中興小段206地號,23.05,,工業區,丁種建築用地,1130813,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.33,3,2,2,有,無,13050000,108250,坡道平面,32.48,1700000,,RPROMLQKQHJGFDJ66CB,襄鄰,D棟8號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中興段中興小段206地號,23.05,,工業區,丁種建築用地,1130816,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.81,3,2,2,有,無,14650000,109204,坡道平面,64.96,3200000,,RPUOMLQKQHJGFDJ96CB,襄鄰,D棟9號,
