編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQKQHJGFBJ09CB,溝貝段,23.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4539,持分移轉,11210000
RPRNMLPKQHJGFDJ09CB,汶山段,26.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2424,持分移轉,02180000
RPSNMLPKQHJGFDJ56CB,汶山段,26.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2424,持分移轉,02180000
RPPNMLQKQHJGFCJ88CB,中員段,72.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10040015
RPPNMLQKQHJGFCJ88CB,中員段,18.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,16,1,持分移轉,10040000
RPRNMLQKQHJGFBJ98CB,溝貝段,22.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4378,持分移轉,11210000
RPROMLQKQHJGFDJ66CB,中興段中興小段,23.05,非都市：工業區 ; 非都市編定：丁種建築用地,100000,976,持分移轉,02060000
RPSNMLQKQHJGFDJ66CB,中崙段,31.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,371,持分移轉,04560000
RPSNMLQKQHJGFDJ66CB,中崙段,2.75,非都市：特定農業區 ; 非都市編定：農牧用地,325,1,持分移轉,04590000
RPUOMLQKQHJGFDJ96CB,中興段中興小段,23.05,非都市：工業區 ; 非都市編定：丁種建築用地,100000,976,持分移轉,02060000
RPPNMLQKQHJGFBJ88DB,國義段,23.06,都市：住,10000,106,持分移轉,01620000
RPUNMLQKQHJGFDJ86CB,中崙段,27.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,325,持分移轉,04560000
RPUNMLQKQHJGFDJ86CB,中崙段,2.75,非都市：特定農業區 ; 非都市編定：農牧用地,325,1,持分移轉,04590000
RPSNMLKLQHJGFDJ78CB,榮華段,30.45,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,342,持分移轉,06630000
RPPNMLLLQHJGFDJ58CB,三元段,20.57,都市：住,100000,843,持分移轉,11290000
RPTNMLTKQHJGFDJ07CB,坪頂段,18.94,都市：住,100000,1187,持分移轉,11510000
RPSNMLLLQHJGFDJ88CB,中崙段,31.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,371,持分移轉,04560000
RPSNMLLLQHJGFDJ88CB,中崙段,2.75,非都市：特定農業區 ; 非都市編定：農牧用地,325,1,持分移轉,04590000
RPRNMLLLQHJGFDJ78CB,綠園段,117.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02790168
RPRNMLLLQHJGFDJ78CB,綠園段,1.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,02790169
RPQNMLLLQHJGFDJ68CB,綠園段,79.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02870061
