鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋,新竹縣竹北市縣政九路５６號３F-１,0.0,,,,1130810,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0930820,36.870000000000005,1,1,1,有,有,有,15000,407,,0.0,0,租金總額含管理費；含增建或未登記建物；,RPPNMLNKQHJGFBJ58CC,獨立套房,有,1130815~1140814,有,冷氣、熱水器、洗衣機,
湖口鄉,租賃房屋,新竹縣湖口鄉仁和路２０號二樓,24.75,,工業區,丁種建築用地,1130716,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820905,79.60000000000001,3,2,1,有,有,有,18000,226,,0.0,0,,RPPNMLNKQHJGFDJ78CC,整棟(戶)出租,無,1130716~1140715,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市成功三路１３２號五樓之八,12.46,住,,,1130716,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0960606,47.87,1,1,1,有,有,有,15000,313,,0.0,0,,RPPNMLOKQHJGFBJ68CC,獨立套房,無,1130716~1140715,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新埔鎮,租賃房屋,新竹縣新埔鎮寶鎮１４０號,20.0,,山坡地保育區,丙種建築用地,1130717,土地1建物1車位0,地下二層,1,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830421,63.05,3,2,2,有,無,有,12000,190,,0.0,0,,RPQNMLOKQHJGFBJ78CC,整棟(戶)出租,無,1130717~1140716,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
寶山鄉,租賃房屋+車位,新竹縣寶山鄉館前路２３號二樓,29.44,住,,,1130716,土地1建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810428,109.25,3,2,2,有,有,有,22500,206,坡道平面,0.0,3000,,RPPNMLOKQHJGFCJ78CC,整棟(戶)出租,無,1130727~1140726,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
湖口鄉,租賃房屋,新竹縣湖口鄉中山路一段１３３巷３５弄７號,0.0,,,,1130813,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,97.6,3,2,2,有,無,有,24000,246,,0.0,0,,RPPNMLOKQHJGFDJ88CC,整棟(戶)出租,無,1130815~1140814,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉永順街２２巷３號五樓,39.66,,鄉村區,乙種建築用地,1130716,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820708,94.13,3,2,2,有,有,有,12000,127,,0.0,0,,RPQNMLOKQHJGFDJ98CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新豐鄉,租賃房屋,新竹縣新豐鄉新庄路１３３號二樓,27.72,住,,,1130717,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830822,165.59,3,2,2,有,有,有,15000,91,,0.0,0,,RPRNMLOKQHJGFDJ09CC,整棟(戶)出租,無,1130717~1140716,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市台元一街８號二樓之十二,0.0,,,,1130731,土地0建物1車位2,二層,14,廠辦,工業用,鋼筋混凝土造,1020318,266.27,0,0,0,無,有,無,83120,312,坡道平面,62.8,0,,RPRNMLOKQHJGFBJ98DC,,有,1130801~1160731,有,,
竹北市,租賃房屋+車位,新竹縣竹北市台元一街８號２樓之１１,0.0,,,,1130731,土地0建物1車位3,二層,14,廠辦,工業用,鋼筋混凝土造,1020318,319.18,0,0,0,無,有,無,95020,298,坡道平面,94.2,0,,RPSNMLOKQHJGFBJ09DC,,有,1130807~1160731,有,,
竹北市,租賃房屋,新竹縣竹北市泰和一街５０巷１６弄５號,83.09,住,,,1130718,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0820730,206.76,4,2,5,有,無,有,24000,116,,0.0,0,,RPPNMLPKQHJGFBJ78CC,整棟(戶)出租,無,1130720~1140719,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
