編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOKQHJGFDJ88CC,,97.60,住家用,加強磚造,,二層,,
RPPNMLNKQHJGFBJ58CC,20,24.98,商業用,鋼筋混凝土造,93年8月20日,八層,,
RPPNMLNKQHJGFBJ58CC,20,6.37,共有部分,鋼筋混凝土造,93年8月20日,八層,,
RPPNMLNKQHJGFBJ58CC,20,5.52,共有部分,鋼筋混凝土造,93年8月20日,八層,,
RPQNMLOKQHJGFBJ78CC,30,48.62,商業用,鋼筋混凝土造,83年4月21日,地下二層,,
RPQNMLOKQHJGFBJ78CC,30,14.43,共有部分,鋼筋混凝土造,83年4月21日,地下一層,,
RPPNMLOKQHJGFCJ78CC,32,96.30,住家用,鋼筋混凝土造,81年4月28日,六層,,
RPPNMLOKQHJGFCJ78CC,32,12.95,共有部分,鋼筋混凝土造,81年4月28日,六層,,
RPPNMLNKQHJGFDJ78CC,31,65.43,住家用,鋼筋混凝土造,82年9月5日,四層,,
RPPNMLNKQHJGFDJ78CC,31,14.17,共有部分,鋼筋混凝土造,82年9月5日,四層,,
RPPNMLOKQHJGFBJ68CC,17,32.50,商業用,鋼筋混凝土造,96年6月6日,六層,,
RPPNMLOKQHJGFBJ68CC,17,15.37,共有部分,鋼筋混凝土造,96年6月6日,六層,,
RPQNMLOKQHJGFDJ98CC,31,83.88,住家用,鋼筋混凝土造,82年7月8日,五層,,
RPQNMLOKQHJGFDJ98CC,31,10.25,梯間,鋼筋混凝土造,82年7月8日,五層,,
RPRNMLOKQHJGFDJ09CC,30,127.32,住家用,鋼筋混凝土造,83年8月22日,十一層,,
RPRNMLOKQHJGFDJ09CC,30,22.69,共有部分,鋼筋混凝土造,83年8月22日,十一層,,
RPRNMLOKQHJGFDJ09CC,30,15.58,共有部分,鋼筋混凝土造,83年8月22日,十一層,,
RPSNMLOKQHJGFBJ09DC,11,206.22,工業用,鋼筋混凝土造,102年3月18日,十四層,,
RPSNMLOKQHJGFBJ09DC,11,88.98,本共有部分之項目有防空避難室、樓梯間、機械室、水箱等４項,鋼筋混凝土造,102年3月18日,十四層,,
RPSNMLOKQHJGFBJ09DC,11,23.98,本共有部分之項目有員工餐廳、訓練房舍、垃圾暫存室、員工行政中心、樓梯間、機械室、水箱等７項,鋼筋混凝土造,102年3月18日,三層,,
RPRNMLOKQHJGFBJ98DC,11,172.02,工業用,鋼筋混凝土造,102年3月18日,十四層,,
RPRNMLOKQHJGFBJ98DC,11,74.24,本共有部分之項目有防空避難室、樓梯間、機械室、水箱等４項,鋼筋混凝土造,102年3月18日,十四層,,
RPRNMLOKQHJGFBJ98DC,11,20.01,本共有部分之項目有員工餐廳、訓練房舍、垃圾暫存室、員工行政中心、樓梯間、機械室、水箱等７項,鋼筋混凝土造,102年3月18日,三層,,
RPPNMLQKQHJGFBJ88CC,4,119.42,集合住宅,鋼筋混凝土造,109年7月2日,十五層,,
RPPNMLQKQHJGFBJ88CC,4,14.58,本共有部分之項目有公共服務空間、管委會空間、梯廳、排煙室、緊急昇降機、昇降機、梯間、游泳池、機械室、水錶室、水箱等十一項。,鋼筋混凝土造,109年7月2日,十五層,,
RPPNMLQKQHJGFBJ88CC,4,21.77,本共有部分之項目有排煙室、緊急昇降機、昇降機、梯廳等四項。,鋼筋混凝土造,109年7月2日,十五層,,
RPPNMLQKQHJGFBJ88CC,4,86.69,本共有部分之項目有停車空間、排煙室、緊急昇降機、昇降機、揚水泵室、排風機室、進風機室、雨水機房兼進風機室、水箱、消防機械室、機械室、防空避難室兼停車空間、台電配電室、台電受電箱室、電錶室、發電機室、電信室、泳池機房兼進風機室等十八項。,鋼筋混凝土造,109年7月2日,十五層,,
RPPNMLQKQHJGFDJ09CC,,74.86,住家用,鋼筋混凝土造,,五層,,
RPPNMLQKQHJGFDJ09CC,29,5.78,共有部分,鋼筋混凝土造,84年7月13日,五層,,
RPPNMLQKQHJGFDJ09CC,,17.71,共有部分,鋼筋混凝土造,,五層,,
RPPNMLPKQHJGFBJ78CC,31,206.76,住商用,鋼筋混凝土造,82年7月30日,四層,,
RPPNMLRKQHJGFCJ09CC,,27.80,商業用,鋼筋混凝土造,,二層,,
RPPNMLPKQHJGFCJ88CC,,80.11,住家用,鋼筋混凝土加強磚造,,見其他登記事項,,
RPQNMLRKQHJGFCJ56CC,,36.72,商業用,鋼筋混凝土造,,二層,,
RPPNMLSKQHJGFBJ09CC,6,90.44,住家用,鋼筋混凝土造,107年11月28日,十五層,,
RPPNMLSKQHJGFBJ09CC,6,78.63,本共有部分之項目有附屬防空避難室兼停車空間、汙水機房、蓄水池、發電機房、儲藏室、梯間、電信室、台電配電場所、公共服務空間、垃圾冷藏室、機械室、水箱、停車空間、消防泵浦室等１４項。,鋼筋混凝土造,107年11月28日,十五層,,
RPPNMLSKQHJGFDJ66CC,16,46.19,集合住宅,鋼筋混凝土造,97年6月27日,五層,,
RPPNMLSKQHJGFCJ56CC,31,83.86,住家用,鋼筋混凝土造,83年1月7日,六層,,
RPPNMLSKQHJGFDJ66CC,16,12.68,停車空間、樓梯間、機械房,鋼筋混凝土造,97年6月27日,五層,,
RPPNMLSKQHJGFCJ56CC,31,20.30,共有部分,鋼筋混凝土造,83年1月7日,六層,,
RPQNMLSKQHJGFDJ76CC,18,32.90,住家用,鋼筋混凝土造,95年8月24日,五層,,
RPQNMLSKQHJGFDJ76CC,18,7.42,梯間、停車空間,鋼筋混凝土造,95年8月24日,五層,,
RPTNMLTKQHJGFBJ96CC,16,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,,
RPTNMLTKQHJGFBJ96CC,16,11.33,共有部分,鋼筋混凝土造,97年3月10日,十層,,
RPQNMLTKQHJGFBJ66CC,16,31.01,商業用,鋼筋混凝土造,97年3月21日,十三層,,
RPQNMLTKQHJGFBJ66CC,16,2.93,共有部分,鋼筋混凝土造,97年3月21日,十四層,,
RPQNMLTKQHJGFBJ66CC,16,10.92,共有部分,鋼筋混凝土造,97年3月21日,十三層,,
RPPNMLTKQHJGFBJ56CC,1,678.09,工廠,鋼筋混凝土造,112年7月13日,十八層,,
RPPNMLTKQHJGFBJ56CC,1,1037.31,工廠,鋼筋混凝土造,112年7月13日,十八層,,
RPWNMLTKQHJGFBJ27CC,16,119.92,住家用,鋼筋混凝土造,98年1月13日,十四層,,
RPRNMLTKQHJGFBJ76CC,13,100.44,住家用,鋼筋混凝土造,100年1月28日,十四層,,
RPWNMLTKQHJGFBJ27CC,16,115.37,共有部分,鋼筋混凝土造,98年1月13日,十四層,,
RPRNMLTKQHJGFBJ76CC,13,26.75,本共有部分之項目有車道、資源回收室、管理員室、公共服務空間、開放空間、梯間、機械室、水箱等八項。,鋼筋混凝土造,100年1月28日,十四層,,
RPRNMLTKQHJGFBJ76CC,13,82.78,本共有部分之項目有停車空間、防空避難室等二項。,鋼筋混凝土造,100年1月28日,十四層,,
RPVNMLTKQHJGFBJ17CC,42,87.00,住家用,鋼筋混凝土造,71年9月1日,五層,,
RPVNMLTKQHJGFBJ17CC,42,9.29,共有部分,鋼筋混凝土造,71年9月1日,五層,,
RPSNMLTKQHJGFBJ86CC,1,85.14,店舖、集合住宅,鋼筋混凝土造,112年11月10日,十五層,,
RPSNMLTKQHJGFBJ86CC,1,69.64,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、梯間、機房、水箱等六項。,鋼筋混凝土造,112年11月10日,十五層,,
RPPNMLTKQHJGFDJ76CC,29,110.62,住家用,鋼筋混凝土造,84年9月20日,五層,,
RPPNMLTKQHJGFDJ76CC,29,14.56,共有部分,鋼筋混凝土造,84年9月20日,五層,,
RPPNMLTKQHJGFCJ66CC,1,203.01,停車空間、集合住宅,鋼筋混凝土造,112年8月31日,四層,,
RPQNMLKLQHJGFBJ48CC,11,56.70,住商用,鋼筋混凝土造,102年7月9日,五層,,
RPXNMLTKQHJGFBJ37CC,10,23.10,工業用,鋼筋混凝土造,103年11月20日,四層,,
RPRNMLKLQHJGFBJ58CC,18,24.00,住家用,鋼筋混凝土造,95年3月20日,五層,,
RPQNMLTKQHJGFDJ86CC,33,86.95,住家用,鋼筋混凝土造,80年9月5日,五層,,
RPQNMLTKQHJGFDJ86CC,33,97.25,共有部分,鋼筋混凝土造,80年9月5日,五層,,
RPPNMLTKQHJGFDJ86DC,8,49.66,集合住宅、停車空間、樓梯間,鋼筋混凝土造,105年5月6日,五層,,
RPPNMLMJRHJGFBJ48CC,10,1090.33,工業用,鋼筋混凝土造,104年1月9日,十層,,
RPPNMLKLQHJGFDJ58CC,4,77.61,集合住宅,鋼筋混凝土造,109年4月29日,九層,,
RPPNMLKLQHJGFDJ58CC,4,11.40,共有部分,鋼筋混凝土造,109年4月29日,九層,,
RPPNMLKLQHJGFDJ58CC,4,10.76,共有部分,鋼筋混凝土造,109年4月29日,九層,,
RPPNMLKLQHJGFDJ58CC,4,9.29,共有部分,鋼筋混凝土造,109年4月29日,九層,,
RPQNMLKKRHJGFBJ48CC,2,88.49,集合住宅,鋼筋混凝土造,111年9月30日,二十四層,,
RPQNMLKLQHJGFDJ68CC,3,78.21,社區日用品零售及服務設施,鋼筋混凝土造,110年10月15日,十層,,
RPQNMLKKRHJGFBJ48CC,2,76.42,見其他登記事項,鋼筋混凝土造,111年9月30日,二十四層,,
RPQNMLNJRHJGFBJ68CC,14,87.87,住家用,鋼筋混凝土造,100年1月28日,十四層,,
RPQNMLNJRHJGFBJ68CC,14,23.55,本共有部分之項目有車道、資源回收室、管理員室、公共服務空間、開放空間、梯間、機械室、水箱等八項。,鋼筋混凝土造,100年1月28日,十四層,,
RPQNMLNJRHJGFBJ68CC,14,13.40,本共有部分之項目有停車空間、防空避難室等二項。,鋼筋混凝土造,100年1月28日,十四層,,
RPPNMLMKRHJGFBJ58CC,19,70.86,住家用,鋼筋混凝土造,94年11月14日,十五層,,
RPPNMLMKRHJGFBJ58CC,19,41.44,共有部分,鋼筋混凝土造,94年11月14日,十五層,,
RPPNMLMKRHJGFBJ58CC,19,14.92,共有部分,鋼筋混凝土造,94年11月14日,十五層,,
RPQNMLMKRHJGFDJ88CC,19,16.85,住家用,鋼筋混凝土造,94年6月10日,六層,,
RPQNMLMKRHJGFDJ88CC,19,4.73,防空避難室,鋼筋混凝土造,94年6月10日,六層,,
RPQNMLMKRHJGFDJ88CC,19,2.93,梯間．水箱．機械室,鋼筋混凝土造,94年6月10日,六層,,
RPQNMLNKRHJGFDJ98CC,24,35.98,住家用,鋼筋混凝土造,89年8月1日,六層,,
RPQNMLMKRHJGFDJ88CC,19,1.90,走道,鋼筋混凝土造,94年6月10日,六層,,
RPQNMLNKRHJGFDJ98CC,24,16.13,停車空間．住宅．水箱．受電室,鋼筋混凝土造,89年8月1日,六層,,
RPPNMLPKRHJGFDJ09CC,11,187.04,停車空間、集合住宅,鋼筋混凝土造,102年4月23日,四層,,
