編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKQHJGFCJ78CC,寶中段,29.44,都市：住,,,,00730000
RPQNMLOKQHJGFBJ78CC,寶鎮段,20.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,09870000
RPPNMLNKQHJGFDJ78CC,建興段鳳凰小段,24.75,非都市：工業區 ; 非都市編定：丁種建築用地,,,,04420000
RPPNMLOKQHJGFBJ68CC,公園段,12.46,都市：住,,,,07320000
RPQNMLOKQHJGFDJ98CC,永安段,39.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07660000
RPRNMLOKQHJGFDJ09CC,振興段,27.72,都市：住,,,,09200000
RPPNMLPKQHJGFBJ78CC,東華段,83.09,都市：住,,,,03480000
RPPNMLRKQHJGFCJ09CC,竹東段竹東小段,23.00,都市：商,,,,02520402
RPPNMLPKQHJGFCJ88CC,資源段,21.80,都市：住,,,,16450000
RPQNMLRKQHJGFCJ56CC,竹東段竹東小段,24.00,都市：商,,,,02520403
RPPNMLSKQHJGFBJ09CC,莊敬段,26.12,都市：住,,,,00050000
RPPNMLSKQHJGFDJ66CC,建興段鳳凰小段,15.36,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02550000
RPPNMLSKQHJGFCJ56CC,志學段,24.55,都市：住,,,,05370000
RPQNMLSKQHJGFDJ76CC,建興段鳳凰小段,10.83,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02270000
RPVNMLTKQHJGFBJ17CC,豆子埔段,27.02,都市：住,,,,06630000
RPPNMLTKQHJGFDJ76CC,南湖段,44.80,都市：住,,,,05330000
RPQNMLTKQHJGFDJ86CC,建興段鳳凰小段,34.70,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00910000
RPPNMLTKQHJGFDJ86DC,成功段,82.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03200003
RPPNMLTKQHJGFDJ86DC,成功段,.16,非都市：特定農業區 ; 非都市編定：水利用地,,,,03280044
RPQNMLKKRHJGFBJ48CC,興崙段,14.51,都市：商,,,,05840000
RPQNMLKLQHJGFDJ68CC,建興段鳳凰小段,16.23,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00920001
RPPNMLMKRHJGFBJ58CC,大學段,10.52,都市：商,,,,02190000
RPQNMLMKRHJGFDJ88CC,綠園段,38.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06990000
RPQNMLNKRHJGFDJ98CC,建興段鳳凰小段,11.10,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02690000
RPPNMLPKRHJGFDJ09CC,吉祥段,75.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01600000
