編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKQHJGFCJ78CC,坡道平面,3000,,地下一樓
RPSNMLOKQHJGFBJ09DC,坡道平面,0,31.40,地下二樓
RPSNMLOKQHJGFBJ09DC,坡道平面,0,31.40,地下二樓
RPSNMLOKQHJGFBJ09DC,坡道平面,0,31.40,地下二樓
RPRNMLOKQHJGFBJ98DC,坡道平面,0,31.40,地下二樓
RPRNMLOKQHJGFBJ98DC,坡道平面,0,31.40,地下二樓
RPPNMLQKQHJGFBJ88CC,坡道平面,0,32.73,地下一樓
RPPNMLQKQHJGFBJ88CC,坡道平面,0,30.67,地下一樓
RPPNMLRKQHJGFCJ09CC,坡道平面,3000,,地下一樓
RPQNMLRKQHJGFCJ56CC,坡道平面,3000,,地下一樓
RPPNMLSKQHJGFBJ09CC,坡道平面,0,36.15,地下二樓
RPWNMLTKQHJGFBJ27CC,坡道平面,0,,地下二樓
RPRNMLTKQHJGFBJ76CC,坡道平面,0,,地下二樓
RPRNMLTKQHJGFBJ76CC,坡道平面,0,,地下二樓
RPSNMLTKQHJGFBJ86CC,坡道平面,0,,地下一樓
RPQNMLKKRHJGFBJ48CC,坡道平面,2000,,地下五樓含以下
RPPNMLMKRHJGFBJ58CC,坡道平面,0,32.73,地下三樓
