鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
泰安鄉,土地,高熊段1235地號,2850.0,,山坡地保育區,農牧用地,1130903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,316,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTJRHJGFAK76DA,0.0,0.0,0.0,無,
苗栗市,土地,聯大段411-14地號,327.62,,山坡地保育區,丙種建築用地,1130904,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4347000,13268,,0.0,0,買賣價格含土地改良水電設備雜項工程等費用。其他；,RPQNMLPJRHJGFBK88DA,0.0,0.0,0.0,無,001
頭份市,土地,興隆段上埔小段1-2地號,137.58,都市：其他:道路用地,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,3271,,0.0,0,包含公共設施保留地用地；,RPSNMLTJRHJGFFK27DA,0.0,0.0,0.0,無,002
苑裡鎮,土地,芎蕉坑段15地號,145.0,,山坡地保育區,農牧用地,1130907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,1034,,0.0,0,,RPPNMLQJRHJGFCK98DA,0.0,0.0,0.0,無,
頭份市,土地,下興段1058地號,25.52,,特定農業區,甲種建築用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,38595,1512,,0.0,0,土地增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKKRHJGFFK09DA,0.0,0.0,0.0,無,003
大湖鄉,土地,大寮段256地號,90.28,都市：其他:住宅區,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,11077,,0.0,0,,RPQNMLOJRHJGFAK68DA,0.0,0.0,0.0,無,
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴山村１０鄰鶴山３１８號,166.0,,特定農業區,甲種建築用地,1130905,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0640215,215.34,6,2,2,有,無,6000000,27863,,0.0,0,,RPOOMLKKRHJGFBK38DA,215.34,0.0,0.0,無,
頭份市,車位,苗栗縣頭份市蟠桃里１０鄰信三街１０６號等共有部份,0.0,,,,1130904,土地0建物1車位1,,,其他,,,,5.96,0,0,0,無,有,350000,,坡道機械,5.96,350000,本案增購汽車位一個；建物坐落地號：德義段250地號；僅車位交易；,RPQNMLPJRHJGFFK66DA,0.0,0.0,0.0,有,004
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市水源里２１鄰金陽街２７號四樓,18.34,住,,,1130907,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820425,134.66,3,2,2,有,有,5720000,42477,一樓平面,0.0,0,,RPPNMLRJRHJGFBK98DA,85.93,2.5,7.19,有,
通霄鎮,土地,城南溪南段224地號,1153.28,,一般農業區,農牧用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,954,,0.0,0,,RPPNMLNKRHJGFCK78DA,0.0,0.0,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中華里１８鄰文林街４７號八樓之一,9.62,住,,,1130905,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830521,104.53,3,2,2,有,有,6830000,65340,,0.0,0,,RPVOMLLKRHJGFDK76DA,73.12,0.0,11.08,有,
竹南鎮,土地,鹽館前段山子坪小段163-9地號,3602.33,農,,,1130913,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1700000,472,,0.0,0,持分土地之買賣,RPUNMLNKRHJGFDK76DA,0.0,0.0,0.0,無,
苗栗市,土地,南勢段8地號,9.92,,山坡地保育區,農牧用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,306000,30847,,0.0,0,,RPPNMLKKRHJGFBK48EA,0.0,0.0,0.0,無,005
頭份市,房地(土地+建物),苗栗縣頭份市自強里１７鄰建國路２５號,77.0,住,,,1130902,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840715,232.54,4,3,4,有,無,20580000,88501,,0.0,0,,RPSNMLNJRHJGFFK66DA,202.11,14.14,16.29,無,
後龍鎮,土地,龍西段613-3地號,86.0,住,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,30233,,0.0,0,,RPTNMLNKRHJGFDK66DA,0.0,0.0,0.0,無,
銅鑼鄉,土地,東田洋段150-1地號,3.71,,,,1130908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,53908,,0.0,0,,RPQNMLTJRHJGFEK96DA,0.0,0.0,0.0,無,
大湖鄉,土地,新湖段674地號,22.16,都市：其他:商業區,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,135379,,0.0,0,未登記建物；,RPPNMLKKRHJGFAK28DA,0.0,0.0,0.0,無,
