編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLKKRHJGFBK38DA,50,215.34,住家用,加強磚造,64年2月15日,三層,一層 二層 三層,全筆移轉
RPQNMLPJRHJGFFK66DA,15,5.96,防空避難室兼停車空間〈汽車位〉,ＲＣ造,98年8月25日,六層,,持分移轉
RPPNMLRJRHJGFBK98DA,31,22.39,防空避難室兼停車場,鋼筋混凝土造,82年4月25日,一層,,持分移轉
RPPNMLRJRHJGFBK98DA,31,16.65,水塔，機械室，電梯，樓梯,鋼筋混凝土造,82年4月25日,八層,,持分移轉
RPPNMLRJRHJGFBK98DA,31,95.62,住家用,鋼筋混凝土造,82年4月25日,八層,四層 陽台 花台,全筆移轉
RPVOMLLKRHJGFDK76DA,30,84.20,住家用,鋼筋混凝土造,83年5月21日,十六層,八層 陽台,全筆移轉
RPSNMLNJRHJGFFK66DA,29,232.54,住商用,鋼筋混凝土造,84年7月15日,四層,一層 二層 三層 四層 陽台 平台 騎樓 電梯樓梯間,全筆移轉
RPVOMLLKRHJGFDK76DA,30,13.58,梯間,鋼筋混凝土造,83年5月21日,,,持分移轉
RPVOMLLKRHJGFDK76DA,30,6.75,受電室，停車空間，開放空間,鋼筋混凝土造,83年5月21日,,,持分移轉
RPRNMLQLQHJGFBK56DA,28,14.85,住家用,鋼筋混凝土造,85年5月20日,五層,三層 陽台,全筆移轉
RPRNMLQLQHJGFBK56DA,28,5.66,走道，騎樓，梯間，機械室，水箱，停車空間,鋼筋混凝土造,85年5月20日,五層,,持分移轉
RPSNMLLLQHJGFBK78DA,30,104.77,住家用,鋼筋混凝土造,84年1月15日,十二層,八層 陽台,全筆移轉
RPSNMLLLQHJGFBK78DA,30,12.95,停車場，防空避難室,鋼筋混凝土造,84年1月15日,十二層,,持分移轉
RPSNMLLLQHJGFBK78DA,30,16.70,梯間，水箱,鋼筋混凝土造,84年1月15日,十二層,,持分移轉
RPSNMLLLQHJGFBK78DA,30,3.81,機房，變電室，車道，緩衝區,鋼筋混凝土造,84年1月15日,十二層,,持分移轉
RPOOMLMJRHJGFBK48DA,32,137.11,住家用,鋼筋混凝土造,81年9月30日,十層,九層 十層 陽台 花台,全筆移轉
RPOOMLMJRHJGFBK48DA,32,8.69,停車位,鋼筋混凝土造,81年11月26日,十層,停車場,持分移轉
RPOOMLMJRHJGFBK48DA,32,45.85,公共設施,鋼筋混凝土造,81年11月26日,十層,,持分移轉
RPWOMLNLQHJGFDK07DA,12,96.99,集合住宅,鋼筋混凝土造,101年8月1日,六層,六層 陽台,全筆移轉
RPWOMLNLQHJGFDK07DA,12,13.83,共有部分,鋼筋混凝土造,101年8月1日,六層,,持分移轉
RPWOMLNLQHJGFDK07DA,12,19.42,共有部分,鋼筋混凝土造,101年8月1日,六層,,持分移轉
RPVPMLRLQHJGFDK47DA,17,95.06,店舖、住宅,鋼筋混凝土造,96年8月10日,四層,一層 二層 三層 四層 陽台 平台 雨遮,持分移轉
RPPNMLOJRHJGFAK58DA,33,163.74,住家用,鋼筋混凝土造,80年12月26日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLTLQHJGFFK77DA,27,89.55,住家用,鋼筋混凝土造,86年8月27日,七層,三層 陽台,全筆移轉
RPWNMLTLQHJGFFK77DA,27,17.97,公共設施,鋼筋混凝土造,86年8月27日,,,持分移轉
RPRNMLQLQHJGFCK66DA,32,210.27,住家用,鋼筋混凝土造,81年7月15日,三層,一層 二層 三層 騎樓,全筆移轉
RPVNMLRLQHJGFFK47DA,45,244.05,住家用,鋼筋混凝土造,68年3月6日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLTJRHJGFAK56DA,46,21.30,住家用,鋼筋混凝土造,68年2月10日,三層,一層 二層 三層,持分移轉
RPPNMLOJRHJGFBK68DA,8,75.24,住家用,鋼筋混凝土造,105年4月15日,七層,五層 陽台 雨遮,全筆移轉
RPPNMLOJRHJGFBK68DA,8,44.03,本共有部分之項目有防空避難室兼停車空間，騎樓，樓梯間，電梯機房，水箱等６項。,鋼筋混凝土造,105年4月15日,七層,,持分移轉
RPQNMLLKRHJGFCK68DA,39,81.81,住家用,加強磚造,74年4月3日,二層,一層 二層,全筆移轉
RPXNMLLLQHJGFDK86DA,10,82.58,集合住宅,鋼筋混凝土造,104年1月30日,五層,四層 陽台,全筆移轉
RPPNMLMJRHJGFDK68DA,3,279.33,住商用,鋼筋混凝土造,110年10月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLLLQHJGFDK86DA,10,31.39,共有部分,鋼筋混凝土造,104年1月30日,五層,,持分移轉
RPPNMLNLQHJGFBK68DA,31,98.71,住家用,鋼筋混凝土造,82年10月26日,七層,五層 陽台,全筆移轉
RPPNMLNLQHJGFBK68DA,31,13.91,梯間，機械室，水箱,鋼筋混凝土造,82年10月26日,,,持分移轉
RPPNMLNLQHJGFBK68DA,31,14.95,防空避難室，停車場,鋼筋混凝土造,82年10月26日,,,持分移轉
RPSNMLSLQHJGFBK86DA,46,120.12,住家用,加強磚造,67年7月17日,二層,一層 二層,全筆移轉
RPSNMLMKRHJGFBK88DA,7,35.80,本共有部分之項目有防空避難室，機電空間，水箱，配電室，機械室，管委會，電信室，停車空間（室內２７輛）等８項。,鋼筋混凝土造,106年9月30日,九層,,持分移轉
RPSNMLMKRHJGFBK88DA,7,40.46,住家用,鋼筋混凝土造,106年9月30日,九層,六層 陽台,全筆移轉
RPSOMLKKRHJGFDK98DA,44,114.58,住家用,加強磚造,69年10月15日,二層,一層 二層 騎樓,全筆移轉
RPUNMLKKRHJGFFK66DA,34,61.46,住家用,鋼筋混凝土造,79年4月17日,五層,四層,全筆移轉
RPUNMLKKRHJGFFK66DA,34,11.44,住家用,鋼筋混凝土造,79年4月17日,五層,,持分移轉
RPQNMLQJRHJGFBK98DA,45,92.31,住家用,加強磚造,68年7月10日,二層,一層 二層,全筆移轉
RPQOMLLKRHJGFDK88DA,10,72.90,集合住宅,鋼筋混凝土造,103年9月29日,十五層,十一層 陽台 雨遮,全筆移轉
RPQOMLLKRHJGFDK88DA,10,34.49,共有部分,鋼筋混凝土造,103年9月29日,十五層,,持分移轉
RPQOMLLKRHJGFDK88DA,10,15.73,共有部分,鋼筋混凝土造,103年9月29日,十五層,,持分移轉
RPSNMLOJRHJGFDK56DA,,86.53,集合住宅,鋼筋混凝土造,113年5月20日,五層,二層 陽台,全筆移轉
RPSNMLOJRHJGFDK56DA,,26.18,共有部分,鋼筋混凝土造,113年5月20日,五層,,持分移轉
RPRNMLQKQHJGFFK86DA,,118.98,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPVNMLQKQHJGFFK27DA,43,83.06,住家用,加強磚造,70年3月18日,二層,一層 二層 陽台 騎樓,持分移轉
RPRNMLMJRHJGFFK09DA,26,107.59,住家用,鋼筋混凝土造,87年7月3日,五層,五層 陽台,全筆移轉
RPRNMLMJRHJGFFK09DA,26,21.44,樓梯間，機械室，水箱,鋼筋混凝土造,87年7月3日,五層,,持分移轉
RPXNMLLKRHJGFBK66DA,,142.00,住家用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPPNMLNJRHJGFCK68DA,2,149.57,住家用,鋼筋混凝土造,111年2月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSOMLKMQHJGFDK09DA,9,110.95,集合住宅、停車空間,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層 陽台,持分移轉
RPSOMLKMQHJGFDK09DA,9,110.95,集合住宅、停車空間,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層 陽台,持分移轉
RPPQMLRLQHJGFDK96DA,6,225.29,住家用,鋼筋混凝土造,107年11月26日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLKKRHJGFDK76DA,39,122.81,住家用,鋼筋混凝土造,74年11月27日,二層,一層 二層 陽台 平台,全筆移轉
RPVNMLPKQHJGFFK17DA,7,.46,管委會空間,鋼筋混凝土造,106年4月11日,十三層,一層,持分移轉
RPVNMLPKQHJGFFK17DA,7,69.51,集合住宅,鋼筋混凝土造,106年4月11日,十三層,五層 陽台,全筆移轉
RPVNMLPKQHJGFFK17DA,7,.06,停車空間、防空避難室、電機設備、樓梯間、水箱、電梯機房,鋼筋混凝土造,106年4月11日,十三層,,持分移轉
RPWNMLTJRHJGFBK27DA,,103.60,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPVNMLPKQHJGFFK17DA,7,13.98,停車空間、防空避難室、電機設備、樓梯間、水箱、電梯機房,鋼筋混凝土造,106年4月11日,十三層,,持分移轉
RPVNMLPKQHJGFFK17DA,7,.14,樓梯間,鋼筋混凝土造,106年4月11日,十三層,,持分移轉
RPVNMLPKQHJGFFK17DA,7,21.76,樓梯間,鋼筋混凝土造,106年4月11日,十三層,,持分移轉
RPQNMLSLQHJGFDK86DA,,162.32,集合住宅、停車空間,鋼筋混凝土造,113年4月26日,四層,一層 二層 三層 四層 陽台,全筆移轉
