編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTJRHJGFAK76DA,高熊段,2430.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12350000
RPSNMLTJRHJGFAK76DA,高熊段,420.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12350001
RPSNMLTJRHJGFFK27DA,興隆段上埔小段,137.58,都市：其他:道路用地,132,13,持分移轉,00010002
RPQNMLOJRHJGFAK68DA,大寮段,90.28,都市：其他:住宅區,1,1,全筆移轉,02560000
RPQNMLPJRHJGFBK88DA,聯大段,81.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,243638,24001,持分移轉,04110000
RPQNMLPJRHJGFBK88DA,聯大段,240.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04110014
RPQNMLPJRHJGFBK88DA,聯大段,5.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,243638,24001,持分移轉,04110017
RPPNMLQJRHJGFCK98DA,芎蕉坑段,145.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00150000
RPOOMLKKRHJGFBK38DA,鶴子岡段,166.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08390001
RPSNMLKKRHJGFFK09DA,下興段,25.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,15,1,持分移轉,10580000
RPPNMLNKRHJGFCK78DA,城南溪南段,1153.28,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02240000
RPPNMLRJRHJGFBK98DA,勝利段,18.34,都市：其他:住宅區,100000,1001,持分移轉,27470124
RPTNMLNKRHJGFDK66DA,龍西段,86.00,都市：其他:住宅區,1,1,全筆移轉,06130003
RPQNMLTJRHJGFEK96DA,東田洋段,3.71,,1,1,全筆移轉,01500001
RPPNMLKKRHJGFBK48EA,南勢段,9.92,非都市：山坡地保育區 ; 非都市編定：農牧用地,96,1,持分移轉,00080000
RPVOMLLKRHJGFDK76DA,新博愛段,9.62,都市：其他:住宅區,10000,61,持分移轉,10000000
RPSNMLNJRHJGFFK66DA,蟠桃段忠孝小段,77.00,都市：其他:住宅區,1,1,全筆移轉,04580002
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,1559.67,都市：其他:農業區,12,4,持分移轉,01630009
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,499.00,都市：其他:農業區,3,1,持分移轉,01630010
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,1180.67,都市：其他:農業區,3,1,持分移轉,01630012
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,210.00,都市：其他:農業區,12,4,持分移轉,01630016
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,72.67,都市：其他:農業區,3,1,持分移轉,01630019
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,78.47,都市：其他:農業區,15,1,持分移轉,01630027
RPUNMLNKRHJGFDK76DA,鹽館前段山子坪小段,1.87,都市：其他:農業區,15,1,持分移轉,01630028
RPPNMLKKRHJGFAK28DA,新湖段,22.16,都市：其他:商業區,1,1,全筆移轉,06740000
RPRNMLQLQHJGFBK56DA,縣府段,5.41,都市：其他:住宅區,10000,161,持分移轉,12010000
RPSNMLLLQHJGFBK78DA,豐年段,14.58,都市：其他:住宅區,100000,853,持分移轉,15060000
RPSNMLLLQHJGFBK78DA,豐年段,1.14,都市：其他:農業區,100000,853,持分移轉,15070000
RPOOMLMJRHJGFBK48DA,聯合段,31.45,都市：其他:住宅區,10000,195,持分移轉,06440000
RPXNMLSLQHJGFCK47DA,北勢窩段,818.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,12260002
RPQNMLLJQHJGFDK58DA,廣源段,127.58,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07280000
RPWOMLNLQHJGFDK07DA,新生段,40.21,都市：其他:住宅區,10000,226,持分移轉,06440000
RPWOMLNLQHJGFDK07DA,新生段,.41,都市：其他:住宅區,53,1,持分移轉,06440009
RPPNMLSJQHJGFDK56DA,藝文段,16.98,都市：其他:商業區,1,1,全筆移轉,00440001
RPSOMLPJRHJGFDK76DA,崎頂段,167.60,非都市：一般農業區 ; 非都市編定：農牧用地,100,20,持分移轉,01710000
RPWNMLSLQHJGFCK37DA,北勢窩段,7489.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,12250001
RPVPMLRLQHJGFDK47DA,龍東段,9.50,都市：其他:住宅區,2,1,持分移轉,02030009
RPUNMLQJRHJGFDK96DA,龍鳳西段,3.39,都市：其他:住宅區,5,1,持分移轉,08710006
RPUNMLQJRHJGFDK96DA,龍鳳西段,3.39,都市：其他:住宅區,5,1,持分移轉,08710006
RPUNMLQJRHJGFDK96DA,龍鳳西段,3.39,都市：其他:住宅區,5,1,持分移轉,08710006
RPUNMLQJRHJGFDK96DA,龍鳳西段,3.39,都市：其他:住宅區,5,1,持分移轉,08710006
RPUNMLQJRHJGFDK96DA,龍鳳西段,3.39,都市：其他:住宅區,5,1,持分移轉,08710006
RPVPMLRLQHJGFDK47DA,龍東段,1.55,都市：其他:住宅區,242,11,持分移轉,02030034
RPVPMLRLQHJGFDK47DA,龍北段,28.00,都市：其他:住宅區,2,1,持分移轉,06020014
RPRNMLQJRHJGFDK66DA,廣源段,34.12,非都市：特定農業區 ; 非都市編定：農牧用地,50,5,持分移轉,10070000
RPRNMLQJRHJGFDK66DA,廣源段,38.17,非都市：特定農業區 ; 非都市編定：農牧用地,50,5,持分移轉,10080000
RPRNMLQJRHJGFDK66DA,廣源段,22.30,非都市：特定農業區 ; 非都市編定：交通用地,50,5,持分移轉,11080000
RPRNMLQJRHJGFDK66DA,廣源段,3.42,非都市：特定農業區 ; 非都市編定：交通用地,50,5,持分移轉,11100000
RPRNMLQJRHJGFDK66DA,廣源段,6.95,非都市：特定農業區 ; 非都市編定：交通用地,50,5,持分移轉,11110000
RPRNMLQJRHJGFDK66DA,廣源段,65.43,非都市：特定農業區 ; 非都市編定：交通用地,50,5,持分移轉,11120000
RPRNMLQJRHJGFDK66DA,廣源段,499.00,非都市：一般農業區 ; 非都市編定：農牧用地,50,5,持分移轉,11400000
RPRNMLQJRHJGFDK66DA,廣源段,39.42,非都市：一般農業區 ; 非都市編定：農牧用地,50,5,持分移轉,11410000
RPRNMLQJRHJGFDK66DA,廣源段,.90,非都市：一般農業區 ; 非都市編定：農牧用地,50,5,持分移轉,11430000
RPRNMLQJRHJGFDK66DA,廣源段,1.14,非都市：一般農業區 ; 非都市編定：農牧用地,50,5,持分移轉,11440000
RPRNMLQJRHJGFDK66DA,廣源段,7.70,非都市：一般農業區 ; 非都市編定：甲種建築用地,50,5,持分移轉,11490000
RPRNMLQJRHJGFDK66DA,廣源段,145.37,非都市：一般農業區 ; 非都市編定：水利用地,15099494400,113664000,持分移轉,13260000
