編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPJRHJGFFK66DA,坡道機械,350000,5.96,地下一樓
RPPNMLRJRHJGFBK98DA,一樓平面,0,,一樓
RPOOMLMJRHJGFBK48DA,坡道機械,0,,地下一樓
RPWOMLNLQHJGFDK07DA,一樓平面,0,,一樓
RPPNMLOJRHJGFBK68DA,其他,0,,一樓
RPXNMLLLQHJGFDK86DA,一樓平面,0,,一樓
RPSNMLMKRHJGFBK88DA,其他,0,13.83,一樓
RPQOMLLKRHJGFDK88DA,坡道平面,0,24.28,地下一樓
RPROMLMKQHJGFDK98DA,一樓平面,0,13.99,一樓
RPVNMLQJRHJGFBK86DA,坡道平面,0,,地下一樓
RPSNMLNJQHJGFFK56DA,坡道平面,0,32.97,地下一樓
RPPNMLKMQHJGFEK78DA,一樓平面,0,,一樓
RPQNMLKKRHJGFDK68DA,一樓平面,0,,一樓
RPSNMLKKRHJGFDK88DA,坡道平面,0,,地下一樓
RPSNMLKKRHJGFDK88DA,坡道平面,0,,地下一樓
RPQOMLLJQHJGFFK88DA,坡道機械,0,5.96,地下一樓
RPPOMLQJQHJGFFK66DA,坡道平面,0,33.91,地下三樓
RPUNMLOJRHJGFDK76DA,一樓平面,0,,一樓
RPVNMLOJRHJGFDK86DA,一樓平面,0,,一樓
RPTNMLOJRHJGFDK66DA,一樓平面,0,,一樓
RPQNMLRJPHJGFFK66DA,坡道平面,0,,一樓
RPWNMLLJQHJGFFK76DA,坡道平面,0,22.59,地下二樓
RPVNMLNKQHJGFDK76DA,坡道機械,320000,7.29,地下一樓
RPTOMLQKPHJGFFK07DA,升降平面,0,40.74,地下一樓
RPPNMLLKRHJGFBK48DA,坡道機械,380000,6.45,地下一樓
RPQNMLKLQHJGFDK68DA,坡道平面,0,47.23,地下二樓
RPXNMLRJQHJGFDK27DA,坡道機械,0,22.69,地下二樓
RPTOMLLJQHJGFDK98DA,坡道平面,0,15.84,地下一樓
RPUNMLMJQHJGFDK09DA,坡道平面,0,26.43,地下一樓
RPSOMLTJRHJGFFK37DA,一樓平面,0,,一樓
RPWNMLNLQHJGFFK17DA,坡道平面,0,37.90,地下二樓
RPPOMLKMQHJGFDK78DA,坡道平面,0,24.42,地下一樓
RPRNMLLLPHJGFFK98DA,一樓平面,0,,一樓
RPQQMLQJRHJGFDK86DA,一樓平面,0,20.04,一樓
RPRQMLQJRHJGFDK96DA,一樓平面,0,20.04,一樓
RPQRMLQJRHJGFDK96DA,一樓平面,0,20.04,一樓
RPSRMLQJRHJGFDK17DA,一樓平面,0,20.04,一樓
RPXPMLQJRHJGFDK47DA,一樓平面,0,20.04,一樓
RPPNMLTJRHJGFDK76DA,一樓平面,0,20.04,一樓
RPVPMLQJRHJGFDK27DA,一樓平面,0,20.04,一樓
RPPPMLQJRHJGFDK66DA,一樓平面,0,20.04,一樓
RPRPMLQJRHJGFDK86DA,一樓平面,0,20.04,一樓
