編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKLQHJGFBK38CB,大倫段,27.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6074,持分移轉,11270000
RPQNMLTKQHJGFDK86CB,大同段,43.13,都市：住,100000,1757,持分移轉,07900000
RPPNMLMKQHJGFBK48CB,南勢坑段上南勢坑小段,107.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,08080034
RPPNMLMKQHJGFBK48CB,南勢坑段上南勢坑小段,1.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,384,持分移轉,08080024
RPPNMLLLQHJGFBK48CB,南勢坑段上南勢坑小段,96.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,08080019
RPPNMLMKQHJGFBK48CB,南勢坑段上南勢坑小段,.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,384,持分移轉,08080025
RPPNMLLLQHJGFBK48CB,南勢坑段上南勢坑小段,.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,345,持分移轉,08080024
RPPNMLMKQHJGFBK48CB,南勢坑段上南勢坑小段,1.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,384,持分移轉,08080026
RPPNMLLLQHJGFBK48CB,南勢坑段上南勢坑小段,.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,345,持分移轉,08080025
RPPNMLMKQHJGFBK48CB,南勢坑段上南勢坑小段,21.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,384,持分移轉,08080000
RPPNMLLLQHJGFBK48CB,南勢坑段上南勢坑小段,.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,345,持分移轉,08080026
RPPNMLMKQHJGFBK48CB,南勢坑段上南勢坑小段,6.14,非都市：山坡地保育區 ; 非都市編定：交通用地,10000,384,持分移轉,08080009
RPPNMLLLQHJGFBK48CB,南勢坑段上南勢坑小段,19.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,345,持分移轉,08080000
RPPNMLLLQHJGFBK48CB,南勢坑段上南勢坑小段,5.52,非都市：山坡地保育區 ; 非都市編定：交通用地,10000,345,持分移轉,08080009
RPQNMLMKQHJGFDK78CB,藝文段,16.91,都市：商,100000,2242,持分移轉,00660000
RPTNMLOKQHJGFFK86CB,義民段,14.50,都市：商,100000,292,持分移轉,10780000
RPPNMLLKQHJGFCK58DB,苑中段,15.34,都市：商,100000,3454,持分移轉,08120000
RPPNMLKLQHJGFCK48CB,苑西段,20.51,都市：住,100000,783,持分移轉,06210000
RPPNMLNKQHJGFCK78DB,苑中段,7.31,都市：商,100000,1645,持分移轉,08120000
RPPNMLLLQHJGFCK58CB,苑西段,27.66,都市：住,100000,1056,持分移轉,06210000
RPRNMLLLQHJGFFK09CB,仁愛段,38.33,都市：住,10000,68,持分移轉,00350000
RPPNMLMLQHJGFFK98CB,東庄段,36.77,都市：住,10000,1245,持分移轉,04400000
