編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLKLQHJGFBK38CB,一樓平面,0,15.28,一樓
RPQNMLTKQHJGFDK86CB,坡道機械,0,19.48,地下一樓
RPQNMLTKQHJGFDK86CB,坡道機械,0,19.48,地下一樓
RPQNMLMKQHJGFDK78CB,坡道平面,2200000,32.57,地下二樓
RPTNMLOKQHJGFFK86CB,坡道平面,2000000,24.63,地下二樓
RPPNMLLKQHJGFCK58DB,一樓平面,800000,,一樓
RPPNMLKLQHJGFCK48CB,坡道機械,600000,6.87,地下一樓
RPPNMLLLQHJGFCK58CB,坡道平面,1150000,13.75,地下一樓
RPRNMLLLQHJGFFK09CB,坡道平面,1550000,31.11,地下三樓
RPRNMLLLQHJGFFK09CB,坡道平面,1450000,31.11,地下三樓
RPPNMLMLQHJGFFK98CB,一樓平面,2150000,,一樓
RPPNMLLLQHJGFFK88CB,坡道平面,1550000,31.11,地下三樓
RPSNMLNLQHJGFCK09CB,一樓平面,1150000,24.46,一樓
RPTNMLLLQHJGFFK66CB,一樓平面,1550000,,一樓
RPQNMLLLQHJGFFK98CB,坡道平面,1450000,29.98,地下三樓
RPRNMLNLQHJGFCK98CB,坡道平面,1250000,29.76,地下一樓
RPQNMLNLQHJGFCK88CB,坡道平面,1250000,29.76,地下一樓
RPRNMLRLQHJGFDK86CB,升降機械,950000,7.73,一樓
RPPNMLQLQHJGFFK76CB,坡道平面,1450000,29.98,地下三樓
RPQNMLQLQHJGFFK86CB,坡道平面,1550000,29.98,地下二樓
RPRNMLQLQHJGFFK96CB,坡道平面,1550000,31.11,地下三樓
RPRNMLQLQHJGFFK96CB,坡道平面,1550000,31.11,地下三樓
RPOOMLRLQHJGFDK66CB,坡道平面,1750000,24.87,地下三樓
RPROMLRLQHJGFDK96CB,坡道平面,1750000,24.87,地下三樓
RPRNMLSLQHJGFDK96CB,其他,0,18.60,一樓
RPXNMLRLQHJGFDK47CB,坡道平面,1750000,24.87,地下三樓
RPQOMLRLQHJGFDK86CB,坡道平面,1880000,24.87,地下二樓
RPPNMLRLQHJGFFK86CB,坡道平面,1600000,28.07,地下一樓
RPPNMLRLQHJGFFK86CB,坡道平面,1400000,28.07,地下二樓
RPPNMLTLQHJGFDK86CB,一樓平面,1500000,17.58,一樓
RPRNMLTLQHJGFCK07DB,其他,750000,7.67,一樓
RPQNMLLJRHJGFFK88CB,坡道平面,2000000,24.63,地下二樓
RPPNMLKMQHJGFDK68CB,坡道平面,1500000,27.88,地下三樓
RPTNMLLJRHJGFFK56CB,坡道平面,2050000,24.63,地下二樓
RPUNMLLJRHJGFFK66CB,坡道平面,2050000,24.63,地下二樓
RPRNMLKMQHJGFDK88CB,坡道平面,1650000,26.75,地下二樓
RPPNMLLJRHJGFFK78CB,坡道平面,1750000,24.63,地下三樓
RPTNMLNJRHJGFFK76CB,坡道平面,1400000,36.16,地下二樓
RPUNMLPJRHJGFDK86CB,一樓平面,2200000,15.94,一樓
RPPNMLRJRHJGFDK56CB,一樓平面,2200000,15.94,一樓
RPVNMLPJRHJGFDK96CB,一樓平面,2200000,15.94,一樓
RPWNMLPJRHJGFDK07CB,一樓平面,2200000,15.94,一樓
RPRNMLRJRHJGFDK76CB,一樓平面,2200000,15.94,一樓
RPSNMLRJRHJGFDK86CB,一樓平面,2300000,15.94,一樓
RPUNMLRJRHJGFDK07CB,一樓平面,2200000,15.94,一樓
RPTNMLRJRHJGFDK96CB,一樓平面,2200000,15.94,一樓
RPTNMLKKRHJGFDK98CB,坡道平面,1200000,27.88,地下三樓
RPUNMLKKRHJGFDK09CB,坡道平面,1400000,27.88,地下二樓
RPXNMLKKRHJGFDK76CB,一樓平面,2300000,15.94,一樓
RPVNMLKKRHJGFDK56CB,坡道平面,1700000,27.88,地下二樓
RPWNMLKKRHJGFDK66CB,一樓平面,2300000,15.94,一樓
RPOOMLKKRHJGFDK58CB,一樓平面,2200000,15.94,一樓
RPTNMLKKRHJGFFK56CB,升降機械,880000,10.25,一樓
RPPNMLLKRHJGFFK88CB,升降機械,880000,10.25,一樓
RPXNMLLKRHJGFFK07CB,升降機械,880000,10.98,一樓
RPOOMLLKRHJGFFK88CB,升降機械,880000,10.98,一樓
RPPNMLNKRHJGFDK88CB,一樓平面,1400000,13.84,一樓
RPRNMLQKRHJGFDK76CB,坡道平面,1850000,23.34,地下二樓
