鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
苗栗市,租賃房屋,苗栗縣苗栗市水源里２５鄰陽明１２９號五樓之五,0.0,,,,1130806,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851030,28.28,1,0,1,有,有,有,6000,212,,0.0,0,租金總額含管理費；,RPQNMLMKQHJGFBK68CC,獨立套房,有,1130806~1140805,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,社會住宅包租轉租
造橋鄉,租賃房屋,苗栗縣造橋鄉談文村５鄰學府路１１１號三樓之一,0.0,,,,1130808,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900629,28.03,1,0,1,有,有,有,3500,125,,0.0,0,租金總額含管理費；,RPPNMLMKQHJGFDK78CC,獨立套房,有,1130808~1140807,無,冷氣、熱水器、冰箱,社會住宅包租轉租
頭份市,租賃房屋+車位,苗栗縣頭份市昌隆一街１０９號,0.0,,,,1130721,土地0建物1車位1,一層,15,店面(店鋪),店鋪,鋼筋混凝土造,1121103,143.29000000000002,0,0,0,無,無,無,35000,244,坡道平面,31.6,0,含機車車位一個B1-191號租金總額含稅；,RPRNMLMKQHJGFFK56CC,,無,1130721~1190721,無,瓦斯或天然氣,
頭份市,租賃房屋+車位,苗栗縣頭份市上庄路３７號２樓之６,0.0,,,,1130720,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1121025,94.88,2,2,1,有,有,有,21000,221,一樓平面,15.33,0,,RPUNMLMKQHJGFFK86CC,整棟(戶)出租,無,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
頭份市,租賃房屋+車位,苗栗縣頭份市公北三路１２８號５樓,0.0,,,,1130804,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080114,178.76999999999998,3,2,2,有,有,無,27000,151,坡道平面,27.8,0,,RPVNMLMKQHJGFFK96CC,整棟(戶)出租,有,1130816~1140815,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,
苗栗市,租賃房屋,苗栗縣苗栗市福麗里饒平街８３巷６號四樓,0.0,,,,1130807,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710608,80.28,3,2,1,有,無,有,7000,87,,0.0,0,,RPPNMLNKQHJGFBK68CC,整棟(戶)出租,無,1130808~1140807,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
苗栗市,租賃房屋,苗栗縣苗栗市文山里７鄰文發路１２１巷６７號四樓之５,0.0,,,,1130806,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080131,81.16,2,2,1,有,有,有,13500,166,,0.0,0,租金總額含管理費；,RPQNMLNKQHJGFBK78CC,整棟(戶)出租,有,1130813~1140812,有,熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
苗栗市,租賃房屋,苗栗縣苗栗市水源里２５鄰陽明１２９號五樓之十六,0.0,,,,1130729,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851030,27.189999999999998,1,0,1,有,有,有,6000,221,,0.0,0,租金總額含管理費；,RPRNMLNKQHJGFBK88CC,獨立套房,有,1130729~1140728,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市中興里１３鄰建國路二段３００巷２０號五樓,0.0,,,,1130801,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0950503,87.17999999999999,2,2,2,有,有,有,13000,149,,0.0,0,租金總額含管理費；,RPPNMLNKQHJGFFK09CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
