編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKQHJGFBK88CC,28,18.88,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPRNMLNKQHJGFBK88CC,28,8.31,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLMKQHJGFBK68CC,28,19.59,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLMKQHJGFBK68CC,28,8.69,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPUNMLMKQHJGFFK86CC,1,61.64,集合住宅,鋼筋混凝土造,112年10月25日,五層,,
RPUNMLMKQHJGFFK86CC,1,33.24,騎樓、停車空間、樓梯間、管委會、水箱,鋼筋混凝土造,112年10月25日,五層,,
RPPNMLNKQHJGFBK68CC,42,80.28,住家用,鋼筋混凝土造,71年6月8日,四層,,
RPQNMLNKQHJGFBK78CC,6,65.72,住家用,鋼筋混凝土造,108年1月31日,五層,,
RPQNMLNKQHJGFBK78CC,6,15.44,本共有部分之項目有梯間、停車空間（室內１５輛僅部分計入建物面積）等二項。,鋼筋混凝土造,108年1月31日,五層,,
RPRNMLMKQHJGFFK56CC,1,74.70,店鋪,鋼筋混凝土造,112年11月3日,十五層,,
RPRNMLMKQHJGFFK56CC,1,50.23,防空避難室兼停車空間、管委會使用空間,鋼筋混凝土造,112年11月3日,十五層,,
RPRNMLMKQHJGFFK56CC,1,18.36,樓梯間、梯廳,鋼筋混凝土造,112年11月3日,十五層,,
RPVNMLMKQHJGFFK96CC,6,101.11,集合住宅,鋼筋混凝土造,108年1月14日,十五層,,
RPVNMLMKQHJGFFK96CC,6,54.61,管委會,鋼筋混凝土造,108年1月14日,十五層,,
RPVNMLMKQHJGFFK96CC,6,23.05,樓梯間,鋼筋混凝土造,108年1月14日,十五層,,
RPPNMLNKQHJGFFK09CC,18,64.77,住家用,ＲＣ造,95年5月3日,十四層,,
RPPNMLNKQHJGFFK09CC,18,11.91,共有部分,ＲＣ造,95年5月3日,十四層,,
RPPNMLNKQHJGFFK09CC,18,10.50,共有部分,ＲＣ造,95年5月3日,十四層,,
RPPNMLOKQHJGFBK78CC,17,22.15,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPRNMLPKQHJGFFK86CC,33,527.43,住商用,鋼筋混凝土造,80年6月20日,五層,,
RPPNMLOKQHJGFBK78CC,17,11.72,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPPNMLPKQHJGFDK09CC,7,19.00,住商用、停車空間,鋼筋混凝土造,106年12月29日,四層,,
RPQNMLPKQHJGFFK76CC,31,85.71,住家用,鋼筋混凝土造,82年12月21日,十一層,,
RPQNMLPKQHJGFFK76CC,31,7.89,地下室,鋼筋混凝土造,82年12月21日,十一層,,
RPQNMLPKQHJGFFK76CC,31,6.89,走廊,鋼筋混凝土造,82年12月21日,十一層,,
RPQNMLPKQHJGFFK76CC,31,1.96,樓梯間，機械室，水箱,鋼筋混凝土造,82年12月21日,十一層,,
RPQNMLPKQHJGFFK76CC,31,1.26,走廊,鋼筋混凝土造,82年12月21日,十一層,,
RPPNMLPKQHJGFFK66CC,7,27.11,辦公室,鋼筋混凝土造,106年5月10日,七層,,
RPPNMLPKQHJGFFK66CC,7,10.14,停車空間,鋼筋混凝土造,106年5月10日,七層,,
RPSNMLPKQHJGFFK96CC,33,350.04,住商用,鋼筋混凝土造,80年6月20日,五層,,
RPPNMLPKQHJGFFK66CC,7,15.19,防空避難室、台電配電室、消防機械室、樓梯間、電梯機房、水箱,鋼筋混凝土造,106年5月10日,七層,,
RPQNMLQKQHJGFDK66CC,23,22.11,住家用,鋼筋混凝土造,90年6月29日,三層,,
RPQNMLQKQHJGFDK66CC,23,6.18,樓梯間、屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,
