鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鹿谷鄉,土地,文昌段1524地號,355.5,,一般農業區,丙種建築用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,2250,,0.0,0,,RPPNMLSJRHJGFDM86DA,0.0,0.0,0.0,無,
水里鄉,土地,新玉峰段529地號,525.43,,特定農業區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,5519,,0.0,0,,RPQNMLKKRHJGFEM98DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮西安路一段３３０號,41.32,都市：其他:住宅區,,,1130903,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0870516,84.8,8,2,3,有,無,4500000,53066,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKRHJGFCM88DA,84.79,0.0,0.0,無,
名間鄉,土地,三崙段297地號,1056.43,,一般農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2730000,2584,,0.0,0,,RPROMLMJRHJGFAM88DA,0.0,0.0,0.0,無,
名間鄉,土地,新赤水段1663地號,23.98,,鄉村區,乙種建築用地,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,160000,6672,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKRHJGFAM68EA,0.0,0.0,0.0,無,
鹿谷鄉,土地,內樹皮段158-19地號,18.5,都市：其他:林業區,,,1130904,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,481278,26015,,0.0,0,,RPUNMLTJRHJGFDM57EA,0.0,0.0,0.0,無,001
竹山鎮,土地,番子田段599-1地號,2000.0,,山坡地保育區,林業用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,200,,0.0,0,,RPRNMLTJRHJGFDM17DA,0.0,0.0,0.0,無,
中寮鄉,土地,新後寮段561-1地號,6.22,,鄉村區,乙種建築用地,1130901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,35000,5627,,0.0,0,,RPWNMLMKRHJGFAM76DA,0.0,0.0,0.0,無,
集集鎮,土地,中溝段253地號,57.55,商,,,1130907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2630000,45699,,0.0,0,,RPPNMLRJRHJGFEM86DA,0.0,0.0,0.0,無,002
中寮鄉,土地,後寮段1059-2地號,2507.17,,山坡地保育區,農牧用地,1130902,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,997,,0.0,0,,RPVNMLMKRHJGFAM66DA,0.0,0.0,0.0,無,
埔里鎮,土地,籃城段913-2地號,200.16,,特定農業區,農牧用地,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1029316,5142,,0.0,0,因辦理假地號之分割買賣合併所作之登記。,RPQNMLKKRHJGFCM78DA,0.0,0.0,0.0,無,
埔里鎮,土地,籃城段919-6地號,200.2,,特定農業區,農牧用地,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1029537,5143,,0.0,0,因辦理假地號之分割買賣合併所作之登記。,RPRNMLKKRHJGFCM88DA,0.0,0.0,0.0,無,
竹山鎮,土地,延和段847-1地號,65.96,住,,,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2100000,31837,,0.0,0,,RPPNMLMKRHJGFDM98DA,0.0,0.0,0.0,無,003
南投市,土地,南投段463-2地號,5.0,商,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,544500,108900,,0.0,0,,RPQNMLNKRHJGFAM98EA,0.0,0.0,0.0,無,
國姓鄉,土地,水長流段2324地號,1550.0,,山坡地保育區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,323,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPOMLLKRHJGFCM88DA,0.0,0.0,0.0,無,
竹山鎮,土地,文田段1223-2地號,1056.0,,山坡地保育區,農牧用地,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,379,,0.0,0,,RPPNMLSKRHJGFDM96DA,0.0,0.0,0.0,無,
南投市,土地,茄苳腳段460-18地號,102.0,,一般農業區,農牧用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,183600,1800,,0.0,0,,RPQNMLQKRHJGFAM66EA,0.0,0.0,0.0,無,
南投市,土地,光復段909地號,12.12,,鄉村區,乙種建築用地,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,367000,30281,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLQJRHJGFAM76DA,0.0,0.0,0.0,無,004
魚池鄉,土地,東池段1186-6地號,10.54,住,,,1130827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,247690,23500,,0.0,0,政府機關標讓售；,RPWNMLKKRHJGFCM76DA,0.0,0.0,0.0,無,
竹山鎮,土地,文田段131-3地號,2020.0,,山坡地保育區,林業用地,1130810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,560000,277,,0.0,0,,RPPNMLTJRHJGFDM96DA,0.0,0.0,0.0,無,005
水里鄉,土地,新上安段228地號,1371.02,,一般農業區,農牧用地,1130815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1360000,992,,0.0,0,,RPPNMLKKRHJGFEM88DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路一段８６３號十樓之１,49.36,住,,,1130817,土地2建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130326,236.61,4,2,2,有,有,18500000,89361,坡道平面,59.8,2700000,,RPUNMLTJRHJGFAM17DA,108.88,0.0,9.8,有,
中寮鄉,土地,中寮段792-9地號,7179.0,,山坡地保育區,農牧用地,1130803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,446,,0.0,0,,RPVNMLTJRHJGFAM27DA,0.0,0.0,0.0,無,006
草屯鎮,土地,新南坪段90地號,778.79,,山坡地保育區,農牧用地,1130805,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,12840,,0.0,0,,RPXNMLOKQHJGFBM07DA,0.0,0.0,0.0,無,
草屯鎮,土地,中興段1807-4地號,205.0,住,,,1130820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23450000,114390,,0.0,0,,RPQNMLLLQHJGFBM78DA,0.0,0.0,0.0,無,
竹山鎮,土地,竹圍子段小段400-1地號,408.0,住,,,1130829,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15920000,39020,,0.0,0,,RPSNMLTLQHJGFDM37DA,0.0,0.0,0.0,無,007
南投市,房地(土地+建物),南投縣南投市南陽路１３８號六樓,15.82,商,,,1130804,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931228,147.18,4,2,2,有,有,8160000,55442,,0.0,0,,RPPNMLTJRHJGFAM76EA,106.15,0.0,8.23,有,
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路１０５號,86.07,住,,,1130813,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0680217,220.09,6,2,4,有,無,15000000,68154,,0.0,0,,RPPNMLTJRHJGFBM86EA,220.09,0.0,0.0,無,
竹山鎮,房地(土地+建物),南投縣竹山鎮集山路二段７９號,113.41,,鄉村區,乙種建築用地,1130822,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0800129,198.66,5,1,5,有,無,6800000,34229,,0.0,0,,RPPNMLTJRHJGFDM07EA,178.64,0.0,20.02,無,008
鹿谷鄉,土地,內樹皮段158-13地號,109.1,都市：其他:林業區,,,1130825,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2838237,26015,,0.0,0,,RPTNMLTJRHJGFDM47EA,0.0,0.0,0.0,無,009
南投市,房地(土地+建物),南投縣南投市自強路三街１２４號五樓,29.82,住,,,1130810,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810805,92.71000000000001,2,2,2,有,無,2398000,25868,,0.0,0,,RPOOMLKLQHJGFAM48DA,76.57,0.0,7.35,無,010
南投市,房地(土地+建物),南投縣南投市南崗一路３６３巷５弄６號,214.0,住,,,1130822,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1050718,388.35,8,2,8,有,有,29880000,76941,,0.0,0,,RPXNMLMLQHJGFAM86DA,379.78,0.0,8.57,有,011
南投市,房地(土地+建物),南投縣南投市芳美路３９９巷３號,102.0,住,,,1130816,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0771213,117.75,4,3,2,有,無,7300000,61996,,0.0,0,其他增建；,RPPNMLLMQHJGFAM68DA,109.62,8.13,0.0,無,
南投市,房地(土地+建物),南投縣南投市育樂路１７２號五樓,12.36,商,,,1130816,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931228,113.23,2,2,2,有,有,7000000,61821,,0.0,0,,RPSOMLMJRHJGFAM98DA,84.01,0.0,3.6,有,012
草屯鎮,房地(土地+建物),南投縣草屯鎮富春路４８巷２２號三樓之１,30.91,都市：其他:住宅區,,,1130801,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,93.08,2,1,1,有,有,6180000,66394,,0.0,0,,RPSPMLQJRHJGFBM96DA,52.14,1.49,9.48,有,013
埔里鎮,房地(土地+建物),南投縣埔里鎮樹人三街１３７巷６號五樓之１３,11.75,都市：其他:住宅區,,,1130810,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871231,76.57,1,1,1,有,有,3631400,47426,,0.0,0,,RPTNMLLKRHJGFCM56DA,48.75,0.0,4.65,有,
國姓鄉,土地,水長流段1664-1地號,6675.0,,山坡地保育區,農牧用地,1130820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,150,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPUNMLLKRHJGFCM66DA,0.0,0.0,0.0,無,
