編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKRHJGFCM88DA,26,84.80,住商用,鋼筋混凝土造,87年5月16日,三層,一層 二層 三層 屋頂突出物 騎樓,持分移轉
RPUNMLTJRHJGFAM17DA,,118.68,集合住宅,鋼筋混凝土造,113年3月26日,十五層,十層 陽台,全筆移轉
RPUNMLTJRHJGFAM17DA,,117.93,停車空間、車道、污水機房、水箱、消防機房、排煙室、一般昇降機（無障礙）、緊急昇降機、丙梯、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、梯廳、甲梯（戶外安全，無障礙）、乙梯（戶外安全）、水錶室、乙梯、機械室、樓梯間等２１項。,鋼筋混凝土造,113年3月26日,十五層,,持分移轉
RPPNMLTJRHJGFAM76EA,20,114.38,住家用,鋼筋混凝土造,93年12月28日,十二層,六層 陽台,全筆移轉
RPPNMLTJRHJGFAM76EA,20,19.51,住家用,鋼筋混凝土造,93年12月28日,十二層,,持分移轉
RPPNMLTJRHJGFAM76EA,20,13.29,電梯樓梯間、梯間,鋼筋混凝土造,93年12月28日,十二層,,持分移轉
RPPNMLTJRHJGFBM86EA,45,220.09,住家用,鋼筋混凝土造,68年2月17日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPOOMLKLQHJGFAM48DA,32,83.92,住家用,鋼筋混凝土造,81年8月5日,五層,五層 陽台,全筆移轉
RPOOMLKLQHJGFAM48DA,32,8.79,樓梯、公共設施,鋼筋混凝土造,81年8月5日,五層,,持分移轉
RPPNMLTJRHJGFDM07EA,34,198.66,住商用,鋼筋混凝土造,80年1月29日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPXNMLMLQHJGFAM86DA,8,388.35,住家用,鋼筋混凝土造,105年7月18日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPPNMLLMQHJGFAM68DA,36,117.75,住家用,鋼筋混凝土造,77年12月13日,二層,一層 二層 屋頂突出物,全筆移轉
RPSPMLQJRHJGFBM96DA,9,63.11,集合住宅,鋼筋混凝土造,104年10月16日,十一層,三層 陽台 雨遮,全筆移轉
RPSPMLQJRHJGFBM96DA,9,29.97,本共有部分之項目有防空避難室兼停車空間、緊急發電室、台電配電室、電信室、水箱、消防機房、污水機房、電錶區、梯、電梯、梯廳、安全梯、排煙室、緊急昇降機、管委會空間、機械室、樓梯間、水錶室、水箱間及停車空間等２０項,鋼筋混凝土造,104年10月16日,十一層,,持分移轉
RPSOMLMJRHJGFAM98DA,20,87.61,住家用,鋼筋混凝土造,93年12月28日,十二層,五層 陽台,全筆移轉
RPSOMLMJRHJGFAM98DA,20,15.23,住家用,鋼筋混凝土造,93年12月28日,十二層,,持分移轉
RPSOMLMJRHJGFAM98DA,20,10.38,電梯樓梯間、梯間,鋼筋混凝土造,93年12月28日,十二層,,持分移轉
RPTNMLLKRHJGFCM56DA,26,53.40,集合住宅,鋼筋混凝土造,87年12月31日,八層,五層 陽台,全筆移轉
RPTNMLLKRHJGFCM56DA,26,23.17,停車場．避難室,鋼筋混凝土造,87年12月31日,八層,,持分移轉
RPWNMLLKRHJGFCM86DA,30,23.65,集合住宅,鋼筋混凝土造,83年10月13日,十二層,九層,全筆移轉
RPWNMLLKRHJGFCM86DA,30,12.94,避難室、停車場、梯間、走廊、門廳、騎樓、車道、屋頂突出物、管道間,鋼筋混凝土造,83年10月13日,十二層,,持分移轉
RPRNMLOKQHJGFAM98DA,37,130.50,住商用,鋼筋混凝土造,76年6月30日,二層,一層 二層 騎樓,全筆移轉
RPUNMLTLQHJGFDM57DA,,180.00,農業設施〈集貨及包裝場所〉,鋼骨造有牆,113年3月12日,一層,一層,全筆移轉
RPRNMLNJRHJGFAM88DA,,270.79,住宅,鋼筋混凝土造,113年3月18日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLNJRHJGFAM09DA,,276.88,住宅,鋼筋混凝土造,113年3月18日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLTJRHJGFCM86DA,20,139.31,住宅、停車空間,鋼筋混凝土造,93年7月12日,三層,一層 二層 三層 陽台,全筆移轉
RPUQMLQJRHJGFBM27DA,9,85.41,集合住宅,鋼筋混凝土造,104年10月16日,十一層,七層 陽台 雨遮,全筆移轉
RPUQMLQJRHJGFBM27DA,9,77.88,本共有部分之項目有防空避難室兼停車空間、緊急發電室、台電配電室、電信室、水箱、消防機房、污水機房、電錶區、梯、電梯、梯廳、安全梯、排煙室、緊急昇降機、管委會空間、機械室、樓梯間、水錶室、水箱間及停車空間等２０項,鋼筋混凝土造,104年10月16日,十一層,,持分移轉
RPQNMLMKRHJGFCM98DA,26,184.07,住家用,鋼筋混凝土造,87年11月16日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPPNMLKKRHJGFDM88EA,,105.60,商業用,鋼造,,一層,一層,全筆移轉
RPQNMLMKRHJGFAM78DA,29,211.44,住家用,鋼筋混凝土造,84年9月15日,三層,一層 二層 三層 陽台 平台 屋頂突出物 露台 地下層,全筆移轉
RPQNMLMKRHJGFAM78DA,29,15.09,住家用,鋼筋混凝土造,84年9月15日,三層,,持分移轉
RPTOMLTKQHJGFBM27DA,31,104.21,住家用,鋼筋混凝土造,82年10月29日,十層,七層 陽台 花台,全筆移轉
RPTOMLTKQHJGFBM27DA,31,18.57,防空避難室、停車空間、開放空間、梯間、水塔、機械室,鋼筋混凝土造,82年10月29日,十層,,持分移轉
RPSNMLMKRHJGFAM98DA,55,89.47,住家用,加強磚造,59年1月12日,二層,一層 二層,全筆移轉
RPQNMLNJRHJGFDM09DA,28,76.55,集合住宅,鋼筋混凝土造,85年3月21日,八層,八層 陽台 花台,全筆移轉
RPQNMLNJRHJGFDM09DA,28,17.30,防空避難室、停車空間、受電室、機械室、管理員室、通道,鋼筋混凝土造,85年3月21日,八層,,持分移轉
RPQNMLNJRHJGFDM09DA,28,11.67,梯間、屋頂突出物,鋼筋混凝土造,85年3月21日,八層,,持分移轉
RPPNMLKMQHJGFBM68DA,27,243.61,住商用,鋼筋混凝土造,86年11月28日,五層,一層 二層 三層 四層 五層 陽台 騎樓,全筆移轉
RPRNMLTKQHJGFAM86DA,,101.78,住家用,鋼筋混凝土加強磚造,,二層,一層 二層,全筆移轉
RPRNMLNKRHJGFAM09EA,4,164.05,集合住宅、樓梯間,鋼筋混凝土造,109年4月22日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項,全筆移轉
RPRNMLNKRHJGFAM09EA,4,56.45,停車空間、台電配電室、消防暨發電機房、電信機房、汙（廢）水設施機房、樓梯間、甲乙梯、廁所,鋼筋混凝土造,109年4月22日,一層,,持分移轉
RPPNMLLMQHJGFBM78DA,26,73.77,住家用,鋼筋混凝土造,87年6月30日,八層,八層 陽台,全筆移轉
RPPNMLLMQHJGFBM78DA,26,28.09,防空避難室、停車空間、梯間、門廳、機械室、水箱,鋼筋混凝土造,87年6月30日,八層,,持分移轉
RPSNMLPJRHJGFCM76DA,9,74.94,農舍,鋼骨造有牆,104年2月4日,一層,一層,持分移轉
RPPNMLOJRHJGFCM98DA,34,138.86,住家用,鋼筋混凝土造,79年3月28日,二層,一層 二層,全筆移轉
RPPNMLRKRHJGFAM56DA,31,71.25,住家用,鋼筋混凝土造,82年11月10日,十四層,十三層 陽台,全筆移轉
RPPNMLRKRHJGFAM56DA,31,12.91,梯間、水塔、機械室,鋼筋混凝土造,82年11月10日,十四層,,持分移轉
RPPNMLRKRHJGFAM56DA,31,7.48,避難室、開放空間、停車空間,鋼筋混凝土造,82年11月10日,十四層,,持分移轉
RPPNMLTJRHJGFAM66DA,21,160.17,住家用,鋼筋混凝土造,92年4月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLQJRHJGFCM66DA,29,135.94,住家用,鋼筋混凝土造,84年9月14日,三層,一層 二層 三層 陽台 平台 花台,全筆移轉
RPQNMLLJQHJGFAM48DA,,88.68,集合住宅,鋼筋混凝土造,113年3月26日,十五層,十層 陽台,全筆移轉
RPQNMLLJQHJGFAM48DA,,73.34,停車空間、車道、污水機房、水箱、消防機房、排煙室、一般昇降機（無障礙）、緊急昇降機、丙梯、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、梯廳、甲梯（戶外安全，無障礙）、乙梯（戶外安全）、水錶室、乙梯、機械室、樓梯間等２１項。,鋼筋混凝土造,113年3月26日,十五層,,持分移轉
RPPNMLOJQHJGFCM88DA,30,96.79,集合住宅,鋼筋混凝土造,83年7月7日,十三層,九層 陽台 花台,全筆移轉
RPPNMLOJQHJGFCM88DA,30,38.73,避難室兼停車場、門、梯間、突出物、機械房、水箱,鋼筋混凝土造,83年7月7日,十三層,,持分移轉
RPTNMLLJQHJGFBM88DA,2,348.25,停車空間、住宅、樓梯間、電梯間、水塔間,鋼筋混凝土造,111年6月7日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPVNMLKKRHJGFCM66DA,26,56.52,集合住宅,鋼筋混凝土造,87年12月31日,八層,四層 陽台,全筆移轉
RPVNMLKKRHJGFCM66DA,26,24.07,停車場．避難室,鋼筋混凝土造,87年12月31日,八層,,持分移轉
RPPNMLLJQHJGFAM38DA,,88.71,集合住宅,鋼筋混凝土造,113年3月26日,十五層,七層 陽台,全筆移轉
RPPNMLLJQHJGFAM38DA,,73.34,停車空間、車道、污水機房、水箱、消防機房、排煙室、一般昇降機（無障礙）、緊急昇降機、丙梯、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、梯廳、甲梯（戶外安全，無障礙）、乙梯（戶外安全）、水錶室、乙梯、機械室、樓梯間等２１項。,鋼筋混凝土造,113年3月26日,十五層,,持分移轉
RPOOMLLKRHJGFCM78DA,23,102.34,住商用,鋼筋混凝土造,90年4月2日,三層,一層 二層 三層 騎樓,全筆移轉
RPTNMLOKQHJGFCM76DA,7,319.20,農舍,鋼骨鋼筋混凝土造,106年9月18日,二層,一層 二層,全筆移轉
RPTNMLKKRHJGFCM09DA,28,121.67,農舍,加強磚造,85年5月2日,二層,一層 二層,全筆移轉
RPOOMLMKRHJGFAM68DA,5,33.04,住家用,鋼骨造,108年4月1日,一層,一層,全筆移轉
RPSNMLMLQHJGFBM09DA,1,172.73,住宅,鋼筋混凝土造,112年7月21日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLLJQHJGFDM68DA,6,226.11,住宅、樓梯間,鋼筋混凝土造,107年8月29日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSOMLTKQHJGFBM17DA,44,75.78,住家用,鋼筋混凝土加強磚造,69年9月17日,二層,一層 二層,全筆移轉
RPQNMLKLQHJGFAM58DA,21,281.07,住宅、梯間,鋼筋混凝土造,92年7月10日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPQNMLTJQHJGFBM76DA,,184.54,住宅、樓梯間、水箱間,鋼筋混凝土造,113年4月3日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLQKRHJGFCM66DA,49,55.51,住家用,磚造,64年9月15日,一層,一層 騎樓,全筆移轉
RPQNMLMJRHJGFCM88DA,20,189.55,住宅、停車空間,鋼筋混凝土造,93年1月15日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPPNMLNKRHJGFBM88DA,6,177.24,住宅、樓梯間,鋼筋混凝土造,107年8月22日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLNKRHJGFBM88DA,6,.15,電信室,鋼筋混凝土造,107年8月22日,一層,,持分移轉
RPOOMLQJRHJGFBM09DA,,67.95,集合住宅,鋼筋混凝土造,113年5月1日,十二層,十二層 陽台,全筆移轉
RPOOMLQJRHJGFBM09DA,,50.65,本共有部分之項目有：防空避難室、停車空間、梯間、排煙室、設備機房、台電配電室、電信室、水箱、儲藏室、管委會空間、梯間等１１項,鋼筋混凝土造,113年5月1日,十二層,,持分移轉
RPVNMLQJRHJGFBM07DA,,67.95,集合住宅,鋼筋混凝土造,113年5月1日,十二層,十一層 陽台,全筆移轉
RPVNMLQJRHJGFBM07DA,,50.65,本共有部分之項目有：防空避難室、停車空間、梯間、排煙室、設備機房、台電配電室、電信室、水箱、儲藏室、管委會空間、梯間等１１項,鋼筋混凝土造,113年5月1日,十二層,,持分移轉
RPTNMLQKRHJGFAM86DA,14,120.00,農舍,鋼骨造,98年12月31日,一層,一層,全筆移轉
RPVOMLOJRHJGFBM96DA,,76.90,集合住宅,鋼筋混凝土造,113年5月1日,十二層,八層 陽台,全筆移轉
RPVOMLOJRHJGFBM96DA,,55.38,本共有部分之項目有：防空避難室、停車空間、梯間、排煙室、設備機房、台電配電室、電信室、水箱、儲藏室、管委會空間、梯間等１１項,鋼筋混凝土造,113年5月1日,十二層,,持分移轉
RPQOMLQJRHJGFBM66DA,,63.93,集合住宅,鋼筋混凝土造,113年5月1日,十二層,十二層 陽台,全筆移轉
RPQOMLQJRHJGFBM66DA,,48.41,本共有部分之項目有：防空避難室、停車空間、梯間、排煙室、設備機房、台電配電室、電信室、水箱、儲藏室、管委會空間、梯間等１１項,鋼筋混凝土造,113年5月1日,十二層,,持分移轉
RPTNMLQJRHJGFBM86DA,,83.64,集合住宅,鋼筋混凝土造,113年5月1日,十二層,九層 陽台,全筆移轉
RPTNMLQJRHJGFBM86DA,,73.67,本共有部分之項目有：防空避難室、停車空間、梯間、排煙室、設備機房、台電配電室、電信室、水箱、儲藏室、管委會空間、梯間等１１項,鋼筋混凝土造,113年5月1日,十二層,,持分移轉
RPQNMLTJRHJGFAM76DA,,119.55,集合住宅,鋼筋混凝土造,113年3月26日,十五層,二層 陽台,全筆移轉
RPQNMLTJRHJGFAM76DA,,88.50,停車空間、車道、污水機房、水箱、消防機房、排煙室、一般昇降機（無障礙）、緊急昇降機、丙梯、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、梯廳、甲梯（戶外安全，無障礙）、乙梯（戶外安全）、水錶室、乙梯、機械室、樓梯間等２１項。,鋼筋混凝土造,113年3月26日,十五層,,持分移轉
