編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJRHJGFDM86DA,文昌段,355.50,非都市：一般農業區 ; 非都市編定：丙種建築用地,2,1,持分移轉,15240000
RPRNMLTJRHJGFDM17DA,番子田段,2000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,05990001
RPROMLMJRHJGFAM88DA,三崙段,1056.43,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02970000
RPQNMLLKRHJGFCM88DA,梅林段,41.32,都市：其他:住宅區,2,1,持分移轉,09440000
RPWNMLMKRHJGFAM76DA,新後寮段,6.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05610001
RPQNMLKKRHJGFAM68EA,新赤水段,13.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,16630000
RPQNMLKKRHJGFAM68EA,新赤水段,10.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16660000
RPVNMLMKRHJGFAM66DA,後寮段,816.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,3334,持分移轉,10560000
RPVNMLMKRHJGFAM66DA,後寮段,139.03,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,3334,持分移轉,10570000
RPVNMLMKRHJGFAM66DA,後寮段,1551.64,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,3334,持分移轉,10590002
RPQNMLKKRHJGFEM98DA,新玉峰段,525.43,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05290000
RPPNMLRJRHJGFEM86DA,中溝段,57.55,都市：其他:商業區,1,1,全筆移轉,02530000
RPUNMLTJRHJGFDM57EA,內樹皮段,9.70,都市：其他:林業區,10,1,持分移轉,01580019
RPUNMLTJRHJGFDM57EA,內樹皮段,8.80,都市：其他:林業區,5,1,持分移轉,01580020
RPRNMLKKRHJGFCM88DA,籃城段,148.39,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09190006
RPRNMLKKRHJGFCM88DA,籃城段,51.81,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09190007
RPQNMLNKRHJGFAM98EA,南投段,5.00,都市：其他:第一種商業區,1,1,全筆移轉,04630002
RPPNMLSKRHJGFDM96DA,文田段,1056.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,12230002
RPQNMLKKRHJGFCM78DA,籃城段,142.74,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09130002
RPQNMLKKRHJGFCM78DA,籃城段,57.42,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09130003
RPPNMLMKRHJGFDM98DA,延和段,65.96,都市：其他:住宅區,1,1,全筆移轉,08470001
RPQNMLQKRHJGFAM66EA,茄苳腳段,102.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04600018
RPTNMLQJRHJGFAM76DA,光復段,12.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,840,35,持分移轉,09090000
RPWNMLKKRHJGFCM76DA,東池段,10.54,都市：其他:住宅區,1,1,全筆移轉,11860006
RPPNMLTJRHJGFDM96DA,文田段,2020.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01310003
RPPOMLLKRHJGFCM88DA,水長流段,1550.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,23240000
RPVNMLTJRHJGFAM27DA,中寮段,7179.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07920009
RPQNMLLLQHJGFBM78DA,中興段,102.00,都市：其他:住宅區,1,1,全筆移轉,18070003
RPQNMLLLQHJGFBM78DA,中興段,103.00,都市：其他:住宅區,1,1,全筆移轉,18070004
RPUNMLTJRHJGFAM17DA,三塊厝段,43.67,都市：其他:住宅區,100000,1668,持分移轉,00660000
RPUNMLTJRHJGFAM17DA,三塊厝段,5.69,都市：其他:住宅區,100000,1668,持分移轉,00660005
