鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段400巷,87.48,住,,,1130813,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,167.27,3,2,5,有,無,16900000,101034,一樓平面,0.0,0,停車位位於室內專有範圍內,RPPNMLOKQHJGFAM78CB,幸福圓墅,A棟7號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮青田街,18.94,住,,,1130817,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.04,2,2,2,有,無,10200000,97661,坡道平面,25.98,1600000,,RPPNMLRKQHJGFCM66CB,青田居,B3棟11F號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,27.55,住,,,1130817,土地12建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.87,2,2,1,有,無,8880000,87832,坡道平面,25.0,1250000,,RPQNMLTKQHJGFAM76CB,首富京華,B6棟1號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段400巷,86.94,住,,,1130817,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,167.27,3,2,5,有,無,16900000,101034,一樓平面,0.0,0,停車位位於室內專有範圍內,RPPNMLLLQHJGFAM58CB,幸福圓墅,A棟5號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,13.72,商,,,1130811,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.63,3,2,2,有,無,9580000,94359,坡道平面,26.0,1500000,,RPRNMLLLQHJGFCM98CB,三銳富城,B棟2號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,14.03,商,,,1130815,土地1建物1車位1,一層,15,店面(店鋪),住商用,鋼筋混凝土造,,113.67,0,0,0,無,無,18850000,197331,坡道平面,26.0,1550000,,RPSNMLLLQHJGFCM09CB,三銳富城,B棟店C號,
埔里鎮,房地(土地+建物),南投縣埔里鎮大城巷,45.5,住,,,1130820,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.32,4,2,2,有,無,9600000,82531,,0.0,0,,RPPNMLQLQHJGFCM76DB,上荷苑,D棟5號,
南投市,房地(土地+建物),南投縣南投市東山路,74.17,,鄉村區,乙種建築用地,1130816,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,152.98,4,2,3,有,無,13880000,90731,,0.0,0,,RPPNMLSLQHJGFAM66CB,鴻邑拓璞天藏I,D棟11號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130813,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,11130000,93404,坡道平面,26.0,1500000,,RPPNMLSLQHJGFCM86CB,三銳富城,A棟6號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130816,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,10200000,85354,坡道平面,26.0,1400000,,RPQNMLSLQHJGFCM96CB,三銳富城,A棟1號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130817,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,10490000,87197,坡道平面,26.0,1500000,,RPRNMLSLQHJGFCM07CB,三銳富城,A棟5號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1130816,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,10540000,88652,坡道平面,26.0,1400000,,RPSNMLSLQHJGFCM17CB,三銳富城,A棟5號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,13.72,商,,,1130811,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.63,3,2,2,有,無,8730000,84433,坡道平面,26.0,1500000,,RPTNMLSLQHJGFCM27CB,三銳富城,B棟2號,
鹿谷鄉,房地(土地+建物),南投縣鹿谷鄉愛鄉路,21.07,,鄉村區,乙種建築用地,1130819,土地2建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.89,1,0,1,有,無,7800000,104153,,0.0,0,,RPQNMLLMQHJGFDM09CB,杉也先生,A5棟5F號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮大禮路,37.25,住,,,1130811,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.26,2,2,2,有,無,7790000,101167,坡道平面,29.55,940000,,RPPNMLOJRHJGFDM09CB,竹山恆美,B棟8A2號,
埔里鎮,房地(土地+建物),南投縣埔里鎮漢陽四街,32.14,住,,,1130817,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.88,3,2,1,有,無,7500000,84383,,0.0,0,,RPPNMLPJRHJGFCM09CB,天境12,1棟2D號,
南投市,房地(土地+建物),南投縣南投市建國路121巷,80.44,住,,,1130814,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.05,4,3,5,有,無,16600000,98196,,0.0,0,,RPPNMLTJRHJGFAM76DB,雅典,B棟2號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段1211巷,25.91,住,,,1130820,土地4建物1車位1,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,116.67,2,1,1,有,無,6550000,68957,坡道平面,38.36,1150000,,RPRNMLRKRHJGFAM76CB,日日好境,A5棟1號,
