編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKQHJGFAM78CB,永新段,53.24,都市：住,1,1,全筆移轉,11250021
RPPNMLOKQHJGFAM78CB,永新段,34.24,都市：住,24,1,持分移轉,11250000
RPSNMLLLQHJGFCM09CB,南興段,14.03,都市：商,100000,713,持分移轉,02040000
RPPNMLRKQHJGFCM66CB,忠孝段,18.94,都市：住,100000,739,持分移轉,02460000
RPRNMLLLQHJGFCM98CB,南興段,13.72,都市：商,100000,697,持分移轉,02040000
RPPNMLQLQHJGFCM76DB,忠良段,45.50,都市：住,10000,576,持分移轉,03930000
RPQNMLSLQHJGFCM96CB,南興段,16.51,都市：商,100000,839,持分移轉,02040000
RPPNMLLLQHJGFAM58CB,永新段,52.70,都市：住,1,1,全筆移轉,11250019
RPPNMLLLQHJGFAM58CB,永新段,34.24,都市：住,24,1,持分移轉,11250000
RPPNMLSLQHJGFAM66CB,福德段,73.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06100073
RPPNMLSLQHJGFAM66CB,福德段,.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,121,1,持分移轉,06100110
RPPNMLSLQHJGFAM66CB,福德段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,49,1,持分移轉,06100111
RPQNMLTKQHJGFAM76CB,牛運堀段,2.87,都市：住,100000,576,持分移轉,01690000
RPPNMLSLQHJGFCM86CB,南興段,16.51,都市：商,100000,839,持分移轉,02040000
RPQNMLTKQHJGFAM76CB,牛運堀段,5.75,都市：住,100000,576,持分移轉,01690001
RPQNMLTKQHJGFAM76CB,牛運堀段,3.93,都市：住,100000,576,持分移轉,01690005
RPQNMLTKQHJGFAM76CB,牛運堀段,.95,都市：住,100000,576,持分移轉,01690008
RPQNMLTKQHJGFAM76CB,牛運堀段,4.84,都市：住,100000,576,持分移轉,01690043
RPQNMLTKQHJGFAM76CB,牛運堀段,.75,都市：住,100000,576,持分移轉,01690046
RPQNMLTKQHJGFAM76CB,牛運堀段,.09,都市：住,100000,576,持分移轉,01690075
RPQNMLTKQHJGFAM76CB,牛運堀段,7.59,都市：住,100000,576,持分移轉,01700000
RPQNMLTKQHJGFAM76CB,牛運堀段,.17,都市：住,100000,576,持分移轉,01700001
RPQNMLTKQHJGFAM76CB,牛運堀段,.41,都市：住,100000,576,持分移轉,01760003
RPQNMLTKQHJGFAM76CB,牛運堀段,.02,都市：住,100000,576,持分移轉,01760020
RPQNMLTKQHJGFAM76CB,牛運堀段,.17,都市：住,100000,576,持分移轉,01760021
RPRNMLSLQHJGFCM07CB,南興段,16.51,都市：商,100000,839,持分移轉,02040000
RPTNMLSLQHJGFCM27CB,南興段,13.72,都市：商,100000,697,持分移轉,02040000
RPPNMLTJRHJGFAM76DB,三塊厝段,63.00,都市：住,1,1,全筆移轉,02200097
RPPNMLTJRHJGFAM76DB,三塊厝段,17.44,都市：住,18,1,持分移轉,02200084
RPRNMLRKRHJGFAM76CB,福興段,2.08,都市：住,10000,193,持分移轉,04760020
RPRNMLRKRHJGFAM76CB,福興段,10.73,都市：住,10000,193,持分移轉,05510002
RPRNMLRKRHJGFAM76CB,福興段,5.50,都市：住,10000,193,持分移轉,05510003
RPRNMLRKRHJGFAM76CB,福興段,7.59,都市：住,10000,193,持分移轉,05530000
RPPNMLOJRHJGFDM09CB,大統段,37.25,都市：住,100000,1330,持分移轉,02720002
RPSNMLSLQHJGFCM17CB,南興段,16.51,都市：商,100000,839,持分移轉,02040000
RPPNMLPJRHJGFCM09CB,八德段,32.14,都市：住,100000,5272,持分移轉,04620000
RPQNMLLMQHJGFDM09CB,內樹皮段,20.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1139,持分移轉,00090000
RPQNMLLMQHJGFDM09CB,內樹皮段,.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1139,持分移轉,00070068
