編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKQHJGFAM78CB,一樓平面,0,,一樓
RPSNMLLLQHJGFCM09CB,坡道平面,1550000,26.00,地下二樓
RPPNMLRKQHJGFCM66CB,坡道平面,1600000,25.98,地下一樓
RPRNMLLLQHJGFCM98CB,坡道平面,1500000,26.00,地下二樓
RPQNMLSLQHJGFCM96CB,坡道平面,1400000,26.00,地下三樓
RPPNMLLLQHJGFAM58CB,一樓平面,0,,一樓
RPPNMLSLQHJGFCM86CB,坡道平面,1500000,26.00,地下二樓
RPQNMLTKQHJGFAM76CB,坡道平面,1250000,25.00,地下一樓
RPRNMLSLQHJGFCM07CB,坡道平面,1500000,26.00,地下二樓
RPTNMLSLQHJGFCM27CB,坡道平面,1500000,26.00,地下二樓
RPRNMLRKRHJGFAM76CB,坡道平面,1150000,38.36,地下二樓
RPPNMLOJRHJGFDM09CB,坡道平面,940000,29.55,地下一樓
RPSNMLSLQHJGFCM17CB,坡道平面,1400000,26.00,地下三樓
