鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
草屯鎮,租賃房屋,南投縣草屯鎮富中路５５號二樓,0.0,,,,1130801,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.76,4,0,4,有,有,有,5600,148,,0.0,0,,RPPNMLMKQHJGFBM78CC,分租套房,有,1130801~1130909,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５１號二樓,0.0,,,,1130717,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,38.02,4,0,4,有,有,有,6000,158,,0.0,0,,RPRNMLMKQHJGFBM98CC,分租套房,有,1130801~1130909,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
埔里鎮,租賃房屋,南投縣埔里鎮南昌街１６２號,236.73,商,,,1130805,土地2建物1車位0,見其他登記事項,1,店面(店鋪),店舖,鋼骨造有牆,1070103,113.59,0,0,0,無,無,無,45511,401,,0.0,0,,RPPNMLMKQHJGFCM88CC,,無,1130805~1180804,無,,
草屯鎮,租賃房屋,南投縣草屯鎮富中路５１號五樓,0.0,,,,1130717,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,38.02,4,0,4,有,有,有,6100,160,,0.0,0,,RPRNMLNKQHJGFBM09CC,分租套房,有,1130801~1130909,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮碧峰路１０１巷３７弄１３號,0.0,,,,1130803,土地0建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1121204,155.74,4,2,3,有,無,有,19500,125,,0.0,0,,RPSNMLNKQHJGFBM56CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
埔里鎮,土地,忠實段72地號,154.26,住,,,1130812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,23000,149,,0.0,0,雙方合意約定民國113年8月12日起至民國113年9月11日止期間出租人補貼承租人一個月免收租金，作為裝潢、安置水電插座、電燈等補貼,RPQNMLNKQHJGFCM09CC,,,1130812~1180811,,,
竹山鎮,土地,和興段337地號,1767.0,,特定農業區,農牧用地,1130814,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,45000,25,,0.0,0,,RPPNMLOKQHJGFDM56CC,,,1131001~1170930,,,
南投市,租賃房屋,南投縣南投市仁愛路１０２巷２８弄２８號三樓之１,0.0,,,,1130729,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120214,52.339999999999996,1,0,1,有,有,有,12500,239,,0.0,0,每月管理費500元由承租人負擔，未計入租金,RPPNMLPKQHJGFAM98CC,獨立套房,有,1130801~1140731,有,冷氣、熱水器,社會住宅代管
南投市,租賃房屋,南投縣南投市彰南路三段８８０巷２６弄３６號,0.0,,,,1130806,土地0建物1車位0,全,3,透天厝,集合住宅、停車空間,鋼筋混凝土造,1110127,139.9,4,2,4,有,有,有,19500,139,,0.0,0,每月管理費2500元由承租人負擔，未計入租金,RPQNMLPKQHJGFAM09CC,整棟(戶)出租,有,1130815~1140814,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋,南投縣南投市民族路３７４號,1002.0,商,,,1130719,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,0571012,38.41,0,0,0,無,無,無,10000,260,,0.0,0,,RPRNMLPKQHJGFAM56CC,,無,1130801~1140801,無,,
草屯鎮,租賃房屋,南投縣草屯鎮自由街５５號五樓之４,0.0,,,,1130801,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840927,37.58,1,0,1,有,有,有,6000,160,,0.0,0,,RPPNMLPKQHJGFBM09CC,獨立套房,有,1130805~1140804,有,冷氣、熱水器,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮中正路４８６之２５號,122.56,住,,,1130722,土地2建物1車位0,見其他登記事項,4,店面(店鋪),人行道、店舖、住宅,鋼筋混凝土造,1030901,246.63,4,3,5,有,無,無,33000,134,,0.0,0,,RPQNMLPKQHJGFBM56CC,整棟(戶)出租,無,1130820~1320819,無,,一般包租
竹山鎮,租賃房屋,南投縣竹山鎮中正巷１９之３２號,0.0,,,,1130803,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840201,213.95,6,2,5,有,無,無,9000,42,,0.0,0,,RPPNMLPKQHJGFDM66CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器,社會住宅代管
集集鎮,租賃房屋,南投縣集集鎮集集街１５６之９號,0.0,,,,1130731,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0901107,131.93,4,2,3,有,無,有,13000,99,,0.0,0,,RPPNMLPKQHJGFEM76CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
鹿谷鄉,租賃房屋,南投縣鹿谷鄉八德街１２０巷４６號,0.0,,,,1130820,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0860110,213.57999999999998,5,2,3,有,無,有,16000,75,,0.0,0,,RPPNMLNLQHJGFDM56CC,整棟(戶)出租,無,1130823~1140822,無,熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
