編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLNKQHJGFBM56CC,1,155.74,住宅、樓梯間,鋼筋混凝土造,112年12月4日,三層,,
RPPNMLMKQHJGFCM88CC,7,113.59,店舖,鋼骨造有牆,107年1月3日,一層,,
RPRNMLNKQHJGFBM09CC,9,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLNKQHJGFBM09CC,9,14.08,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLPKQHJGFAM56CC,56,38.41,住商用,鋼筋混凝土加強磚造,57年10月12日,三層,,
RPPNMLMKQHJGFBM78CC,9,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLMKQHJGFBM78CC,9,14.04,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLPKQHJGFAM98CC,1,34.69,集合住宅,鋼筋混凝土造,112年2月14日,五層,,
RPPNMLPKQHJGFAM98CC,1,17.65,停車空間、電梯機房,鋼筋混凝土造,112年2月14日,五層,,
RPPNMLPKQHJGFDM66CC,30,213.95,住家用,鋼筋混凝土造,84年2月1日,三層,,
RPPNMLPKQHJGFEM76CC,23,131.93,住商用,鋼筋混凝土造,90年11月7日,三層,,
RPRNMLMKQHJGFBM98CC,9,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLMKQHJGFBM98CC,9,14.08,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLPKQHJGFAM09CC,3,139.90,集合住宅、停車空間,鋼筋混凝土造,111年1月27日,三層,,
RPPNMLPKQHJGFBM09CC,29,28.05,住家用,鋼筋混凝土造,84年9月27日,十二層,,
RPQNMLPKQHJGFBM56CC,10,246.63,人行道、店舖、住宅,鋼筋混凝土造,103年9月1日,四層,,
RPPNMLPKQHJGFBM09CC,29,9.53,停車空間、防空避難室、水塔、管理室、梯間、走道、機械室、門廳,鋼筋混凝土造,84年9月27日,十二層,,
RPPNMLNLQHJGFDM56CC,28,177.45,住家用,鋼筋混凝土造,86年1月10日,四層,,
RPPNMLNLQHJGFDM56CC,28,36.13,停車場、機械室、梯間,鋼筋混凝土造,86年1月10日,一層,,
