編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKQHJGFCM88CC,光榮段,117.75,都市：商,,,,00460000
RPPNMLMKQHJGFCM88CC,光榮段,118.98,都市：商,,,,00470000
RPRNMLPKQHJGFAM56CC,南投段,1002.00,都市：商,,,,04900000
RPPNMLOKQHJGFDM56CC,和興段,510.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03380000
RPPNMLOKQHJGFDM56CC,和興段,1257.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03370000
RPQNMLNKQHJGFCM09CC,忠實段,148.18,都市：住,,,,00720000
RPQNMLNKQHJGFCM09CC,忠實段,6.08,都市：住,,,,00730000
RPQNMLPKQHJGFBM56CC,新富功段,27.75,都市：住,,,,07260003
RPQNMLPKQHJGFBM56CC,新富功段,94.81,都市：住,,,,07260025
