鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路１５之７號四樓之一,34.51,,鄉村區,乙種建築用地,1130901,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971201,91.38,4,0,4,有,有,3550000,38849,,0.0,0,,RPOPMLPJRHJGFDN76DA,66.6,0.0,3.98,有,001
大城鄉,土地,和寮段678地號,2172.0,,一般農業區,農牧用地,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3040800,1400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKRHJGFGN07DA,0.0,0.0,0.0,無,
溪州鄉,房地(土地+建物),彰化縣溪州鄉中山路二段２２號,57.0,,特定農業區,甲種建築用地,1130902,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691210,100.6,2,1,3,有,無,3500000,34791,,0.0,0,,RPPOMLTJRHJGFFN37DA,100.6,0.0,0.0,無,
彰化市,土地,南郭段南郭小段565-226地號,2.0,住,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,35000,,0.0,0,,RPSOMLMKRHJGFAN56DA,0.0,0.0,0.0,無,
鹿港鎮,土地,崙海段21-53地號,5535.0,,工業區,丁種建築用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,64500462,11653,,0.0,0,政府機關標讓售；,RPRNMLNKRHJGFCN66DA,0.0,0.0,0.0,無,
二水鄉,房地(土地+建物),彰化縣二水鄉民族路１５號,89.87,住,,,1130902,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0780317,173.74,3,1,3,有,無,3000000,17267,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKRHJGFEN09DA,173.74,0.0,0.0,無,
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街１２８號三樓之３,31.84,住,,,1130906,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120920,94.52,2,2,1,有,有,8000000,84638,一樓平面,0.0,0,,RPTNMLMKRHJGFFN07DA,51.86,0.0,7.25,有,002
田尾鄉,土地,福德段645地號,935.0,,特定農業區,農牧用地,1130904,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5400000,5775,,0.0,0,農作物；,RPRNMLNKRHJGFFN96DA,0.0,0.0,0.0,無,
和美鎮,房地(土地+建物),彰化縣和美鎮東萊路８１巷２０弄６號,115.62,,鄉村區,乙種建築用地,1130901,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0790213,194.79,6,2,5,有,無,16200000,83166,,0.0,0,,RPXNMLKKRHJGFBN86DA,194.79,0.0,0.0,無,003
秀水鄉,土地,東興段789地號,36.97,住,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1006400,27222,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPPMLPJRHJGFAN56DA,0.0,0.0,0.0,無,
彰化市,建物,彰化縣彰化市莿桐里彰水路１８６號,0.0,,,,1130912,土地0建物1車位0,全,四層,透天厝,工業用,鋼筋混凝土加強磚造,0630220,819.0,9,4,7,有,無,4750000,5800,,0.0,0,建物坐落地號：莿桐段1518地號；親友、員工、共有人或其他特殊關係間之交易；,RPXNMLQKRHJGFAN37DA,819.0,0.0,0.0,無,
員林市,土地,三和段75地號,2148.0,,特定農業區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30400000,14153,,0.0,0,內有未保存建物員林市員東路二段2巷臨46號未登記建物；,RPUPMLQKRHJGFDN57DA,0.0,0.0,0.0,無,
大城鄉,土地,上興段263地號,3700.0,,一般農業區,農牧用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3700000,1000,,0.0,0,,RPRNMLNKRHJGFGN07DA,0.0,0.0,0.0,無,
花壇鄉,土地,新中庄段475地號,68.31,,特定農業區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,345000,5051,,0.0,0,,RPPNMLSKRHJGFAN86EA,0.0,0.0,0.0,無,
芬園鄉,土地,大德段915-20地號,135.45,,山坡地保育區,農牧用地,1130821,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,8859,,0.0,0,,RPWOMLTKQHJGFAN57DA,0.0,0.0,0.0,無,
花壇鄉,土地,福岩段257地號,962.96,,山坡地保育區,林業用地,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5120000,5317,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLRLQHJGFAN66DA,0.0,0.0,0.0,無,004
