編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOPMLPJRHJGFDN76DA,16,70.58,集合住宅,鋼筋混凝土造,97年12月1日,五層,四層 陽台,全筆移轉
RPOPMLPJRHJGFDN76DA,16,20.80,消防邦浦室、發電機室、停車空間、電信機房、走廊、樓梯間、電梯梯間,鋼筋混凝土造,97年12月1日,五層,,持分移轉
RPPOMLTJRHJGFFN37DA,44,100.60,住家用,加強磚造,69年12月10日,二層,一層 二層 騎樓,全筆移轉
RPPNMLLKRHJGFEN09DA,35,173.74,住家用,鋼筋混凝土造,78年3月17日,三層,一層 二層 三層 騎樓,全筆移轉
RPXNMLKKRHJGFBN86DA,35,194.79,住家用,鋼筋混凝土造,79年2月13日,三層,一層 二層 三層,全筆移轉
RPTNMLMKRHJGFFN07DA,1,59.11,集合住宅,鋼筋混凝土造,112年9月20日,五層,三層 陽台,全筆移轉
RPTNMLMKRHJGFFN07DA,1,35.41,本共有部分之項目有停車空間、公共梯廳、安全梯間、升降機道、台電配電室、電信機房、樓梯間、水箱間、機械房等９項,鋼筋混凝土造,112年9月20日,五層,,持分移轉
RPXNMLQKRHJGFAN37DA,51,819.00,工業用,鋼筋混凝土加強磚造,63年2月20日,四層,一層 二層 三層 四層,全筆移轉
RPPPMLPJRHJGFDN86DA,40,98.85,住家用,鋼筋混凝土造,73年3月13日,五層,三層,全筆移轉
RPTNMLPJRHJGFHN47DA,1,182.10,住家用,鋼筋混凝土造,112年8月24日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLLLQHJGFAN78DA,9,147.96,停車空間、住宅,鋼筋混凝土造,104年7月22日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSNMLQJRHJGFBN86DA,1,171.71,住家用,鋼筋混凝土造,112年11月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLOJRHJGFAN07DA,31,70.74,住家用,鋼筋混凝土造,82年11月10日,十二層,十一層 陽台 花台,全筆移轉
RPXNMLOJRHJGFAN07DA,31,12.07,梯間,鋼筋混凝土造,82年11月10日,十二層,,持分移轉
RPXNMLOJRHJGFAN07DA,31,11.36,避難室、停車場、車道、門廳,鋼筋混凝土造,82年11月10日,十二層,,持分移轉
RPPNMLPKQHJGFCN56DA,44,115.68,住商用,鋼筋混凝土加強磚造,70年1月22日,二層,一層 二層 騎樓,全筆移轉
RPPNMLTJRHJGFCN96DA,40,130.52,住家用,加強磚造,74年1月5日,二層,一層 二層 陽台,全筆移轉
RPQNMLRLQHJGFDN07DA,45,48.50,住商用,鋼筋混凝土造,68年7月31日,三層,一層 二層 三層 騎樓,持分移轉
RPRNMLTLQHJGFFN57DA,,126.21,住宅,鋼筋混凝土造,113年3月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPUNMLNJRHJGFEN07DA,51,211.01,住工用,磚石造,62年12月15日,一層,一層,全筆移轉
