編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLKRHJGFGN07DA,和寮段,2172.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06780000
RPOPMLPJRHJGFDN76DA,江夏段,7.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,352,7,持分移轉,02640000
RPOPMLPJRHJGFDN76DA,江夏段,26.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,44,1,持分移轉,02650000
RPSOMLMKRHJGFAN56DA,南郭段南郭小段,2.00,都市：其他:住宅區,1,1,全筆移轉,05650226
RPPOMLTJRHJGFFN37DA,和平段,57.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12090000
RPRNMLNKRHJGFCN66DA,崙海段,5535.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00210053
RPPNMLLKRHJGFEN09DA,文聖段,89.87,都市：其他:住宅區,1,1,全筆移轉,04800000
RPRNMLNKRHJGFFN96DA,福德段,617.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06450000
RPRNMLNKRHJGFFN96DA,福德段,318.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06460000
RPXNMLKKRHJGFBN86DA,福馬段,55.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05610000
RPXNMLKKRHJGFBN86DA,福馬段,59.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05690000
RPPPMLPJRHJGFAN56DA,東興段,36.97,都市：其他:住宅區,32,1,持分移轉,07890000
RPTNMLMKRHJGFFN07DA,光復段,31.84,都市：其他:住宅區,145700,3184,持分移轉,07160000
RPRNMLNKRHJGFGN07DA,上興段,3700.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02630000
RPUPMLQKRHJGFDN57DA,三和段,2148.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00750000
RPWOMLTKQHJGFAN57DA,大德段,10.32,非都市：山坡地保育區 ; 非都市編定：農牧用地,70,2,持分移轉,09150000
RPWOMLTKQHJGFAN57DA,大德段,125.13,非都市：山坡地保育區 ; 非都市編定：農牧用地,10,2,持分移轉,09150020
RPPNMLSKRHJGFAN86EA,新中庄段,68.31,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,04750000
RPOOMLRLQHJGFAN66DA,福岩段,962.96,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,270,持分移轉,02570000
RPPNMLTLQHJGFCN07DA,鹿德段,25.71,都市：其他:住宅區,1,1,全筆移轉,05890000
RPTNMLNJRHJGFCN76DA,崙海段,6345.67,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00210071
RPROMLOJRHJGFAN56DA,新舊社段,2017.02,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,12780000
RPROMLOJRHJGFAN56DA,新舊社段,1486.77,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,12790000
RPXOMLPJRHJGFDN57DA,五汴段,131.83,非都市：特定農業區 ; 非都市編定：農牧用地,96,3,持分移轉,06550004
RPPPMLPJRHJGFDN86DA,三條圳段十七份小段,36.20,都市：其他:第二種住宅區,10,2,持分移轉,05690001
