編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLMKRHJGFFN07DA,一樓平面,0,,一樓
RPQNMLLLQHJGFAN78DA,一樓平面,0,,一樓
RPOOMLRJQHJGFBN56DA,坡道平面,0,25.62,地下一樓
RPOOMLRJQHJGFBN56DA,坡道平面,0,25.62,地下一樓
RPQNMLTJRHJGFBN96DA,升降機械,750000,,一樓
RPUNMLLKRHJGFBN66DA,一樓平面,1300000,23.34,一樓
RPUPMLTLQHJGFAN57DA,坡道機械,600000,9.90,地下一樓
RPTNMLMKRHJGFCN76DA,坡道機械,0,,地下二樓
RPQOMLKKRHJGFHN86DA,坡道機械,0,,地下一樓
RPRNMLRLPHJGFAN76DA,坡道平面,1200000,,地下一樓
RPPOMLKKRHJGFAN68DA,坡道機械,0,,地下一樓
RPPPMLSLQHJGFDN27DA,其他,0,8.07,一樓
RPRNMLLKRHJGFBN98DA,一樓平面,1300000,23.34,一樓
RPPPMLKKRHJGFDN09DA,一樓平面,0,,一樓
RPQNMLLKRHJGFGN76DA,升降機械,0,,地下一樓
RPXNMLQJRHJGFDN57DA,坡道機械,0,,地下一樓
RPWNMLMKRHJGFFN37DA,一樓平面,0,16.31,一樓
RPVNMLMKRHJGFFN27DA,一樓平面,0,16.31,一樓
RPSNMLNKRHJGFDN86DA,坡道平面,0,,地下一樓
RPXPMLTJRHJGFBN87DA,升降機械,600000,8.53,一樓
RPXOMLTJRHJGFBN77DA,升降機械,600000,8.53,一樓
RPUPMLTJRHJGFBN57DA,升降機械,600000,8.53,一樓
RPPNMLQJRHJGFHN17DA,一樓平面,1200000,13.75,一樓
RPRPMLTJRHJGFBN27DA,升降機械,800000,8.53,一樓
RPTPMLTJRHJGFBN47DA,升降機械,800000,8.53,一樓
RPRNMLPJRHJGFDN86DA,坡道平面,1300000,29.88,地下一樓
RPOQMLTJRHJGFBN07DA,一樓平面,1400000,18.57,一樓
RPVOMLTJRHJGFBN57DA,一樓平面,1350000,18.57,一樓
RPVPMLTJRHJGFBN67DA,一樓平面,1350000,18.57,一樓
RPQPMLTJRHJGFBN17DA,升降機械,800000,8.53,一樓
RPOOMLPJRHJGFDN66DA,坡道平面,1300000,29.88,地下一樓
RPQOMLPJRHJGFDN86DA,坡道平面,1200000,29.88,地下二樓
RPTOMLPJRHJGFDN17DA,坡道平面,1200000,29.88,地下二樓
RPOOMLKKRHJGFDN88DA,一樓平面,0,,一樓
RPSPMLKKRHJGFDN76DA,一樓平面,0,,一樓
RPVPMLKKRHJGFDN07DA,一樓平面,0,,一樓
RPVNMLPJRHJGFDN27DA,坡道平面,1200000,28.88,地下一樓
RPXNMLKKRHJGFDN07DA,一樓平面,0,,一樓
RPROMLPJRHJGFDN96DA,坡道平面,1200000,29.88,地下二樓
RPROMLKKRHJGFDN56DA,一樓平面,0,,一樓
RPUOMLKKRHJGFDN86DA,一樓平面,0,,一樓
RPXNMLPJRHJGFDN47DA,坡道平面,1200000,29.88,地下二樓
RPWPMLKKRHJGFDN17DA,一樓平面,0,,一樓
RPTPMLKKRHJGFDN86DA,一樓平面,0,,一樓
RPXPMLKKRHJGFDN27DA,一樓平面,0,,一樓
RPVOMLKKRHJGFDN96DA,一樓平面,0,,一樓
RPOPMLKKRHJGFDN98DA,一樓平面,0,,一樓
RPQPMLKKRHJGFDN56DA,一樓平面,0,,一樓
RPRPMLKKRHJGFDN66DA,一樓平面,0,,一樓
RPWNMLPJRHJGFDN37DA,坡道平面,1200000,28.88,地下一樓
RPUNMLSLQHJGFBN37DA,升降機械,500000,10.37,一樓
RPSNMLPJRHJGFDN96DA,坡道平面,1100000,28.88,地下二樓
RPSOMLPJRHJGFDN07DA,坡道平面,1300000,29.88,地下一樓
RPTNMLPJRHJGFDN07DA,坡道平面,1100000,28.88,地下二樓
RPPOMLPJRHJGFDN76DA,坡道平面,1300000,29.88,地下一樓
RPWNMLTJRHJGFDN77DA,坡道平面,1100000,29.38,地下一樓
RPWNMLTJRHJGFDN77DA,坡道平面,1100000,29.38,地下一樓
RPOOMLTJRHJGFDN07DA,坡道平面,1000000,29.38,地下二樓
RPXNMLTJRHJGFDN87DA,坡道平面,1100000,29.38,地下一樓
