編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOKQHJGFDN96DB,新員水段,1.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,2880000,37827,持分移轉,04800000
RPSNMLOKQHJGFDN96DB,新員水段,31.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,37413,持分移轉,04800004
RPSNMLOKQHJGFDN96DB,新員水段,2.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,37413,持分移轉,04800030
RPVNMLPKQHJGFDN27CB,新西東段,21.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2391,持分移轉,10130000
RPVNMLPKQHJGFDN27CB,新西東段,11.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2391,持分移轉,10140000
RPWNMLPKQHJGFDN37CB,新西東段,21.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2353,持分移轉,10130000
RPVNMLPKQHJGFDN27CB,新西東段,9.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2391,持分移轉,10150000
RPWNMLPKQHJGFDN37CB,新西東段,10.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2353,持分移轉,10140000
RPUNMLOKQHJGFEN17CB,橋頭段,116.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,128307,11661,持分移轉,11090000
RPPNMLOKQHJGFDN56CB,美港段,23.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,74018,2338,持分移轉,04210000
RPWNMLPKQHJGFDN37CB,新西東段,9.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2353,持分移轉,10150000
RPTNMLPKQHJGFDN07CB,新西東段,15.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1661,持分移轉,10130000
RPTNMLPKQHJGFDN07CB,新西東段,7.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1661,持分移轉,10140000
RPTNMLPKQHJGFDN07CB,新西東段,6.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1661,持分移轉,10150000
RPQNMLQKQHJGFBN76DB,和中段,65.00,都市：住,1,1,全筆移轉,00950096
RPPNMLQKQHJGFCN66CB,福鹿段,28.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000,37,持分移轉,02620000
RPPNMLQKQHJGFCN66CB,福鹿段,.99,非都市：特定農業區 ; 非都市編定：交通用地,952,8,持分移轉,02090002
RPPNMLQKQHJGFBN66DB,和中段,65.00,都市：住,1,1,全筆移轉,00950095
RPPNMLRKQHJGFBN66CB,伸同段,20.63,都市：住,10000000,130546,持分移轉,04510000
RPQNMLTKQHJGFEN27CB,高鐵社頭段,.51,都市：住,73,1,持分移轉,00900081
RPQNMLTKQHJGFEN27CB,高鐵社頭段,22.44,都市：住,49,1,持分移轉,00900082
