編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLOKQHJGFDN96DB,坡道平面,1250000,31.36,地下一樓
RPVNMLPKQHJGFDN27CB,一樓平面,1500000,21.49,一樓
RPVNMLPKQHJGFDN27CB,一樓平面,1550000,21.49,一樓
RPPNMLOKQHJGFDN56CB,一樓平面,1500000,13.88,一樓
RPWNMLPKQHJGFDN37CB,一樓平面,1500000,21.49,一樓
RPTNMLPKQHJGFDN07CB,一樓平面,1500000,21.49,一樓
RPQNMLQKQHJGFBN76DB,一樓平面,0,,一樓
RPPNMLQKQHJGFBN66DB,一樓平面,0,,一樓
RPPNMLRKQHJGFBN66CB,坡道平面,1180000,26.21,地下二樓
RPQNMLTKQHJGFEN27CB,一樓平面,0,,一樓
RPPNMLTKQHJGFDN07CB,一樓平面,1500000,21.49,一樓
RPPNMLTKQHJGFDN07CB,一樓平面,1500000,21.49,一樓
RPSNMLKLQHJGFAN88CB,坡道平面,1700000,22.59,地下一樓
RPQNMLKLQHJGFAN68CB,坡道平面,1550000,25.78,地下二樓
RPTNMLKLQHJGFDN66CB,升降機械,650000,4.31,一樓
RPPNMLTKQHJGFEN17CB,一樓平面,0,,一樓
RPSNMLKLQHJGFDN56CB,一樓平面,1000000,11.12,一樓
RPRNMLMLQHJGFCN56CB,一樓平面,1300000,16.50,一樓
RPQNMLMLQHJGFDN56CB,坡道平面,1600000,43.57,地下二樓
RPPNMLMLQHJGFDN09CB,坡道平面,1800000,43.57,地下一樓
RPSNMLMLQHJGFCN66CB,一樓平面,1300000,16.50,一樓
RPQNMLMLQHJGFCN09CB,一樓平面,1400000,16.50,一樓
RPPNMLNLQHJGFCN09CB,一樓平面,1000000,,一樓
RPPNMLMLQHJGFFN66CB,坡道平面,1350000,24.11,地下二樓
RPQNMLNLQHJGFCN56CB,一樓平面,1400000,16.50,一樓
RPQNMLRLQHJGFDN07CB,坡道平面,1870000,32.40,地下三樓
RPQNMLRLQHJGFDN07CB,坡道平面,1920000,32.40,地下三樓
RPUNMLRLQHJGFDN47CB,坡道平面,1750000,27.27,地下一樓
RPQNMLQLQHJGFHN37CB,一樓平面,1200000,16.53,一樓
RPRNMLKMQHJGFBN98CB,其他,900000,11.00,一樓
RPQNMLRLQHJGFBN86CB,其他,0,,一樓
RPSNMLKMQHJGFBN09CB,其他,900000,11.00,一樓
RPPNMLMJRHJGFDN98CB,坡道平面,1700000,41.55,地下二樓
RPQNMLKMQHJGFBN88CB,其他,600000,11.00,一樓
RPPNMLOJRHJGFAN88CB,坡道平面,1500000,26.61,地下一樓
RPQNMLOJRHJGFAN98CB,坡道平面,1500000,26.61,地下一樓
RPPNMLPKRHJGFAN09CB,坡道機械,980000,25.69,地下三樓
RPQNMLPKRHJGFAN56CB,坡道平面,1850000,31.19,地下一樓
