鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
彰化市,租賃房屋,彰化縣彰化市金馬路三段９５巷２０號四樓,0.0,,,,1130809,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830623,111.43,3,2,2,有,有,有,17600,158,,0.0,0,,RPPNMLMKQHJGFAN78CC,整棟(戶)出租,有,1130823~1140822,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市孝德街２４巷７號六樓,0.0,,,,1130809,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830823,123.19,3,2,2,有,有,有,15000,122,,0.0,0,,RPQNMLMKQHJGFAN88CC,整棟(戶)出租,有,1130901~1140831,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
員林市,租賃房屋,彰化縣員林市惠來街５０巷１３號,0.0,,,,1130806,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700424,119.0,2,2,3,有,無,無,14000,118,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫。,RPQNMLMKQHJGFDN56CC,整棟(戶)出租,無,1130806~1140805,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
秀水鄉,租賃房屋,彰化縣秀水鄉中山路６４５號,0.0,,,,1130715,土地0建物0車位0,全,4,透天厝,住家、店鋪、停車空間,鋼筋混凝土造,0821129,39.67,3,0,3,有,無,無,24000,605,,0.0,0,多人共同承租3；急出租／急承租；,RPPNMLNKQHJGFAN88CC,分租套房,無,1130720~1131019,無,冷氣、洗衣機,一般包租
員林市,租賃房屋,彰化縣員林市員林大道五段２１５號十三樓,0.0,,,,1130802,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110418,106.01,2,2,2,有,有,有,15634,147,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫。管理費2566元。,RPPNMLNKQHJGFDN56CC,整棟(戶)出租,有,1130802~1140801,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
員林市,租賃房屋,彰化縣員林市莒光路７３６巷９號７樓之８,3.57,住,,,1130805,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860411,40.75,1,1,1,有,有,有,10000,245,,0.0,0,租金總額含管理費；,RPQNMLNKQHJGFDN66CC,獨立套房,有,1130811~1140810,有,冷氣、熱水器、洗衣機,
彰化市,租賃房屋,彰化縣彰化市延長街５２巷８號４樓之７,0.0,,,,1130726,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950522,31.77,1,0,1,有,有,有,6500,205,,0.0,0,,RPRNMLOKQHJGFAN56CC,獨立套房,無,1130820~1140819,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市延長街５２巷８號４樓之２０,0.0,,,,1130726,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950522,31.95,1,0,1,有,有,有,6500,203,,0.0,0,,RPSNMLOKQHJGFAN66CC,獨立套房,無,1130801~1140731,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市延長街５２巷８號３樓之１９,0.0,,,,1130726,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950522,34.02,1,0,1,有,有,有,6500,191,,0.0,0,,RPTNMLOKQHJGFAN76CC,獨立套房,無,1130801~1140731,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅包租轉租
