鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,唐高段834-18地號,22.0,都市：其他:道路用地,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,690800,31400,,0.0,0,包含公共設施保留地用地；,RPOOMLQJRHJGFAO56DA,0.0,0.0,0.0,無,
新竹市,土地,北門段1344-7地號,2.25,都市：其他:道路用地,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,137000,60889,,0.0,0,包含公共設施保留地用地；,RPWOMLMJRHJGFAO96DA,0.0,0.0,0.0,無,
新竹市,土地,福林段303-1地號,11.59,都市：其他:道路用地,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,523700,45186,,0.0,0,包含公共設施保留地用地；,RPSNMLPJRHJGFAO76DA,0.0,0.0,0.0,無,001
新竹市,土地,前溪段392-1地號,8.44,,特定農業區,甲種建築用地,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,382500,45320,,0.0,0,本件買賣移轉所產生之稅金約定由買方負擔。買方另支付土地增值稅15907元。親友、員工、共有人或其他特殊關係間之交易；,RPPOMLKKRHJGFAO78DA,0.0,0.0,0.0,無,
新竹市,土地,西濱段665地號,29.72,都市：其他:道路用地,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1257000,42295,,0.0,0,包含公共設施保留地用地；,RPRPMLKKRHJGFAO09DA,0.0,0.0,0.0,無,002
新竹市,房地(土地+建物),新竹市新竹市東山街６０巷３３號,0.0,,,,1130907,土地1建物1車位0,全,,透天厝,,,,0.0,5,1,4,有,無,9700000,0,,0.0,0,其他增建；,RPSNMLMKRHJGFAO66EA,103.05,0.0,0.0,無,
新竹市,土地,竹蓮段1445地號,6.62,都市：其他:道路用地,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,544734,82286,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPVNMLPJRHJGFAO07DA,0.0,0.0,0.0,無,
新竹市,土地,大學段288-1地號,2.58,住,,,1130909,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,546000,211628,,0.0,0,畸零地或有合併使用效益；,RPPNMLLKRHJGFAO78DA,0.0,0.0,0.0,無,
新竹市,土地,北門段2023地號,28.66,都市：其他:道路用地,,,1130827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2134000,74459,,0.0,0,包含公共設施保留地用地；,RPQOMLNLQHJGFAO56DA,0.0,0.0,0.0,無,003
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段３３５巷３６號五樓,26.74,都市：其他:第二種住宅區,,,1130802,土地2建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051222,94.86,2,2,2,有,有,17100000,180266,坡道機械,8.74,0,,RPPNMLRLQHJGFAO76DA,52.98,3.18,4.23,有,004
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段５３１巷７２之５號３樓,17.07,商,,,1130822,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860120,144.34,3,2,2,有,有,13980000,96855,坡道平面,0.0,0,,RPSOMLSLQHJGFAO27DA,77.58,0.0,10.27,有,005
新竹市,房地(土地+建物)+車位,新竹市新竹市公道五路二段４２５之３號二樓之３,42.91,住,,,1130826,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951127,240.60000000000002,3,2,2,有,有,33000000,137157,坡道平面,0.0,0,陽台外推；,RPPNMLLJRHJGFAO68DA,115.14,0.0,15.97,有,
新竹市,土地,高翠段937地號,295.33,都市：其他:保護區,,,1130821,土地9建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17867280,60499,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPSNMLMJRHJGFAO09DA,0.0,0.0,0.0,無,006
新竹市,土地,高翠段934地號,99.19,都市：其他:保護區,,,1130821,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6001040,60500,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPTNMLMJRHJGFAO56DA,0.0,0.0,0.0,無,
新竹市,土地,西濱段630地號,165.38,都市：其他:人行步道用地,,,1130801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5885252,35586,,0.0,0,包含公共設施保留地用地；,RPOSMLOJRHJGFAO76DA,0.0,0.0,0.0,無,007
新竹市,房地(土地+建物),新竹市新竹市湳中街１９之５號,61.62,住,,,1130807,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870401,188.56,4,2,3,有,無,22500000,119325,,0.0,0,,RPQTMLOJRHJGFAO07DA,152.14,25.47,10.95,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂一路１８７號十樓,20.76,住,,,1130821,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030625,187.68,3,2,2,有,有,35500000,189152,坡道平面,31.74,0,其他增建；,RPOOMLPJRHJGFAO09DA,88.52,6.29,10.97,有,008
新竹市,房地(土地+建物),新竹市新竹市西門街２３２巷１號二樓,30.7,住,,,1130826,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680902,82.46,3,2,2,有,有,7880000,95561,,0.0,0,陽台加蓋鐵欄杆其他增建；,RPUOMLPJRHJGFAO07DA,82.46,0.0,0.0,有,009
新竹市,土地,東山段二小段478地號,55.0,,,,1130823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,36364,,0.0,0,包含公共設施保留地用地；,RPUNMLPJRHJGFAO07EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段５３１巷７２之５號,17.07,商,,,1130802,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860120,144.34,3,2,2,有,有,18500000,128170,坡道平面,0.0,0,其他增建；,RPXRMLSJQHJGFAO87DA,77.58,5.53,4.74,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市金雅東街８號九樓之１,31.74,,鄉村區,乙種建築用地,1130807,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081017,155.3,3,2,2,有,有,24650000,158725,坡道平面,33.11,0,,RPSQMLOKQHJGFAO96DA,74.97,0.0,8.02,有,010
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段４１巷９號二樓之６,10.21,住,,,1130818,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0960501,41.64,1,1,1,有,有,6450000,154899,坡道機械,5.92,0,夾層；其他增建；,RPVOMLKMQHJGFAO86DA,16.69,3.12,2.95,有,011
新竹市,房地(土地+建物),新竹市新竹市成功路６５巷２４號５樓之１２,10.25,住,,,1130806,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850729,42.85,1,1,1,有,有,4150000,96849,,0.0,0,其他增建；,RPVRMLOJRHJGFAO37DA,24.55,0.0,3.37,無,
新竹市,土地,西濱段523地號,110.63,都市：其他:道路用地,,,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5661490,51175,,0.0,0,包含公共設施保留地用地；,RPPSMLOJRHJGFAO86DA,0.0,0.0,0.0,無,012
新竹市,房地(土地+建物),新竹市新竹市至街３１巷７號四樓,16.04,,山坡地保育區,丙種建築用地,1130831,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870318,32.58,1,1,1,有,有,1700000,52179,,0.0,0,陽台外推；,RPUSMLOJRHJGFAO37DA,22.32,0.0,2.7,無,013
新竹市,房地(土地+建物)+車位,新竹市新竹市天府路一段１４２號七樓之７,22.0,住,,,1130814,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101001,116.57,2,2,1,有,有,13020000,111693,坡道機械,16.58,0,,RPTPMLQJRHJGFAO17DA,63.44,0.0,4.5,有,014
新竹市,土地,忠孝段114-4地號,1.0,住,,,1130822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,125000,0,,0.0,0,政府機關標讓售；,RPPNMLPJRHJGFAO56EA,0.0,0.0,0.0,無,
新竹市,土地,忠孝段114地號,18.0,住,,,1130822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2250000,125000,,0.0,0,政府機關標讓售；,RPQNMLPJRHJGFAO66EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市高峰路２巷６２號,155.14,住,,,1130804,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800509,236.34,4,3,4,有,有,24000000,101549,,0.0,0,,RPTRMLSJQHJGFAO47DA,236.34,0.0,0.0,無,
新竹市,土地,水源段413地號,501.19,,特定農業區,農牧用地,1130806,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15464000,30855,,0.0,0,,RPRNMLMKQHJGFAO98DA,0.0,0.0,0.0,無,015
新竹市,房地(土地+建物),新竹市新竹市南大路５５０巷１９弄１號５樓,27.45,住,,,1130802,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680730,72.82,3,2,1,有,無,4900000,67289,,0.0,0,其他增建；,RPVOMLTLQHJGFAO67DA,72.82,0.0,0.0,無,
新竹市,土地,水源段578地號,82.05,,鄉村區,乙種建築用地,1130830,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,39001,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQOMLMJRHJGFAO98DA,0.0,0.0,0.0,無,016
新竹市,土地,南港段207地號,499.13,,特定農業區,農牧用地,1130831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2416000,4840,,0.0,0,依土地法第34-1條規定辦理,RPRUMLOJRHJGFAO27DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市金城一路８５號九樓之３,49.58,住,,,1130823,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,1000713,168.44,2,2,2,有,有,26500000,157326,坡道平面,0.0,0,,RPQOMLPJRHJGFAO66DA,87.84,0.0,12.72,有,017
新竹市,房地(土地+建物),新竹市新竹市浸水街４０６巷３５號,77.31,,鄉村區,乙種建築用地,1130803,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0990810,181.26,5,2,3,有,無,17800000,98201,,0.0,0,其他增建；,RPTOMLPJRHJGFAO96DA,163.8,7.56,9.9,無,018
新竹市,土地,中央段939地號,101.17,都市：其他:道路用地,,,1130823,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12811200,126630,,0.0,0,包含公共設施保留地用地；,RPQNMLQJRHJGFAO66DA,0.0,0.0,0.0,無,019
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔路４１３巷１７之１號六樓,45.07,住,,,1130809,土地3建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101230,146.12,3,2,2,有,有,19000000,130030,坡道平面,0.0,0,,RPWOMLQJRHJGFAO37DA,82.77,0.0,8.45,有,020
新竹市,土地,中雅段221-10地號,117.0,住,,,1130828,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,27350000,233761,,0.0,0,未登記建物；,RPRQMLQJRHJGFAO07DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市浸水街３５５巷２１號,81.31,,特定農業區,甲種建築用地,1130814,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660701,82.77,4,2,2,有,無,5000000,60408,,0.0,0,所有稅費由賣方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNKQHJGFAO09DA,82.77,0.0,0.0,無,
新竹市,土地,和平段732地號,74.33,都市：其他:道路用地,,,1130814,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5205710,70035,,0.0,0,包含公共設施保留地用地；,RPSOMLOKQHJGFAO76DA,0.0,0.0,0.0,無,021
