編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRLQHJGFAO76DA,8,60.39,集合住宅,鋼筋混凝土造,105年12月22日,七層,五層 陽台 雨遮,全筆移轉
RPPNMLRLQHJGFAO76DA,8,34.47,共有部分,鋼筋混凝土造,105年12月22日,七層,,持分移轉
RPPNMLLJRHJGFAO68DA,18,.04,警衛室,鋼筋混凝土造,95年11月27日,一層,一層,持分移轉
RPPNMLLJRHJGFAO68DA,18,131.07,集合住宅,鋼筋混凝土造,95年11月27日,十三層,二層 陽台,全筆移轉
RPSOMLSLQHJGFAO27DA,28,87.85,住家用,鋼筋混凝土造,86年1月20日,八層,三層 陽台,全筆移轉
RPPNMLLJRHJGFAO68DA,18,26.11,樓梯間等共同使用部份,鋼筋混凝土造,95年11月27日,十三層,,持分移轉
RPSOMLSLQHJGFAO27DA,28,9.81,共有部分,鋼筋混凝土造,86年1月20日,八層,,持分移轉
RPPNMLLJRHJGFAO68DA,18,46.31,停車空間等共同使用部份,鋼筋混凝土造,95年11月27日,十三層,,持分移轉
RPSOMLSLQHJGFAO27DA,28,46.68,共有部分,鋼筋混凝土造,86年1月20日,十層,,持分移轉
RPPNMLLJRHJGFAO68DA,18,37.07,停車空間等共同使用部份,鋼筋混凝土造,95年11月27日,十三層,,持分移轉
RPQTMLOJRHJGFAO07DA,26,188.56,住宅、停車空間,鋼筋混凝土造,87年4月1日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 雨遮,全筆移轉
RPUOMLPJRHJGFAO07DA,45,82.46,住家用,鋼筋混凝土造,68年9月2日,五層,二層,全筆移轉
RPOOMLPJRHJGFAO09DA,10,105.78,集合住宅,鋼筋混凝土造,103年6月25日,十七層,十層 陽台 雨遮,全筆移轉
RPOOMLPJRHJGFAO09DA,10,44.48,共有部分,鋼筋混凝土造,103年6月25日,十七層,,持分移轉
RPOOMLPJRHJGFAO09DA,10,37.42,共有部分,鋼筋混凝土造,103年6月25日,十七層,,持分移轉
RPXRMLSJQHJGFAO87DA,28,87.85,住家用,鋼筋混凝土造,86年1月20日,八層,一層 陽台 平台,全筆移轉
RPXRMLSJQHJGFAO87DA,28,9.81,共有部分,鋼筋混凝土造,86年1月20日,八層,,持分移轉
RPXRMLSJQHJGFAO87DA,28,46.68,共有部分,鋼筋混凝土造,86年1月20日,十層,,持分移轉
RPVOMLKMQHJGFAO86DA,17,22.76,辦公室,鋼筋混凝土造,96年5月1日,七層,二層 陽台 雨遮,全筆移轉
RPVOMLKMQHJGFAO86DA,17,18.88,防空避難室兼停車空間、梯間 、機房、管道間、管理室,鋼筋混凝土造,96年5月1日,七層,,持分移轉
RPVRMLOJRHJGFAO37DA,28,27.92,住家用,鋼筋混凝土造,85年7月29日,五層,五層 陽台,全筆移轉
RPVRMLOJRHJGFAO37DA,28,14.93,梯間走道停車空間機械室等公共設備,鋼筋混凝土造,85年7月29日,五層,,持分移轉
RPUSMLOJRHJGFAO37DA,26,25.02,住家用,鋼筋混凝土造,87年3月18日,四層,四層 陽台,全筆移轉
RPUSMLOJRHJGFAO37DA,26,7.56,共有部分,鋼筋混凝土造,87年3月18日,四層,,持分移轉
RPSQMLOKQHJGFAO96DA,5,82.99,集合住宅,鋼筋混凝土造,108年10月17日,十層,九層 陽台,全筆移轉
RPSQMLOKQHJGFAO96DA,5,18.80,共有部分,鋼筋混凝土造,108年10月17日,十層,,持分移轉
RPSQMLOKQHJGFAO96DA,5,53.51,共有部分,鋼筋混凝土造,108年10月17日,十層,,持分移轉
RPTRMLSJQHJGFAO47DA,33,236.34,住家用,鋼筋混凝土造,80年5月9日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPTPMLQJRHJGFAO17DA,3,67.94,集合住宅,鋼筋混凝土造,110年10月1日,十四層,七層 陽台,全筆移轉
