編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLPJRHJGFAO07DA,竹蓮段,6.62,都市：其他:道路用地,16,1,持分移轉,14450000
RPRPMLKKRHJGFAO09DA,西濱段,29.72,都市：其他:道路用地,20,1,持分移轉,06650000
RPWOMLMJRHJGFAO96DA,北門段,2.25,都市：其他:道路用地,12,3,持分移轉,13440007
RPOOMLQJRHJGFAO56DA,唐高段,22.00,都市：其他:道路用地,1,1,全筆移轉,08340018
RPQOMLNLQHJGFAO56DA,北門段,12.80,都市：其他:道路用地,28800,5191,持分移轉,20150000
RPQOMLNLQHJGFAO56DA,北門段,15.86,都市：其他:道路用地,28800,5191,持分移轉,20230000
RPSNMLPJRHJGFAO76DA,福林段,11.59,都市：其他:道路用地,10000,100,持分移轉,03030001
RPPNMLRLQHJGFAO76DA,介壽段,23.51,都市：其他:第二種住宅區,10000,489,持分移轉,01830000
RPPNMLRLQHJGFAO76DA,介壽段,3.23,都市：其他:道路用地,10000,489,持分移轉,01830001
RPPNMLLKRHJGFAO78DA,大學段,1.56,都市：其他:第二種住宅區,1,1,全筆移轉,02880001
RPPNMLLKRHJGFAO78DA,大學段,1.02,都市：其他:道路用地,1,1,全筆移轉,02940001
RPPOMLKKRHJGFAO78DA,前溪段,8.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,60000,8319,持分移轉,03920001
RPTNMLMJRHJGFAO56DA,高翠段,67.89,都市：其他:保護區,60000,2138,持分移轉,09340000
RPTNMLMJRHJGFAO56DA,高翠段,31.30,都市：其他:保護區,60000,2138,持分移轉,09340002
RPPNMLLJRHJGFAO68DA,東明段,42.91,都市：其他:第一種住宅區,200000,618,持分移轉,00240000
RPSOMLSLQHJGFAO27DA,仙水段,17.07,都市：其他:第一種商業區,10000,76,持分移轉,07090000
RPQTMLOJRHJGFAO07DA,武陵段,14.62,都市：其他:第一種住宅區,16,1,持分移轉,06950000
RPQTMLOJRHJGFAO07DA,武陵段,47.00,都市：其他:第一種住宅區,1,1,全筆移轉,06950011
RPOSMLOJRHJGFAO76DA,南寮段,22.55,都市：其他:人行步道用地,18,8,持分移轉,01560001
RPOSMLOJRHJGFAO76DA,康樂段,33.90,都市：其他:道路用地,100000,20641,持分移轉,01880000
RPOSMLOJRHJGFAO76DA,西濱段,9.14,都市：其他:第一之一種住宅區,1,1,全筆移轉,06280000
RPOSMLOJRHJGFAO76DA,西濱段,99.79,都市：其他:道路用地,1,1,全筆移轉,06300000
RPSNMLMJRHJGFAO09DA,高翠段,71.20,都市：其他:保護區,60000,2242,持分移轉,09340000
RPSNMLMJRHJGFAO09DA,高翠段,4.48,都市：其他:道路用地,18,1,持分移轉,09340001
RPSNMLMJRHJGFAO09DA,高翠段,32.82,都市：其他:保護區,60000,2242,持分移轉,09340002
RPSNMLMJRHJGFAO09DA,高翠段,.37,都市：其他:道路用地,18,1,持分移轉,09340003
RPUNMLPJRHJGFAO07EA,東山段二小段,55.00,都市：其他:公園用地,2,1,持分移轉,04780000
