編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKQHJGFAO88DB,聚吉段,7.11,都市：其他:第二種商業區,10000,539,持分移轉,00450004
RPTOMLMKQHJGFAO66CB,金雅段,30.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3475,持分移轉,01190000
RPPNMLOKQHJGFAO98CB,民主段,31.83,都市：住,100000,2318,持分移轉,11940000
RPQNMLQKQHJGFAO66CB,和平段,26.50,都市：商,100000,2329,持分移轉,05200000
RPSNMLNKQHJGFAO56CB,武陵段,33.80,都市：住,100000,1335,持分移轉,03070002
RPPNMLOKQHJGFAO98CB,民主段,2.11,都市：商,100000,2318,持分移轉,11970000
RPRNMLNKQHJGFAO09CB,武陵段,33.80,都市：住,100000,1335,持分移轉,03070002
RPPNMLMKQHJGFAO88DB,聚吉段,7.11,都市：其他:第二種商業區,10000,539,持分移轉,00450005
RPSNMLRKQHJGFAO96CB,竹港段,21.63,都市：住,100000,572,持分移轉,08320000
RPQNMLOKQHJGFAO09CB,建華段,61.57,都市：住,100000,3621,持分移轉,08800000
RPPNMLTKQHJGFAO86CB,光華段,29.16,都市：住,100000,2725,持分移轉,02940000
RPPNMLKLQHJGFAO68CB,新莊段,18.28,都市：商,100000,756,持分移轉,06900000
RPQNMLKLQHJGFAO78CB,新莊段,18.28,都市：商,100000,756,持分移轉,06900000
RPQNMLQLQHJGFAO76CB,和平段,26.50,都市：商,100000,2329,持分移轉,05200000
RPRNMLPLQHJGFAO76CB,民富段,13.33,都市：商,100000,1766,持分移轉,27130000
RPQNMLLLQHJGFAO98DB,唐高段,27.30,都市：住,100000,3208,持分移轉,04850000
RPRNMLQLQHJGFAO86CB,和平段,26.65,都市：商,100000,2342,持分移轉,05200000
RPPNMLQLQHJGFAO66CB,和平段,34.91,都市：商,100000,3068,持分移轉,05200000
RPSNMLQLQHJGFAO96CB,和平段,26.65,都市：商,100000,2342,持分移轉,05200000
RPSNMLPLQHJGFAO86CB,民富段,14.24,都市：商,100000,1886,持分移轉,27130000
RPTNMLQLQHJGFAO07CB,和平段,26.50,都市：商,100000,2329,持分移轉,05200000
