鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市光復路一段６２３巷２號,0.0,,,,1130720,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0760619,19.47,7,0,7,有,無,有,6000,308,,0.0,0,租金總額含水費；,RPPNMLLKQHJGFAO78CC,分租套房,無,1130720~1140719,無,冷氣、熱水器、電視機、冰箱,
新竹市,租賃房屋,新竹市新竹市高峰路１１０巷１８號,0.0,,,,1130720,土地0建物1車位0,全,4,透天厝,停車空間、集合住宅,鋼筋混凝土造,0990315,234.41,4,3,5,有,無,有,40000,171,,0.0,0,,RPQNMLLKQHJGFAO88CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市埔頂三路３２號七樓之８,0.0,,,,1130720,土地0建物1車位0,七層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120530,119.35000000000001,3,2,2,有,有,有,28000,235,,0.0,0,租賃範圍不含車位，已扣除車位面積。多人共同承租2；租金總額含管理費；,RPPNMLMKQHJGFAO88CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱,
新竹市,租賃房屋,新竹市新竹市經國路二段１１１號７樓之１１,0.0,,,,1130808,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),辦公室　　,鋼筋混凝土造,0860715,28.6,1,0,1,有,有,有,5500,192,,0.0,0,租金總額含網路費；,RPRNMLMKQHJGFAO09CC,獨立套房,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市東區高峰路４５號,0.0,,,,1130811,土地0建物0車位0,全,5,透天厝,住家用,加強磚造,0610925,19.83,7,7,7,有,無,有,12500,630,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPSNMLMKQHJGFAO56CC,分租套房,無,1130821~1140820,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
新竹市,租賃房屋,新竹市新竹市水田街２０６巷１６號１樓,0.0,,,,1130729,土地0建物0車位0,全,3,透天厝,住家用,加強磚造,0740807,42.0,6,1,6,有,無,有,19950,475,,0.0,0,,RPUNMLMKQHJGFAO76CC,分租套房,無,1130801~1140731,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般包租
新竹市,租賃房屋,新竹市新竹市民權路５６巷１９號九樓之３,0.0,,,,1130718,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030830,49.370000000000005,1,0,1,有,有,有,13617,276,,0.0,0,多人共同承租2；含增建或未登記建物；,RPVNMLMKQHJGFAO86CC,獨立套房,有,1130727~1140726,有,冷氣、洗衣機、電視機、冰箱,
新竹市,租賃房屋,新竹市新竹市鐵道路一段２８巷３號３樓,37.96,其他,,,1130718,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),策略性產業辦公室、機電空間,鋼筋混凝土造,1000718,246.53,4,2,2,有,有,有,53000,215,,0.0,0,租金總額含管理費；網路費；,RPPNMLNKQHJGFAO98CC,整棟(戶)出租,有,1130716~1150715,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市武陵路２７１巷６４弄１２號４樓,0.0,,,,1130809,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820306,114.89,3,2,2,有,有,有,14400,125,,0.0,0,,RPQNMLNKQHJGFAO09CC,整棟(戶)出租,有,1130817~1140816,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
