編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKQHJGFAO88CC,14,234.41,停車空間、集合住宅,鋼筋混凝土造,99年3月15日,四層,,
RPPNMLMKQHJGFAO88CC,1,78.04,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPRNMLMKQHJGFAO09CC,27,18.36,辦公室　　,鋼筋混凝土造,86年7月15日,十二層,,
RPPNMLMKQHJGFAO88CC,1,41.31,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
RPPNMLLKQHJGFAO78CC,37,19.47,住商用,鋼筋混凝土造,76年6月19日,三層,,
RPRNMLMKQHJGFAO09CC,27,3.36,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPRNMLMKQHJGFAO09CC,27,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPRNMLMKQHJGFAO09CC,27,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPSNMLMKQHJGFAO56CC,52,19.83,住家用,加強磚造,61年9月25日,二層,,
RPUNMLMKQHJGFAO76CC,39,42.00,住家用,加強磚造,74年8月7日,二層,,
RPVNMLMKQHJGFAO86CC,10,28.05,集合住宅,鋼筋混凝土造,103年8月30日,十二層,,
RPVNMLMKQHJGFAO86CC,10,21.32,共有部分,鋼筋混凝土造,103年8月30日,十二層,,
RPPNMLNKQHJGFAO98CC,13,175.13,策略性產業辦公室、機電空間,鋼筋混凝土造,100年7月18日,十四層,,
RPPNMLNKQHJGFAO98CC,13,25.17,共有部分,鋼筋混凝土造,100年7月18日,十四層,,
RPPNMLNKQHJGFAO98CC,13,46.23,共有部分,鋼筋混凝土造,100年7月18日,十四層,,
RPQNMLNKQHJGFAO09CC,31,96.58,住家用,鋼筋混凝土造,82年3月6日,六層,,
RPQNMLNKQHJGFAO09CC,31,9.91,共有部分,鋼筋混凝土造,82年3月6日,六層,,
RPQNMLNKQHJGFAO09CC,31,8.40,共有部分,鋼筋混凝土造,82年3月6日,六層,,
RPRNMLNKQHJGFAO56CC,26,31.05,住家用,鋼筋混凝土造,87年2月11日,七層,,
RPRNMLNKQHJGFAO56CC,26,8.32,防空避難室兼停車空間、騎樓,鋼筋混凝土造,87年2月11日,七層,,
RPRNMLNKQHJGFAO56CC,26,5.41,電梯樓梯間、水箱、機械室,鋼筋混凝土造,87年2月11日,七層,,
RPRNMLNKQHJGFAO56CC,26,9.44,通道間,鋼筋混凝土造,87年2月11日,七層,,
RPSNMLQKQHJGFAO96CC,29,96.88,住家用,鋼筋混凝土造,84年5月22日,七層,,
RPRNMLQKQHJGFAO86CC,31,89.11,住家用,鋼筋混凝土造,82年8月7日,七層,,
RPQNMLPKQHJGFAO66CC,32,23.97,住家用,鋼筋混凝土造,81年11月18日,七層,,
RPSNMLQKQHJGFAO96CC,29,10.75,共有部分,鋼筋混凝土造,84年5月22日,七層,,
RPPNMLQKQHJGFAO66CC,4,83.90,集合住宅,鋼筋混凝土造,110年1月4日,二十四層,,
RPQNMLPKQHJGFAO66CC,32,5.44,共有部分,鋼筋混凝土造,81年11月18日,七層,,
RPRNMLQKQHJGFAO86CC,31,12.54,共有部分,鋼筋混凝土造,82年8月7日,七層,,
RPSNMLQKQHJGFAO96CC,29,.18,共有部分,鋼筋混凝土造,84年5月22日,七層,,
RPPNMLQKQHJGFAO66CC,4,44.62,共有部分,鋼筋混凝土造,110年1月4日,二十四層,,
RPTNMLPKQHJGFAO96CC,16,21.26,策略性產業辦公室,鋼筋混凝土造,97年9月11日,十三層,,
RPRNMLQKQHJGFAO86CC,31,14.16,共有部分,鋼筋混凝土造,82年8月7日,七層,,
RPSNMLQKQHJGFAO96CC,29,13.73,共有部分,鋼筋混凝土造,84年5月22日,七層,,
RPTNMLPKQHJGFAO96CC,16,7.42,樓梯間、機械室、水箱、開放空間,鋼筋混凝土造,97年9月11日,十三層,,
RPTNMLPKQHJGFAO96CC,16,3.40,停車空間兼防空避難室、機械室、機房、受電室,鋼筋混凝土造,97年9月11日,十八層,,
RPTNMLPKQHJGFAO96CC,16,.02,守衛室,鋼筋混凝土造,97年9月11日,十三層,,
RPUNMLPKQHJGFAO07CC,28,93.15,住家用,鋼筋混凝土造,85年2月14日,十六層,,
RPUNMLPKQHJGFAO07CC,28,18.71,共有部分,鋼筋混凝土造,85年2月14日,十八層,,
RPUNMLPKQHJGFAO07CC,28,43.95,共有部分,鋼筋混凝土造,85年2月14日,十八層,,
RPVNMLQKQHJGFAO27CC,30,20.40,住家用,鋼筋混凝土造,83年3月23日,七層,,
RPVNMLQKQHJGFAO27CC,30,10.91,共有部分,鋼筋混凝土造,83年3月23日,七層,,
RPWNMLQKQHJGFAO37CC,16,21.12,策略性產業辦公室,鋼筋混凝土造,97年9月11日,十三層,,
RPWNMLQKQHJGFAO37CC,16,7.39,樓梯間、機械室、水箱、開放空間,鋼筋混凝土造,97年9月11日,十三層,,
RPWNMLQKQHJGFAO37CC,16,31.58,停車空間兼防空避難室、機械室、機房、受電室,鋼筋混凝土造,97年9月11日,十八層,,
RPWNMLQKQHJGFAO37CC,16,.01,守衛室,鋼筋混凝土造,97年9月11日,十八層,,
RPWNMLQKQHJGFAO37CC,16,.02,守衛室,鋼筋混凝土造,97年9月11日,十三層,,
