鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
元長鄉,土地,仁德段1414地號,4016.0,,特定農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4819200,1200,,0.0,0,,RPPNMLOJRHJGFEP86DA,0.0,0.0,0.0,無,001
斗六市,土地,黃厝段763地號,3608.0,,特定農業區,農牧用地,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15800000,4379,,0.0,0,本件買賣，賣主之水、電、水權一併移轉為買主所有未登記建物；農作物；農業設施；,RPQNMLLKRHJGFAP09EA,0.0,0.0,0.0,無,002
崙背鄉,土地,舊庄段421地號,3668.0,,特定農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5135200,1400,,0.0,0,,RPPNMLPJRHJGFCP76DA,0.0,0.0,0.0,無,
土庫鎮,土地,石廟子段151-10地號,168.0,,鄉村區,乙種建築用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,11905,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLLKRHJGFDP76DA,0.0,0.0,0.0,無,
元長鄉,土地,長南段1159-2地號,414.63,,特定農業區,甲種建築用地,1130905,土地3建物0車位0,,,其他,,,,0.0,2,0,1,有,無,2837195,6843,,0.0,0,未登記建物；,RPTNMLQJRHJGFEP47DA,0.0,0.0,0.0,無,
斗六市,土地,大潭段社口小段63-10地號,32.49,都市：其他:道路用地,,,1130904,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,550000,16928,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJRHJGFAP56EA,0.0,0.0,0.0,無,
北港鎮,房地(土地+建物),雲林縣北港鎮大同路３５５之１號一樓,30.07,住,,,1130902,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880603,181.88,4,1,2,有,有,5000000,27491,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNKRHJGFEP07DA,99.45,0.0,8.44,有,003
虎尾鎮,土地,廉使南段933地號,10.35,,特定農業區,交通用地,1130906,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,53320,5152,,0.0,0,,RPRNMLMKRHJGFDP96EA,0.0,0.0,0.0,無,004
虎尾鎮,土地,廉使南段933地號,10.35,,特定農業區,交通用地,1130906,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,53020,5123,,0.0,0,,RPSNMLMKRHJGFDP07EA,0.0,0.0,0.0,無,004
東勢鄉,土地,新美段565地號,3796.04,,特定農業區,農牧用地,1130903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4631168,1220,,0.0,0,,RPQNMLMKRHJGFFP07EA,0.0,0.0,0.0,無,
台西鄉,房地(土地+建物),雲林縣台西鄉崙豐路６１之５號,106.27,,一般農業區,甲種建築用地,1130904,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820325,229.06,5,1,5,有,無,2470000,10783,,0.0,0,,RPPNMLNKRHJGFFP07EA,229.06,0.0,0.0,無,006
莿桐鄉,土地,樹子腳段1634地號,1551.0,,特定農業區,農牧用地,1130907,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,1418,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPRNMLTJRHJGFAP17DA,0.0,0.0,0.0,無,
