編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKRHJGFEP07DA,25,107.89,集合住宅,鋼筋混凝土造,88年6月3日,十層,一層 陽台,全筆移轉
RPRNMLNKRHJGFEP07DA,25,.32,管理室,鋼筋混凝土造,88年6月3日,一層,,持分移轉
RPRNMLNKRHJGFEP07DA,25,55.39,Ｂ１停車場，Ｂ２防空避難，甲、乙棟一樓騎樓,鋼筋混凝土造,88年6月3日,十層,,持分移轉
RPRNMLNKRHJGFEP07DA,25,18.28,甲棟梯間、屋頂突出物、機械房、水箱,,88年6月3日,十層,,持分移轉
RPPNMLNKRHJGFFP07EA,31,229.06,住家用,鋼筋混凝土造,82年3月25日,三層,一層 二層 三層 地下層,全筆移轉
RPPNMLQKRHJGFEP17DA,38,120.96,住家用,加強磚造,75年11月20日,二層,一層 二層 陽台 騎樓,全筆移轉
RPPNMLSKRHJGFBP07DA,,124.77,住宅,鋼筋混凝土造,113年4月10日,三層,一層 二層 三層,全筆移轉
RPSNMLOJRHJGFAP76DA,31,165.26,住家用,鋼筋混凝土造,82年5月25日,三層,一層 二層 三層 陽台 平台 水箱 電梯樓梯間,全筆移轉
RPPNMLSJRHJGFBP96DA,43,190.02,住商用,鋼筋混凝土加強磚造,70年3月26日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPRNMLPJRHJGFEP17DA,51,111.50,住家用,加強磚造,62年8月25日,二層,一層 二層 騎樓 浴廁,全筆移轉
RPPNMLRJRHJGFEP17DA,1,141.15,住家用,鋼筋混凝土造,113年2月1日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKKRHJGFBP98EA,25,60.51,住家用,鋼筋混凝土造,88年4月12日,十二層,三層,全筆移轉
RPPNMLKKRHJGFBP98EA,25,16.12,共有部份,鋼筋混凝土造,88年4月12日,十二層,,持分移轉
RPPNMLKKRHJGFBP98EA,25,19.10,共有部份,鋼筋混凝土造,88年4月12日,十二層,,持分移轉
RPPNMLPJRHJGFAP56DA,12,191.46,Ｇ２保險公司等分支機構,鋼筋混凝土造,101年10月8日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPPNMLTKQHJGFAP96DA,31,94.48,住家用,鋼筋混凝土造,82年3月1日,八層,四層 陽台,全筆移轉
RPPNMLTKQHJGFAP96DA,31,31.53,共有部份,鋼筋混凝土造,82年3月1日,八層,,持分移轉
RPRNMLKKRHJGFBP09DA,31,96.31,住家用,鋼筋混凝土造,83年1月22日,九層,九層 陽台 花台,全筆移轉
RPRNMLKKRHJGFBP09DA,31,12.69,地下室﹕２２８７﹒３３平方公尺,鋼筋混凝土造,83年1月22日,九層,,持分移轉
RPRNMLKKRHJGFBP09DA,31,1.28,共有部份,鋼筋混凝土造,83年1月21日,,,持分移轉
RPRNMLKKRHJGFBP09DA,31,.85,共有部份,鋼筋混凝土造,83年1月21日,,,持分移轉
RPRNMLKKRHJGFBP09DA,31,.98,共有部份,鋼筋混凝土造,83年1月21日,,,持分移轉
RPRNMLKKRHJGFBP09DA,31,2.77,共有部份,鋼筋混凝土造,83年1月21日,,,持分移轉
RPRNMLKKRHJGFBP09DA,31,12.65,共有部份,鋼筋混凝土造,83年1月21日,,,持分移轉
RPRNMLKKRHJGFBP09DA,31,12.08,共有部份,鋼筋混凝土造,83年1月21日,,,持分移轉
RPSNMLTJRHJGFEP67DA,27,275.67,住商用,鋼筋混凝土造,86年5月7日,四層,一層 二層 三層 四層 陽台 騎樓 電梯樓梯間,全筆移轉
RPPNMLKKRHJGFEP56DA,29,97.64,住家用,鋼筋混凝土造,84年5月26日,十二層,十二層 陽台,全筆移轉
RPPNMLKKRHJGFEP56DA,29,2.34,共有部份,鋼筋混凝土造,84年5月26日,,,持分移轉
RPPNMLKKRHJGFEP56DA,29,22.65,共有部份,鋼筋混凝土造,84年5月26日,十二層,,持分移轉
RPPNMLKKRHJGFEP56DA,29,4.89,共有部份,鋼筋混凝土造,84年5月26日,,,持分移轉
RPVNMLTJRHJGFEP97DA,26,155.24,住家用,鋼筋混凝土造,87年3月24日,三層,一層 二層 三層 陽台,持分移轉
RPRNMLLKRHJGFAP09DA,9,215.00,門廊、住宅、樓梯間,鋼筋混凝土造,104年12月28日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLKKRHJGFBP56DA,17,199.38,住家用,鋼筋混凝土造,97年1月18日,四層,一層 二層 三層 四層 陽台 平台 見其他登記事項,全筆移轉
RPUNMLKKRHJGFDP96DA,46,136.49,住家用,鋼筋混凝土造,67年11月21日,二層,一層 二層 陽台 騎樓,全筆移轉
RPPNMLMKRHJGFDP76EA,4,61.00,本共有部分之項目有停車空間、管理委員會空間、走廊、梯廳、樓梯間、昇降機間、機房、水箱、防空避難室兼停車空間等９項,鋼筋混凝土造,109年5月19日,十層,,持分移轉
RPPNMLMKRHJGFDP76EA,4,41.66,集合住宅,鋼筋混凝土造,109年5月19日,十層,四層 陽台,全筆移轉
RPRNMLRJRHJGFAP96DA,,68.31,集合住宅,鋼筋混凝土造,113年6月7日,十二層,十二層 陽台,全筆移轉
RPRNMLRJRHJGFAP96DA,,59.40,防空避難室兼停車空間、發電機室、電信室、水箱、台電配電場所、停車空間、消防機房、雨水機房、無障礙廁所、走廊、無障礙昇降機、管理委員會使用空間、戶外安全梯、梯廳、梯間、電梯機房。,鋼筋混凝土造,113年6月7日,十二層,,持分移轉
RPPOMLRLQHJGFDP27DA,6,200.61,住宅、停車空間,鋼筋混凝土造,107年10月24日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLKKRHJGFCP66DA,,146.67,住宅,鋼筋混凝土造,113年2月7日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQOMLMLQHJGFAP56DA,18,218.00,停車空間、店舖、住宅,鋼筋混凝土造,96年1月5日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮,全筆移轉
RPUNMLTLQHJGFAP57DA,1,81.70,集合住宅,鋼筋混凝土造,112年7月26日,十層,九層 陽台,全筆移轉
RPUNMLTLQHJGFAP57DA,1,69.80,防空避難室兼停車空間、停車空間、管委會空間、梯廳、樓梯間、樓電梯間、水箱、機械室,鋼筋混凝土造,112年7月26日,十層,,持分移轉
RPQNMLNJRHJGFAP09DA,2,54.28,集合住宅,鋼筋混凝土造,111年7月28日,九層,六層 陽台,全筆移轉
RPQNMLNJRHJGFAP09DA,2,51.21,防空避難室兼地下停車空間、樓電梯間、機電設備管道間、門廳、管委會空間、停車空間、水箱,鋼筋混凝土造,111年7月28日,九層,,持分移轉
RPVNMLKKRHJGFAP76DA,1,146.10,住宅、停車空間,鋼筋混凝土造,112年3月25日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLMKRHJGFAP76DA,8,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,四層 陽台,全筆移轉
RPTNMLMKRHJGFAP76DA,8,33.24,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,,持分移轉
RPWNMLNLQHJGFDP47DA,3,133.25,住家用,鋼筋混凝土造,110年11月3日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLNJRHJGFAP76DA,49,152.02,住商用,加強磚造、磚造,64年11月17日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPPNMLRKRHJGFAP86DA,26,167.02,住家用,鋼筋混凝土造,87年12月18日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPVNMLMKRHJGFAP96DA,26,25.27,住家用,鋼筋混凝土造,87年10月30日,十層,七層 陽台,全筆移轉
RPSNMLNKRHJGFAP76DA,,164.79,住宅、停車空間、樓梯間,鋼筋混凝土造,113年4月26日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLMKRHJGFAP96DA,26,24.30,共有部份,鋼筋混凝土造,87年10月30日,十層,,持分移轉
RPVNMLMKRHJGFAP96DA,26,6.65,共有部份,鋼筋混凝土造,87年10月30日,十層,,持分移轉
RPRNMLQKRHJGFAP96DA,30,97.94,住家用,鋼筋混凝土造,83年11月20日,十四層,四層 陽台 花台,全筆移轉
RPRNMLQKRHJGFAP96DA,30,11.66,共有部份,鋼筋混凝土造,83年11月20日,十四層,,持分移轉
RPRNMLQKRHJGFAP96DA,30,22.64,共有部份,鋼筋混凝土造,83年11月20日,十四層,,持分移轉
RPRNMLQKQHJGFBP96DA,4,195.54,住宅、樓梯間,鋼筋混凝土造,109年4月27日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLQKRHJGFAP96EA,11,304.77,住宅、停車空間,鋼筋混凝土造,102年8月30日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLNKRHJGFAP56EA,1,93.35,集合住宅,鋼筋混凝土造,113年2月2日,五層,五層 陽台,全筆移轉
RPPNMLNKRHJGFAP56EA,1,42.47,室內停車空間、公共空間,鋼筋混凝土造,113年2月2日,五層,,持分移轉
RPSNMLQJQHJGFAP86DA,46,94.12,住宅,加強磚造、鋼鐵造,67年10月5日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLNKRHJGFCP76EA,69,47.75,住宅,加強磚造,44年7月1日,一層,一層,全筆移轉
RPUNMLRKRHJGFAP37DA,1,152.76,住家用,鋼筋混凝土造,112年5月3日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLSKRHJGFBP17DA,,125.28,住宅,鋼筋混凝土造,113年4月10日,三層,一層 二層 三層,全筆移轉
RPPNMLKMQHJGFAP98EA,15,180.00,農舍,鋼鐵造有牆,98年12月23日,一層,一層,全筆移轉
RPRNMLSKRHJGFBP27DA,6,233.21,騎樓、水塔、店舖、住宅、停車空間,鋼筋混凝土造,107年6月1日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項,全筆移轉
