編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJRHJGFEP86DA,仁德段,4016.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,14140000
RPSNMLMKRHJGFDP07EA,廉使南段,3.69,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09290000
RPSNMLMKRHJGFDP07EA,廉使南段,1.52,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09300000
RPSNMLMKRHJGFDP07EA,廉使南段,4.63,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09330000
RPSNMLMKRHJGFDP07EA,廉使南段,.51,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09340000
RPRNMLLKRHJGFDP76DA,石廟子段,168.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01510010
RPPNMLOJRHJGFAP56EA,大潭段社口小段,3.24,都市：其他:道路用地,672,1,持分移轉,00630000
RPPNMLOJRHJGFAP56EA,大潭段社口小段,22.42,都市：其他:住宅區,24,1,持分移轉,00630010
RPPNMLOJRHJGFAP56EA,大潭段社口小段,6.67,都市：其他:住宅區,24,1,持分移轉,00630023
RPPNMLOJRHJGFAP56EA,大潭段社口小段,.17,都市：其他:住宅區,24,1,持分移轉,00630059
RPPNMLPJRHJGFCP76DA,舊庄段,3668.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04210000
RPQNMLLKRHJGFAP09EA,黃厝段,1898.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07630000
RPQNMLLKRHJGFAP09EA,黃厝段,1710.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07640000
RPRNMLMKRHJGFDP96EA,廉使南段,3.69,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09290000
RPRNMLMKRHJGFDP96EA,廉使南段,1.52,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09300000
RPRNMLMKRHJGFDP96EA,廉使南段,4.63,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09330000
RPRNMLMKRHJGFDP96EA,廉使南段,.51,非都市：特定農業區 ; 非都市編定：交通用地,16,2,持分移轉,09340000
RPRNMLNKRHJGFEP07DA,北糖段,30.07,都市：其他:住宅區,10000000,33434,持分移轉,05830000
RPTNMLQJRHJGFEP47DA,長南段,280.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,11590002
RPTNMLQJRHJGFEP47DA,長南段,84.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,4716,334,持分移轉,11610001
RPTNMLQJRHJGFEP47DA,長南段,50.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,4716,334,持分移轉,11610002
RPQNMLMKRHJGFFP07EA,新美段,1898.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05640000
RPQNMLMKRHJGFFP07EA,新美段,1898.04,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05650000
RPPNMLNKRHJGFEP86DA,西興段,1477.34,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09120000
RPPNMLNKRHJGFFP07EA,港西段,93.52,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00690000
RPPNMLNKRHJGFFP07EA,港西段,12.75,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00800000
RPQNMLNKRHJGFFP07DA,五華段,1776.98,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12440000
RPQNMLNKRHJGFFP07DA,五華段,1774.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12450000
RPRNMLTJRHJGFAP17DA,樹子腳段,912.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16340000
RPRNMLTJRHJGFAP17DA,樹子腳段,639.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16350000
RPRNMLQKRHJGFFP47DA,明德段,1045.38,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,02440000
RPRQMLLKRHJGFCP96DA,東興段,273.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03200000
RPPNMLQKRHJGFEP27EA,崙子段,365.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,576,18,持分移轉,05050000
RPRNMLQKRHJGFDP37EA,廉使南段,7.39,非都市：特定農業區 ; 非都市編定：交通用地,16,4,持分移轉,09290000
RPRNMLQKRHJGFDP37EA,廉使南段,3.04,非都市：特定農業區 ; 非都市編定：交通用地,16,4,持分移轉,09300000
RPRNMLQKRHJGFDP37EA,廉使南段,2.31,非都市：特定農業區 ; 非都市編定：交通用地,16,1,持分移轉,09330000
RPRNMLQKRHJGFDP37EA,廉使南段,1.02,非都市：特定農業區 ; 非都市編定：交通用地,16,4,持分移轉,09340000
RPPNMLQKRHJGFEP17DA,順天段,77.19,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10510000
RPPNMLLMQHJGFEP76DA,扶朝段,923.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11630000
RPSNMLQKRHJGFDP47EA,廉使南段,2.31,非都市：特定農業區 ; 非都市編定：交通用地,16,1,持分移轉,09330000
RPQNMLSKRHJGFEP47DA,洋北段,580.37,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05200000
RPQNMLSKRHJGFDP47EA,龍林段,34.43,非都市：鄉村區 ; 非都市編定：交通用地,1000,313,持分移轉,03380000
RPQNMLSKRHJGFDP47EA,龍林段,325.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,313,持分移轉,03390000
RPQNMLSKRHJGFAP17EA,草嶺段,430.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00010128
RPQNMLSKRHJGFAP17EA,草嶺段,132.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,00130004
RPQNMLSKRHJGFDP37DA,潮洋厝段,1478.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06390001
RPTNMLQKRHJGFDP57EA,田洋段,92.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04030001
RPPNMLSKRHJGFBP07DA,太興段,35.13,都市：其他:住宅區,24,2,持分移轉,11370001
RPPNMLSKRHJGFBP07DA,太興段,71.75,都市：其他:住宅區,1,1,全筆移轉,11370008
RPSNMLOJRHJGFAP76DA,大竹圍段,93.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09250000
RPPNMLSKRHJGFDP37EA,福德段,114.79,非都市：鄉村區 ; 非都市編定：水利用地,9,2,持分移轉,00130000
RPRNMLQKRHJGFEP37DA,龍岩厝段,2211.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,18640000
RPPNMLSJRHJGFBP96DA,中天段,75.00,都市：其他:商業區,1,1,全筆移轉,06470000
RPPNMLTJRHJGFDP27DA,忠東段,1055.00,都市：其他:農業區,1,1,全筆移轉,00860000
RPVNMLQJRHJGFEP67DA,元長段,259.81,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,04610001
RPRNMLPJRHJGFEP17DA,華北段,60.78,都市：其他:住宅區,1,1,全筆移轉,01190000
RPPNMLRJRHJGFEP17DA,埔尾段,22.31,都市：其他:住宅區,20,2,持分移轉,02240005
RPPNMLRJRHJGFEP17DA,埔尾段,61.53,都市：其他:住宅區,1,1,全筆移轉,02240010
RPPNMLRJRHJGFEP17DA,埔尾段,12.01,都市：其他:住宅區,1,1,全筆移轉,02240019
RPPNMLKKRHJGFAP88EA,荷苞段,1281.55,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,11170000
SPRNMLTJRHJGFEP67DA,南陽段,23.39,都市：其他:住宅區,40,16,持分移轉,02510000
RPRNMLTJRHJGFEP57DA,南陽段,21.93,都市：其他:住宅區,8,3,持分移轉,02510000
RPQNMLLLQHJGFFP86DA,萬興段,438.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05720000
RPPNMLKKRHJGFBP98EA,南昌段,1.68,都市：其他:零售市場用地,100000,34,持分移轉,05600000
