編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTKQHJGFAP96DA,坡道機械,0,,地下一樓
RPPNMLMKRHJGFDP76EA,坡道平面,0,40.97,地下一樓
RPRNMLRJRHJGFAP96DA,坡道平面,1400000,24.93,地下一樓
RPUNMLTLQHJGFAP57DA,坡道平面,0,31.58,地下一樓
RPQNMLNJRHJGFAP09DA,坡道平面,0,26.46,地下一樓
RPVNMLMKRHJGFAP96DA,坡道平面,0,13.50,地下一樓
RPPNMLNKRHJGFAP56EA,一樓平面,0,,一樓
RPQNMLRKRHJGFDP27DA,坡道平面,1500000,20.39,地下一樓
RPQNMLOLQHJGFAP66DA,坡道平面,1400000,24.93,地下一樓
RPTNMLRJRHJGFAP17DA,坡道平面,1300000,23.86,地下一樓
RPPNMLRJRHJGFAP76DA,坡道平面,1300000,23.86,地下一樓
RPUNMLRJRHJGFAP27DA,坡道平面,1300000,24.93,地下二樓
RPSNMLRJRHJGFAP07DA,坡道平面,1300000,24.93,地下二樓
RPXNMLRLQHJGFDP97DA,一樓平面,1000000,10.99,一樓
RPTNMLSKQHJGFDP57DA,一樓平面,1000000,10.99,一樓
RPWNMLSKQHJGFDP87DA,一樓平面,950000,10.99,一樓
RPTNMLMJRHJGFCP86DA,一樓平面,800000,,一樓
RPXNMLSKQHJGFDP97DA,一樓平面,950000,10.99,一樓
RPVNMLSKQHJGFDP77DA,一樓平面,900000,10.99,一樓
RPWNMLPJRHJGFCP47DA,一樓平面,800000,,一樓
RPPNMLMJRHJGFCP09DA,一樓平面,700000,,一樓
RPVNMLPJRHJGFCP37DA,一樓平面,800000,,一樓
RPQNMLMJRHJGFCP56DA,一樓平面,800000,,一樓
RPRNMLMJRHJGFCP66DA,一樓平面,800000,,一樓
RPQNMLSKPHJGFAP86DA,坡道機械,0,5.12,地下一樓
RPPNMLMKRHJGFCP66EA,坡道平面,700000,26.47,地下一樓
