鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市十三北路８０號,0.0,,,,1130805,土地0建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,0851003,156.02,3,2,2,有,無,有,18000,115,,0.0,0,,RPPNMLMKQHJGFAP98CC,整棟(戶)出租,無,1130805~1140804,無,冷氣、熱水器、冰箱,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號２樓之１９,0.0,,,,1130801,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,19.43,1,0,1,有,有,無,4200,216,,0.0,0,含增建或未登記建物；續租案件；,RPQNMLNKQHJGFAP56CC,獨立套房,有,1130805~1140204,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號７樓之１,0.0,,,,1130801,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,20.009999999999998,1,0,1,有,有,無,4500,225,,0.0,0,含增建或未登記建物；續租案件；,RPRNMLNKQHJGFAP66CC,獨立套房,有,1130808~1140207,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號６樓之１３,0.0,,,,1130716,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,無,4200,270,,0.0,0,含增建或未登記建物；續租案件；,RPSNMLNKQHJGFAP76CC,獨立套房,有,1130720~1140719,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市莊敬路３４７巷３０弄４１號２樓,0.0,,,,1130815,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830615,108.18,3,2,2,有,有,有,15662,145,,0.0,0,管理費1338元。,RPPNMLQKQHJGFAP76CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
北港鎮,租賃房屋,雲林縣北港鎮民主路６５號,0.0,,,,1130723,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0790930,197.36,3,1,4,有,無,無,35000,177,,0.0,0,,RPQNMLKLQHJGFEP76CC,,無,1130901~1180831,無,,
虎尾鎮,租賃房屋+車位,雲林縣虎尾鎮虎興東八街３２號５F之７,0.0,,,,1130815,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130112,97.06,2,1,1,有,有,有,17000,175,坡道平面,0.0,0,多人共同承租2；,RPRNMLMLQHJGFDP96CC,分層出租,無,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號２樓之１７,0.0,,,,1130812,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；續租案件；,RPPNMLSLQHJGFAP07CC,獨立套房,有,1130817~1140816,有,冷氣、熱水器、電視機、冰箱,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號６樓之３,0.0,,,,1130812,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.380000000000003,1,0,1,有,有,有,4200,229,,0.0,0,含增建或未登記建物；續租案件；,RPRNMLSLQHJGFAP27CC,獨立套房,有,1130905~1140904,有,冷氣、熱水器、電視機、冰箱,一般代管
