編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKQHJGFAP98CC,28,156.02,住宅、樓梯間,鋼筋混凝土造,85年10月3日,三層,,
RPRNMLNKQHJGFAP66CC,14,10.89,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLNKQHJGFAP66CC,14,3.96,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLSLQHJGFAP27CC,14,9.72,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLSLQHJGFAP27CC,14,3.84,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLNKQHJGFAP66CC,14,5.16,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLNKQHJGFAP76CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLSLQHJGFAP27CC,14,4.82,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMLQHJGFDP96CC,1,70.13,集合住宅,鋼筋混凝土造,113年1月12日,五層,,
RPSNMLNKQHJGFAP76CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFAP07CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMLQHJGFDP96CC,1,26.93,本共有部分之項目有門廊、停車空間、樓梯間電梯間、消防機房、梯廳、機電設備空間、水箱等７項。,鋼筋混凝土造,113年1月12日,五層,,
RPSNMLNKQHJGFAP76CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFAP07CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNKQHJGFAP56CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFAP07CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNKQHJGFAP56CC,14,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLKLQHJGFEP76CC,34,197.36,住商用,鋼筋混凝土造,79年9月30日,四層,,
RPQNMLNKQHJGFAP56CC,14,5.79,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLQKQHJGFAP76CC,30,85.93,住家用,鋼筋混凝土造,83年6月15日,十一層,,
RPPNMLQKQHJGFAP76CC,30,11.79,共有部份,鋼筋混凝土造,83年6月15日,十一層,,
RPPNMLQKQHJGFAP76CC,30,10.46,共有部份,鋼筋混凝土造,83年6月15日,,,
RPSNMLSLQHJGFAP37CC,14,10.06,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLSLQHJGFAP37CC,14,.92,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLSLQHJGFAP37CC,14,4.83,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPUNMLMJRHJGFAP86CC,18,14.03,住家用,鋼筋混凝土造,95年11月10日,三層,,
RPTNMLMJRHJGFAP76CC,18,17.25,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPQNMLMKRHJGFAP56CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLMKRHJGFAP56CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLMKRHJGFAP56CC,14,5.61,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFEP47CC,47,98.60,住商用,加強磚造,67年1月5日,二層,,
RPVNMLMJRHJGFAP96CC,14,9.72,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPVNMLMJRHJGFAP96CC,14,.89,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPVNMLMJRHJGFAP96CC,14,4.83,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFBP17CC,29,43.19,住家用,鋼筋混凝土造,84年7月10日,十三層,,
RPPNMLSLQHJGFBP17CC,29,14.43,共有部份,鋼筋混凝土造,84年7月10日,十三層,,
RPWNMLNKRHJGFAP27CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMKRHJGFAP09CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPWNMLNKRHJGFAP27CC,14,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMKRHJGFAP09CC,14,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPWNMLNKRHJGFAP27CC,14,4.77,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMKRHJGFAP09CC,14,5.79,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLNKRHJGFAP56CC,39,21.50,住商用,鋼筋混凝土造,74年7月25日,七層,,
RPRNMLMKRHJGFAP66CC,14,10.01,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMKRHJGFAP66CC,14,.91,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMKRHJGFAP66CC,14,5.64,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
