鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鹿草鄉,土地,龜佛山段重劃小段1355地號,3464.0,,特定農業區,農牧用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8130000,2347,,0.0,0,,RPSNMLKKRHJGFDQ96EA,0.0,0.0,0.0,無,001
竹崎鄉,土地,樟樹坪段455地號,1392.0,,一般農業區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,1796,,0.0,0,,RPRNMLMKRHJGFEQ17EA,0.0,0.0,0.0,無,
義竹鄉,土地,溪洲段溪洲小段536地號,627.0,,鄉村區,乙種建築用地,1130903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3900000,6220,,0.0,0,,RPSNMLNJRHJGFBQ86DA,0.0,0.0,0.0,無,
東石鄉,土地,富安段178地號,165.28,,鄉村區,乙種建築用地,1130907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,4840,,0.0,0,含土地增值稅或其他稅費；,RPPNMLTJRHJGFBQ17DA,0.0,0.0,0.0,無,
布袋鎮,土地,過溝新段1003地號,2639.31,,一般農業區,養殖用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1715549,650,,0.0,0,,RPPNMLNKRHJGFBQ66DA,0.0,0.0,0.0,無,
布袋鎮,土地,過溝新段977地號,7073.03,,一般農業區,養殖用地,1130909,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4809660,680,,0.0,0,,RPQNMLNKRHJGFBQ76DA,0.0,0.0,0.0,無,
東石鄉,土地,三塊厝段三家小段295地號,1450.0,,一般農業區,農牧用地,1130911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,1103,,0.0,0,,RPWNMLNKRHJGFBQ37DA,0.0,0.0,0.0,無,002
朴子市,土地,新庄段新庄小段6-5地號,7925.0,,工業區,丁種建築用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,165149075,20839,,0.0,0,政府機關標讓售；,RPPNMLNKRHJGFBQ76EA,0.0,0.0,0.0,無,
朴子市,土地,溪口段29地號,1546.65,,特定農業區,農牧用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,65,,0.0,0,部分位於河川安全管制線內屬一般農業區水利用地親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTJRHJGFBQ47DA,0.0,0.0,0.0,無,
朴子市,土地,平和段338-1地號,6.38,都市：其他:道路用地,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,31000,4859,,0.0,0,包含公共設施保留地用地；,RPQNMLMKRHJGFBQ66DA,0.0,0.0,0.0,無,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉溪厝村溪墘厝４９之３號,88.0,,鄉村區,乙種建築用地,1130902,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130709,163.56,5,1,3,有,無,7910000,48361,,0.0,0,,RPSNMLQKRHJGFBQ27DA,150.76,0.0,12.8,無,
義竹鄉,土地,義竹段義竹小段1131地號,2342.0,,特定農業區,農牧用地,1130908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2342000,1000,,0.0,0,,RPUNMLNKRHJGFBQ17DA,0.0,0.0,0.0,無,
