編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLQKRHJGFBQ27DA,,163.56,Ｈ２住宅,鋼筋混凝土造,113年7月9日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLSKRHJGFDQ57DA,44,46.54,住商用,鋼筋混凝土加強磚造,69年12月13日,二層,一層 二層,持分移轉
RPQNMLPJRHJGFBQ86DA,18,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,四層 陽台,全筆移轉
RPQNMLPJRHJGFBQ86DA,18,4.61,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPQNMLPJRHJGFBQ86DA,18,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPPNMLTJRHJGFEQ47DA,31,38.83,住家用,鋼筋混凝土造,82年4月1日,十八層,七層 陽台,全筆移轉
RPSNMLQJRHJGFDQ37DA,45,102.69,住家用,鋼筋混凝土加強磚造,68年9月6日,二層,一層 二層 騎樓,全筆移轉
RPPNMLTJRHJGFEQ47DA,31,7.68,梯間,鋼筋混凝土造,82年4月1日,十八層,,持分移轉
RPPNMLTJRHJGFEQ47DA,31,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,,持分移轉
RPPNMLPJRHJGFCQ86DA,41,76.65,集合住宅,鋼筋混凝土造,72年3月12日,五層,一層,全筆移轉
RPPNMLPJRHJGFCQ86DA,41,7.87,共有部分,鋼筋混凝土造,72年3月12日,五層,,持分移轉
RPPNMLPJRHJGFCQ86DA,41,.31,集合住宅,鋼筋混凝土造,72年3月12日,五層,一層,持分移轉
RPPNMLPJRHJGFCQ86DA,41,.04,共有部分,鋼筋混凝土造,72年3月12日,五層,,持分移轉
RPRNMLOJRHJGFDQ07DA,,182.87,住宅、樓梯間,鋼筋混凝土,113年3月13日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLOJRHJGFDQ17DA,,185.37,住宅、樓梯間,鋼筋混凝土,113年3月13日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
