編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJRHJGFBQ17DA,富安段,165.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01780000
RPPNMLNKRHJGFBQ76EA,新庄段新庄小段,7925.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00060005
RPQNMLNKRHJGFBQ76DA,過溝新段,5152.82,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,09770000
RPSNMLKKRHJGFDQ96EA,龜佛山段重劃小段,3464.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13550000
RPQNMLNKRHJGFBQ76DA,過溝新段,1920.21,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,09780000
RPWNMLNKRHJGFBQ37DA,三塊厝段三家小段,1450.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02950000
RPRNMLMKRHJGFEQ17EA,樟樹坪段,1392.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04550000
RPPNMLNKRHJGFBQ66DA,過溝新段,2639.31,非都市：一般農業區 ; 非都市編定：養殖用地,3,1,持分移轉,10030000
RPSNMLTJRHJGFBQ47DA,溪口段,1546.65,非都市：特定農業區 ; 非都市編定：農牧用地,10000,2631,持分移轉,00290000
RPQNMLMKRHJGFBQ66DA,平和段,6.38,都市：其他:道路用地,24,3,持分移轉,03380001
RPSNMLNJRHJGFBQ86DA,溪洲段溪洲小段,595.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05360000
RPSNMLNJRHJGFBQ86DA,溪洲段溪洲小段,32.00,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,05360001
RPSNMLQKRHJGFBQ27DA,溪墘厝段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01330008
RPUNMLNKRHJGFBQ17DA,義竹段義竹小段,2342.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11310000
RPTNMLSKRHJGFBQ57DA,中溝段,666.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00070000
RPRNMLSKRHJGFDQ57DA,北回段,41.88,都市：其他:住宅區,2,1,持分移轉,06500000
RPQNMLSJRHJGFBQ17DA,吳竹子腳段德家小段,3010.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03140000
RPRNMLSLQHJGFCQ47DA,民興段,89.00,都市：其他:住宅區,1,1,全筆移轉,03970000
RPPNMLTJRHJGFBQ27EA,新庄段大館小段,3554.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00060008
RPRNMLKMQHJGFDQ86DA,麻寮段,7.61,都市：其他:道路用地,18,2,持分移轉,05620000
RPRNMLKMQHJGFDQ86DA,麻寮段,43.44,都市：其他:道路用地,1,1,全筆移轉,05780000
RPQNMLPJRHJGFBQ86DA,嘉朴段,7.60,都市：其他:住宅區,100000,132,持分移轉,02620000
RPQNMLTJRHJGFBQ37EA,新庄段大館小段,3555.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00060009
RPPNMLQJRHJGFDQ17EA,竹子脚段松竹小段,1104.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,02890000
RPQNMLTJRHJGFBQ27DA,新庄段新庄小段,2226.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04580000
