編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJRHJGFDQ07CB,埔美段,167.41,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780021
RPPNMLQJRHJGFDQ07CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPPNMLQJRHJGFDQ07CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPPNMLQJRHJGFDQ07CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPRNMLQJRHJGFDQ27CB,埔美段,101.32,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780006
RPRNMLQJRHJGFDQ27CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPRNMLQJRHJGFDQ27CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPRNMLQJRHJGFDQ27CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPPNMLKLQHJGFDQ56CB,後潭段後潭小段,113.00,都市：住,1,1,全筆移轉,09930012
RPRNMLTJRHJGFDQ57CB,埔美段,144.55,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780026
RPRNMLTJRHJGFDQ57CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPRNMLTJRHJGFDQ57CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPPNMLTJRHJGFDQ37CB,埔美段,131.91,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780023
RPRNMLTJRHJGFDQ57CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPPNMLPJRHJGFCQ86CB,明和段,90.00,都市：住,1,1,全筆移轉,08530022
RPPNMLTJRHJGFDQ37CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPPNMLTJRHJGFDQ37CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPPNMLTJRHJGFDQ37CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPPNMLPJRHJGFCQ86CB,明和段,.11,都市：住,9,1,持分移轉,08530036
RPPNMLRJRHJGFDQ17CB,中庄仔段,20.09,都市：住,100000,1779,持分移轉,00610000
RPPNMLPJRHJGFCQ86CB,明和段,.30,都市：住,28,1,持分移轉,08500001
RPPNMLPJRHJGFCQ86CB,明和段,4.95,都市：住,28,1,持分移轉,08530005
RPPNMLPJRHJGFCQ86CB,明和段,10.20,都市：住,28,1,持分移轉,08530021
RPPNMLPJRHJGFCQ86CB,明和段,.16,都市：住,28,1,持分移轉,08530035
RPRNMLQJRHJGFCQ17CB,民工段,38.17,都市：住,10000,64,持分移轉,00020000
RPRNMLQJRHJGFCQ17CB,大崎腳段大崎腳小段,.46,都市：住,10000,64,持分移轉,00550002
RPQNMLQJRHJGFDQ17CB,埔美段,100.99,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780016
RPQNMLQJRHJGFDQ17CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPQNMLQJRHJGFDQ17CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPQNMLQJRHJGFDQ17CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPQNMLTJRHJGFDQ47CB,埔美段,139.12,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780024
RPQNMLTJRHJGFDQ47CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPQNMLTJRHJGFDQ47CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPQNMLTJRHJGFDQ47CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPTNMLTJRHJGFDQ77CB,埔美段,131.01,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780028
RPTNMLTJRHJGFDQ77CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPTNMLTJRHJGFDQ77CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPTNMLTJRHJGFDQ77CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPXNMLTJRHJGFDQ18CB,埔美段,81.92,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780044
RPXNMLTJRHJGFDQ18CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPXNMLTJRHJGFDQ18CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPXNMLTJRHJGFDQ18CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPUNMLTJRHJGFDQ87CB,埔美段,101.25,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780030
RPUNMLTJRHJGFDQ87CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPUNMLTJRHJGFDQ87CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPUNMLTJRHJGFDQ87CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPROMLTJRHJGFDQ67CB,埔美段,123.42,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780048
RPROMLTJRHJGFDQ67CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPROMLTJRHJGFDQ67CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPROMLTJRHJGFDQ67CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPWNMLTJRHJGFDQ08CB,埔美段,112.50,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780036
RPWNMLTJRHJGFDQ08CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPWNMLTJRHJGFDQ08CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPWNMLTJRHJGFDQ08CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPSNMLTJRHJGFDQ67CB,埔美段,182.22,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780027
RPSNMLTJRHJGFDQ67CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPSNMLTJRHJGFDQ67CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPSNMLTJRHJGFDQ67CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPVNMLTJRHJGFDQ97CB,埔美段,101.25,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780033
RPVNMLTJRHJGFDQ97CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPVNMLTJRHJGFDQ97CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPVNMLTJRHJGFDQ97CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPQOMLTJRHJGFDQ57CB,埔美段,110.95,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05780047
RPQOMLTJRHJGFDQ57CB,埔美段,2.77,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780000
RPQOMLTJRHJGFDQ57CB,埔美段,8.37,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780007
RPQOMLTJRHJGFDQ57CB,埔美段,7.45,非都市：一般農業區 ; 非都市編定：丙種建築用地,46,1,持分移轉,05780017
RPPNMLMKRHJGFCQ66CB,山中段,22.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1433,持分移轉,06090025
RPRNMLQKRHJGFCQ27CB,山中段,26.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1716,持分移轉,06090025
