編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKQHJGFCQ37CC,6,121.77,住家用,鋼筋混凝土造,107年9月4日,二層,,
RPPNMLNKQHJGFCQ76CC,31,104.46,集合住宅,鋼筋混凝土造,82年2月17日,五層,,
RPPNMLNKQHJGFCQ76CC,31,14.24,共有部分,鋼筋混凝土造,82年2月17日,五層,,
RPPNMLPKQHJGFDQ07CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLMKQHJGFDQ76CC,41,106.61,住家用,鋼筋混凝土加強磚造,72年10月5日,二層,,
RPPNMLPKQHJGFDQ07CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLMLQHJGFBQ66CC,18,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLMLQHJGFBQ66CC,18,4.20,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLMLQHJGFBQ66CC,18,5.72,共有部分,鋼筋混凝土造,95年8月28日,,,
RPRNMLTKQHJGFDQ67CC,2,16.80,住家用,鋼筋混凝土造,112年1月18日,三層,,
RPQNMLTKQHJGFDQ57CC,20,20.91,集合住宅,鋼筋混凝土造,93年6月9日,五層,,
RPQNMLLLQHJGFDQ86CC,46,86.30,住家用,鋼筋混凝土加強磚造,67年7月10日,二層,,
RPPNMLKLQHJGFBQ09CC,28,90.03,住家用,鋼筋混凝土造,85年8月15日,十四層,,
RPPNMLKLQHJGFBQ09CC,28,31.84,梯間、防空避難室、機械室、水塔牌樓兼停車空間,鋼筋混凝土造,85年8月15日,十四層,,
RPPNMLTKQHJGFDQ47CC,19,14.18,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLMLQHJGFCQ76CC,3,71.39,集合住宅,鋼筋混凝土造,110年3月2日,六層,,
RPPNMLMLQHJGFCQ76CC,3,26.95,停車空間、樓梯間、管委會空間、安全梯、電信機房、發電機房兼消防機房及梯廳等７項。,鋼筋混凝土造,110年3月2日,六層,,
RPQNMLNJRHJGFCQ86CC,31,154.06,住商用,鋼筋混凝土造,82年6月15日,三層,,
