鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
牡丹鄉,土地,八瑤段31-1地號,15130.0,,山坡地保育區,林業用地,1130903,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,20,,0.0,0,,RPPNMLKKRHJGFET96DA,0.0,0.0,0.0,無,
竹田鄉,土地,竹南段242地號,580.0,,特定農業區,農牧用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,3448,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLLKRHJGFCT96EA,0.0,0.0,0.0,無,001
獅子鄉,土地,外獅段31地號,3124.0,,山坡地保育區,農牧用地,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,64,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPRNMLKKRHJGFFT37EA,0.0,0.0,0.0,無,
琉球鄉,土地,天台段707-7地號,17.55,農,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,265445,15125,,0.0,0,,RPQNMLKKRHJGFDT07EA,0.0,0.0,0.0,無,002
長治鄉,土地,繁昌段613地號,422.4,,鄉村區,乙種建築用地,1130905,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4031000,9543,,0.0,0,,RPWNMLTJRHJGFAT08DA,0.0,0.0,0.0,無,003
長治鄉,土地,繁昌段613-20地號,465.81,,鄉村區,乙種建築用地,1130905,土地39建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4754000,10206,,0.0,0,,RPOOMLTJRHJGFAT37DA,0.0,0.0,0.0,無,
枋寮鄉,土地,海鷗段205-2地號,2.6,,一般農業區,甲種建築用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20000,7692,,0.0,0,,RPQNMLNKRHJGFFT57EA,0.0,0.0,0.0,無,
枋寮鄉,土地,海鷗段204地號,8.44,,一般農業區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20000,2370,,0.0,0,,RPSNMLNKRHJGFFT77EA,0.0,0.0,0.0,無,004
枋寮鄉,土地,東海段632-3地號,124.0,,工業區,丁種建築用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1219075,9831,,0.0,0,,RPPNMLQKRHJGFFT77EA,0.0,0.0,0.0,無,
麟洛鄉,土地,徑仔段53地號,1701.5,,一般農業區,農牧用地,1130901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,1528,,0.0,0,農作物；,RPPOMLKKRHJGFAT66DA,0.0,0.0,0.0,無,
琉球鄉,土地,大南段453地號,144.68,商,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1969200,13611,,0.0,0,,RPPNMLPJRHJGFDT27DA,0.0,0.0,0.0,無,005
